FIPS,Structure_Type,Count
5027.0,Medical & Emergency,17
5029.0,Education,14
5029.0,Law Enforcement,6
5029.0,Medical & Emergency,17
5031.0,Education,35
5031.0,Law Enforcement,10
5031.0,Medical & Emergency,33
5033.0,Education,23
5033.0,Law Enforcement,8
5033.0,Medical & Emergency,33
5035.0,Education,20
5035.0,Law Enforcement,7
5035.0,Medical & Emergency,22
5037.0,Education,6
5037.0,Law Enforcement,3
5037.0,Medical & Emergency,9
5039.0,Education,5
5039.0,Law Enforcement,3
5039.0,Medical & Emergency,10
5041.0,Education,8
5041.0,Law Enforcement,7
5041.0,Medical & Emergency,14
5043.0,Education,9
5043.0,Law Enforcement,3
5043.0,Medical & Emergency,13
5045.0,Education,46
5045.0,Law Enforcement,7
5045.0,Medical & Emergency,38
5047.0,Education,12
5047.0,Law Enforcement,4
5047.0,Medical & Emergency,13
5049.0,Education,6
5049.0,Law Enforcement,3
5049.0,Medical & Emergency,12
5051.0,Education,38
5051.0,Law Enforcement,6
5051.0,Medical & Emergency,38
5053.0,Education,7
5053.0,Law Enforcement,2
5053.0,Medical & Emergency,11
5055.0,Education,17
5055.0,Law Enforcement,3
5055.0,Medical & Emergency,12
5057.0,Education,11
5057.0,Law Enforcement,3
5057.0,Medical & Emergency,19
5059.0,Education,17
5059.0,Law Enforcement,7
5059.0,Medical & Emergency,24
5061.0,Education,10
5061.0,Law Enforcement,4
5061.0,Medical & Emergency,13
5063.0,Education,17
5063.0,Law Enforcement,4
5063.0,Medical & Emergency,24
5065.0,Education,8
5065.0,Law Enforcement,3
5065.0,Medical & Emergency,14
5067.0,Education,7
5067.0,Law Enforcement,8
5067.0,Medical & Emergency,14
5069.0,Education,33
5069.0,Law Enforcement,12
5069.0,Medical & Emergency,28
5071.0,Education,12
5071.0,Law Enforcement,5
5071.0,Medical & Emergency,20
5073.0,Education,4
5073.0,Law Enforcement,4
5073.0,Medical & Emergency,10
5075.0,Education,12
5075.0,Law Enforcement,5
5075.0,Medical & Emergency,17
5077.0,Education,5
5077.0,Law Enforcement,3
5077.0,Medical & Emergency,5
5079.0,Education,3
5079.0,Law Enforcement,6
5079.0,Medical & Emergency,11
5081.0,Education,6
5081.0,Law Enforcement,3
5081.0,Medical & Emergency,17
5083.0,Education,13
5083.0,Law Enforcement,4
5083.0,Medical & Emergency,30
5085.0,Education,23
5085.0,Law Enforcement,8
5085.0,Medical & Emergency,29
5087.0,Education,8
5087.0,Law Enforcement,2
5087.0,Medical & Emergency,15
5089.0,Education,6
5089.0,Law Enforcement,3
5089.0,Medical & Emergency,18
5091.0,Education,16
5091.0,Law Enforcement,4
5091.0,Medical & Emergency,18
5093.0,Education,22
5093.0,Law Enforcement,11
5093.0,Medical & Emergency,26
5095.0,Education,4
5095.0,Law Enforcement,4
5095.0,Medical & Emergency,8
5097.0,Education,6
5097.0,Law Enforcement,1
5097.0,Medical & Emergency,10
5099.0,Education,5
5099.0,Law Enforcement,2
5099.0,Medical & Emergency,12
5101.0,Education,7
5101.0,Law Enforcement,2
5101.0,Medical & Emergency,10
5103.0,Education,11
5103.0,Law Enforcement,7
5103.0,Medical & Emergency,20
5105.0,Education,4
5105.0,Law Enforcement,2
5105.0,Medical & Emergency,15
5107.0,Education,13
5107.0,Law Enforcement,5
5107.0,Medical & Emergency,12
5109.0,Education,9
5109.0,Law Enforcement,3
5109.0,Medical & Emergency,11
5111.0,Education,12
5111.0,Law Enforcement,7
5111.0,Medical & Emergency,13
5113.0,Education,10
5113.0,Law Enforcement,3
5113.0,Medical & Emergency,19
5115.0,Education,26
5115.0,Law Enforcement,6
5115.0,Medical & Emergency,22
5117.0,Education,4
5117.0,Law Enforcement,4
5117.0,Medical & Emergency,15
5119.0,Education,158
5119.0,Law Enforcement,26
5119.0,Medical & Emergency,87
5121.0,Education,9
5121.0,Law Enforcement,2
5121.0,Medical & Emergency,12
5123.0,Education,11
5123.0,Law Enforcement,11
5123.0,Medical & Emergency,10
5125.0,Education,28
5125.0,Law Enforcement,6
5125.0,Medical & Emergency,38
5127.0,Education,6
5127.0,Law Enforcement,4
5127.0,Medical & Emergency,20
5129.0,Education,5
5129.0,Law Enforcement,2
5129.0,Medical & Emergency,11
5131.0,Education,47
5131.0,Law Enforcement,13
5131.0,Medical & Emergency,39
5133.0,Education,9
5133.0,Law Enforcement,2
5133.0,Medical & Emergency,10
5135.0,Education,7
5135.0,Law Enforcement,6
5135.0,Medical & Emergency,18
5137.0,Education,6
5137.0,Law Enforcement,2
5137.0,Medical & Emergency,25
5139.0,Education,21
5139.0,Law Enforcement,7
5139.0,Medical & Emergency,21
5141.0,Education,7
5141.0,Law Enforcement,4
5141.0,Medical & Emergency,23
5143.0,Education,70
5143.0,Law Enforcement,12
5143.0,Medical & Emergency,53
5145.0,Education,36
5145.0,Law Enforcement,11
5145.0,Medical & Emergency,42
5147.0,Education,4
5147.0,Law Enforcement,5
5147.0,Medical & Emergency,7
5149.0,Education,12
5149.0,Law Enforcement,6
5149.0,Medical & Emergency,23
6001.0,Education,505
6001.0,Law Enforcement,30
6001.0,Medical & Emergency,124
6003.0,Education,3
6003.0,Law Enforcement,2
6003.0,Medical & Emergency,4
6005.0,Education,20
6005.0,Law Enforcement,7
6005.0,Medical & Emergency,28
6007.0,Education,87
6007.0,Law Enforcement,8
6007.0,Medical & Emergency,59
6009.0,Education,21
6009.0,Law Enforcement,3
6009.0,Medical & Emergency,41
6011.0,Education,19
6011.0,Law Enforcement,4
6011.0,Medical & Emergency,14
6013.0,Education,316
6013.0,Law Enforcement,30
6013.0,Medical & Emergency,91
6015.0,Education,15
6015.0,Law Enforcement,5
6015.0,Medical & Emergency,16
6017.0,Education,67
6017.0,Law Enforcement,8
6017.0,Medical & Emergency,63
6019.0,Education,355
6019.0,Law Enforcement,29
6019.0,Medical & Emergency,94
6021.0,Education,24
6021.0,Law Enforcement,4
6021.0,Medical & Emergency,18
6023.0,Education,91
6023.0,Law Enforcement,11
6023.0,Medical & Emergency,74
6025.0,Education,76
6025.0,Law Enforcement,19
6025.0,Medical & Emergency,26
6027.0,Education,22
6027.0,Law Enforcement,6
6027.0,Medical & Emergency,18
6029.0,Education,305
6029.0,Law Enforcement,44
6029.0,Medical & Emergency,99
6031.0,Education,64
6031.0,Law Enforcement,9
6031.0,Medical & Emergency,24
6033.0,Education,42
6033.0,Law Enforcement,7
6033.0,Medical & Emergency,27
6035.0,Education,25
6035.0,Law Enforcement,8
6035.0,Medical & Emergency,26
6037.0,Education,2652
6037.0,Law Enforcement,134
6037.0,Medical & Emergency,554
6039.0,Education,74
6039.0,Law Enforcement,10
6039.0,Medical & Emergency,33
6041.0,Education,108
6041.0,Law Enforcement,18
6041.0,Medical & Emergency,47
6043.0,Education,16
6043.0,Law Enforcement,5
6043.0,Medical & Emergency,25
6045.0,Education,68
6045.0,Law Enforcement,8
6045.0,Medical & Emergency,55
6047.0,Education,117
6047.0,Law Enforcement,14
6047.0,Medical & Emergency,36
6049.0,Education,11
6049.0,Law Enforcement,3
6049.0,Medical & Emergency,22
6051.0,Education,12
6051.0,Law Enforcement,5
6051.0,Medical & Emergency,21
6053.0,Education,152
6053.0,Law Enforcement,19
6053.0,Medical & Emergency,63
6055.0,Education,54
6055.0,Law Enforcement,9
6055.0,Medical & Emergency,32
6057.0,Education,42
6057.0,Law Enforcement,10
6057.0,Medical & Emergency,34
6059.0,Education,835
6059.0,Law Enforcement,44
6059.0,Medical & Emergency,185
6061.0,Education,119
6061.0,Law Enforcement,13
6061.0,Medical & Emergency,60
6063.0,Education,15
6063.0,Law Enforcement,6
6063.0,Medical & Emergency,33
6065.0,Education,590
6065.0,Law Enforcement,47
6065.0,Medical & Emergency,174
6067.0,Education,439
6067.0,Law Enforcement,24
6067.0,Medical & Emergency,113
6069.0,Education,27
6069.0,Law Enforcement,3
6069.0,Medical & Emergency,10
6071.0,Education,605
6071.0,Law Enforcement,54
6071.0,Medical & Emergency,205
6073.0,Education,887
6073.0,Law Enforcement,65
6073.0,Medical & Emergency,269
6075.0,Education,231
6075.0,Law Enforcement,13
6075.0,Medical & Emergency,61
6077.0,Education,238
6077.0,Law Enforcement,11
6077.0,Medical & Emergency,70
6079.0,Education,98
6079.0,Law Enforcement,17
6079.0,Medical & Emergency,54
6081.0,Education,231
6081.0,Law Enforcement,22
6081.0,Medical & Emergency,70
6083.0,Education,163
6083.0,Law Enforcement,22
6083.0,Medical & Emergency,56
6085.0,Education,543
6085.0,Law Enforcement,20
6085.0,Medical & Emergency,123
6087.0,Education,94
6087.0,Law Enforcement,8
6087.0,Medical & Emergency,36
6089.0,Education,98
6089.0,Law Enforcement,10
6089.0,Medical & Emergency,59
6091.0,Education,7
6091.0,Law Enforcement,1
6091.0,Medical & Emergency,12
6093.0,Education,50
6093.0,Law Enforcement,14
6093.0,Medical & Emergency,52
6095.0,Education,116
6095.0,Law Enforcement,12
6095.0,Medical & Emergency,42
6097.0,Education,197
6097.0,Law Enforcement,15
6097.0,Medical & Emergency,100
6099.0,Education,204
6099.0,Law Enforcement,13
6099.0,Medical & Emergency,61
6101.0,Education,44
6101.0,Law Enforcement,4
6101.0,Medical & Emergency,14
6103.0,Education,43
6103.0,Law Enforcement,4
6103.0,Medical & Emergency,25
6105.0,Education,17
6105.0,Law Enforcement,3
6105.0,Medical & Emergency,25
6107.0,Education,197
6107.0,Law Enforcement,19
6107.0,Medical & Emergency,58
6109.0,Education,31
6109.0,Law Enforcement,4
6109.0,Medical & Emergency,33
6111.0,Education,264
6111.0,Law Enforcement,22
6111.0,Medical & Emergency,61
6113.0,Education,76
6113.0,Law Enforcement,8
6113.0,Medical & Emergency,32
6115.0,Education,43
6115.0,Law Enforcement,4
6115.0,Medical & Emergency,25
8001.0,Education,173
8001.0,Law Enforcement,14
8001.0,Medical & Emergency,57
8003.0,Education,9
8003.0,Law Enforcement,3
8003.0,Medical & Emergency,5
8005.0,Education,199
8005.0,Law Enforcement,15
8005.0,Medical & Emergency,56
8007.0,Education,5
8007.0,Law Enforcement,3
8007.0,Medical & Emergency,9
8009.0,Education,7
8009.0,Law Enforcement,3
8009.0,Medical & Emergency,9
8011.0,Education,3
8011.0,Law Enforcement,2
8011.0,Medical & Emergency,2
8013.0,Education,123
8013.0,Law Enforcement,9
8013.0,Medical & Emergency,63
8014.0,Education,20
8014.0,Law Enforcement,1
8014.0,Medical & Emergency,5
8015.0,Education,10
8015.0,Law Enforcement,7
8015.0,Medical & Emergency,12
8017.0,Education,3
8017.0,Law Enforcement,1
8017.0,Medical & Emergency,4
8019.0,Education,6
8019.0,Law Enforcement,4
8019.0,Medical & Emergency,12
8021.0,Education,7
8021.0,Law Enforcement,3
8021.0,Medical & Emergency,9
8023.0,Education,2
8023.0,Law Enforcement,2
8023.0,Medical & Emergency,6
8025.0,Education,3
8025.0,Law Enforcement,3
8025.0,Medical & Emergency,5
8027.0,Education,1
8027.0,Law Enforcement,1
8027.0,Medical & Emergency,6
8029.0,Education,16
8029.0,Law Enforcement,4
8029.0,Medical & Emergency,7
8031.0,Education,264
8031.0,Law Enforcement,12
8031.0,Medical & Emergency,46
8033.0,Education,2
8033.0,Law Enforcement,1
8033.0,Medical & Emergency,3
8035.0,Education,110
8035.0,Law Enforcement,6
8035.0,Medical & Emergency,45
8037.0,Education,25
8037.0,Law Enforcement,7
8037.0,Medical & Emergency,25
8039.0,Education,13
8039.0,Law Enforcement,4
8039.0,Medical & Emergency,13
8041.0,Education,272
8041.0,Law Enforcement,13
8041.0,Medical & Emergency,87
8043.0,Education,15
8043.0,Law Enforcement,16
8043.0,Medical & Emergency,21
8045.0,Education,36
8045.0,Law Enforcement,9
8045.0,Medical & Emergency,17
8047.0,Education,3
8047.0,Law Enforcement,5
8047.0,Medical & Emergency,9
8049.0,Education,7
8049.0,Law Enforcement,5
8049.0,Medical & Emergency,15
8051.0,Education,9
8051.0,Law Enforcement,5
8051.0,Medical & Emergency,12
8053.0,Education,1
8053.0,Law Enforcement,1
8053.0,Medical & Emergency,2
8055.0,Education,5
8055.0,Law Enforcement,4
8055.0,Medical & Emergency,7
8057.0,Education,1
8057.0,Medical & Emergency,2
8059.0,Education,192
8059.0,Law Enforcement,21
8059.0,Medical & Emergency,80
8061.0,Education,4
8061.0,Law Enforcement,1
8061.0,Medical & Emergency,5
8063.0,Education,10
8063.0,Law Enforcement,3
8063.0,Medical & Emergency,8
8065.0,Education,6
8065.0,Law Enforcement,3
8065.0,Medical & Emergency,2
8067.0,Education,29
8067.0,Law Enforcement,6
8067.0,Medical & Emergency,33
8069.0,Education,113
8069.0,Law Enforcement,9
8069.0,Medical & Emergency,54
8071.0,Education,12
8071.0,Law Enforcement,6
8071.0,Medical & Emergency,18
8073.0,Education,5
8073.0,Law Enforcement,4
8073.0,Medical & Emergency,7
8075.0,Education,12
8075.0,Law Enforcement,5
8075.0,Medical & Emergency,6
8077.0,Education,62
8077.0,Law Enforcement,7
8077.0,Medical & Emergency,25
8079.0,Education,1
8079.0,Law Enforcement,1
8079.0,Medical & Emergency,2
8081.0,Education,6
8081.0,Law Enforcement,4
8081.0,Medical & Emergency,6
8083.0,Education,18
8083.0,Law Enforcement,4
8083.0,Medical & Emergency,11
8085.0,Education,20
8085.0,Law Enforcement,5
8085.0,Medical & Emergency,10
8087.0,Education,18
8087.0,Law Enforcement,4
8087.0,Medical & Emergency,10
8089.0,Education,14
8089.0,Law Enforcement,6
8089.0,Medical & Emergency,7
8091.0,Education,3
8091.0,Law Enforcement,3
8091.0,Medical & Emergency,5
8093.0,Education,7
8093.0,Law Enforcement,7
8093.0,Medical & Emergency,30
8095.0,Education,4
8095.0,Law Enforcement,3
8095.0,Medical & Emergency,7
8097.0,Education,8
8097.0,Law Enforcement,4
8097.0,Medical & Emergency,11
8099.0,Education,9
8099.0,Law Enforcement,4
8099.0,Medical & Emergency,9
8101.0,Education,70
8101.0,Law Enforcement,9
8101.0,Medical & Emergency,30
8103.0,Education,6
8103.0,Law Enforcement,4
8103.0,Medical & Emergency,4
8105.0,Education,10
8105.0,Law Enforcement,6
8105.0,Medical & Emergency,8
8107.0,Education,14
8107.0,Law Enforcement,4
8107.0,Medical & Emergency,11
8109.0,Education,8
8109.0,Law Enforcement,2
8109.0,Medical & Emergency,8
8111.0,Education,1
8111.0,Law Enforcement,1
8111.0,Medical & Emergency,2
8113.0,Education,5
8113.0,Law Enforcement,4
8113.0,Medical & Emergency,7
8115.0,Education,4
8115.0,Law Enforcement,1
8115.0,Medical & Emergency,4
8117.0,Education,12
8117.0,Law Enforcement,6
8117.0,Medical & Emergency,12
8119.0,Education,8
8119.0,Law Enforcement,5
8119.0,Medical & Emergency,17
8121.0,Education,5
8121.0,Law Enforcement,2
8121.0,Medical & Emergency,8
8123.0,Education,113
8123.0,Law Enforcement,20
8123.0,Medical & Emergency,48
8125.0,Education,8
8125.0,Law Enforcement,5
8125.0,Medical & Emergency,16
9001.0,Education,336
9001.0,Law Enforcement,27
9001.0,Medical & Emergency,142
9003.0,Education,353
9003.0,Law Enforcement,34
9003.0,Medical & Emergency,159
9005.0,Education,87
9005.0,Law Enforcement,10
9005.0,Medical & Emergency,71
9007.0,Education,73
9007.0,Law Enforcement,13
9007.0,Medical & Emergency,48
9009.0,Education,329
9009.0,Law Enforcement,42
9009.0,Medical & Emergency,140
9011.0,Education,119
9011.0,Law Enforcement,20
9011.0,Medical & Emergency,77
9013.0,Education,58
9013.0,Law Enforcement,11
9013.0,Medical & Emergency,41
9015.0,Education,52
9015.0,Law Enforcement,7
9015.0,Medical & Emergency,43
10001.0,Education,62
10001.0,Law Enforcement,13
10001.0,Medical & Emergency,23
10003.0,Education,174
10003.0,Law Enforcement,16
10003.0,Medical & Emergency,56
10005.0,Education,51
10005.0,Law Enforcement,26
10005.0,Medical & Emergency,44
11001.0,Education,273
11001.0,Law Enforcement,16
11001.0,Medical & Emergency,49
12001.0,Education,76
12001.0,Law Enforcement,8
12001.0,Medical & Emergency,33
12003.0,Education,6
12003.0,Law Enforcement,4
12003.0,Medical & Emergency,13
12005.0,Education,55
12005.0,Law Enforcement,14
12005.0,Medical & Emergency,35
12007.0,Education,13
12007.0,Law Enforcement,7
12007.0,Medical & Emergency,10
12009.0,Education,149
12009.0,Law Enforcement,28
12009.0,Medical & Emergency,79
12011.0,Education,387
12011.0,Law Enforcement,51
12011.0,Medical & Emergency,132
12013.0,Education,7
12013.0,Law Enforcement,4
12013.0,Medical & Emergency,10
12015.0,Education,30
12015.0,Law Enforcement,7
12015.0,Medical & Emergency,29
12017.0,Education,30
12017.0,Law Enforcement,7
12017.0,Medical & Emergency,17
12019.0,Education,61
12019.0,Law Enforcement,5
12019.0,Medical & Emergency,17
12021.0,Education,80
12021.0,Law Enforcement,11
12021.0,Medical & Emergency,52
12023.0,Education,24
12023.0,Law Enforcement,7
12023.0,Medical & Emergency,13
12027.0,Education,7
12027.0,Law Enforcement,5
12027.0,Medical & Emergency,5
12029.0,Education,5
12029.0,Law Enforcement,6
12029.0,Medical & Emergency,9
12031.0,Education,302
12031.0,Law Enforcement,16
12031.0,Medical & Emergency,81
12033.0,Education,89
12033.0,Law Enforcement,14
12033.0,Medical & Emergency,40
12035.0,Education,14
12035.0,Law Enforcement,6
12035.0,Medical & Emergency,14
12037.0,Education,3
12037.0,Law Enforcement,4
12037.0,Medical & Emergency,13
12039.0,Education,18
12039.0,Law Enforcement,11
12039.0,Medical & Emergency,19
12041.0,Education,6
12041.0,Law Enforcement,3
12041.0,Medical & Emergency,7
