Geographic Area,Householder living alone—65 years and over,Lvng alone
"Boone County, West Virginia",15%,15
"Borden County, Texas",7.90%,7.9
"Bosque County, Texas",14.50%,14.5
"Bossier Parish, Louisiana",10.60%,10.6
"Botetourt County, Virginia",13.20%,13.2
"Bottineau County, North Dakota",18.50%,18.5
"Boulder County, Colorado",11.20%,11.2
"Boundary County, Idaho",16.20%,16.2
"Bourbon County, Kansas",16.60%,16.6
"Bourbon County, Kentucky",12.40%,12.4
"Bowie County, Texas",14.70%,14.7
"Bowman County, North Dakota",18%,18
"Box Butte County, Nebraska",16.50%,16.5
"Box Elder County, Utah",7.90%,7.9
"Boyd County, Kentucky",13.20%,13.2
"Boyd County, Nebraska",17.30%,17.3
"Boyle County, Kentucky",13.90%,13.9
"Bracken County, Kentucky",13.80%,13.8
"Bradford County, Florida",16.10%,16.1
"Bradford County, Pennsylvania",14.30%,14.3
"Bradley County, Arkansas",16.70%,16.7
"Bradley County, Tennessee",11.90%,11.9
"Branch County, Michigan",13.10%,13.1
"Brantley County, Georgia",16.20%,16.2
"Braxton County, West Virginia",13.90%,13.9
"Brazoria County, Texas",7.80%,7.8
"Brazos County, Texas",6.10%,6.1
"Breathitt County, Kentucky",14.50%,14.5
"Breckinridge County, Kentucky",14.60%,14.6
"Bremer County, Iowa",13.10%,13.1
"Brevard County, Florida",15.20%,15.2
"Brewster County, Texas",14.20%,14.2
"Briscoe County, Texas",17.20%,17.2
"Bristol Bay Borough, Alaska",8.80%,8.8
"Bristol city, Virginia",19.90%,19.9
"Bristol County, Massachusetts",12.70%,12.7
"Bristol County, Rhode Island",14.80%,14.8
"Broadwater County, Montana",14.60%,14.6
"Bronx County, New York",12.50%,12.5
"Brooke County, West Virginia",16.40%,16.4
"Brookings County, South Dakota",9.80%,9.8
"Brooks County, Georgia",16.30%,16.3
"Brooks County, Texas",13.50%,13.5
"Broome County, New York",14.80%,14.8
"Broomfield County, Colorado",8.30%,8.3
"Broward County, Florida",12.30%,12.3
"Brown County, Illinois",13.60%,13.6
"Brown County, Indiana",11.10%,11.1
"Brown County, Kansas",16.20%,16.2
"Brown County, Minnesota",14.80%,14.8
"Brown County, Nebraska",26.90%,26.9
"Brown County, Ohio",12%,12
"Brown County, South Dakota",14.70%,14.7
"Brown County, Texas",12.50%,12.5
"Brown County, Wisconsin",11.80%,11.8
"Brule County, South Dakota",17.60%,17.6
"Brunswick County, North Carolina",13.40%,13.4
"Brunswick County, Virginia",16.30%,16.3
"Bryan County, Georgia",5.50%,5.5
"Bryan County, Oklahoma",11.20%,11.2
"Buchanan County, Iowa",13.60%,13.6
"Buchanan County, Missouri",12.90%,12.9
"Buchanan County, Virginia",14.20%,14.2
"Buckingham County, Virginia",15.50%,15.5
"Bucks County, Pennsylvania",11.60%,11.6
"Buena Vista city, Virginia",12.90%,12.9
"Buena Vista County, Iowa",12.40%,12.4
"Buffalo County, Nebraska",11.60%,11.6
"Buffalo County, South Dakota",7.30%,7.3
"Buffalo County, Wisconsin",16.10%,16.1
"Bullitt County, Kentucky",8.80%,8.8
"Bulloch County, Georgia",10.10%,10.1
"Bullock County, Alabama",14%,14
"Buncombe County, North Carolina",14%,14
"Bureau County, Illinois",15.80%,15.8
"Burke County, Georgia",15.80%,15.8
"Burke County, North Carolina",13.80%,13.8
"Burke County, North Dakota",16.10%,16.1
"Burleigh County, North Dakota",12%,12
"Burleson County, Texas",12.80%,12.8
"Burlington County, New Jersey",12%,12
"Burnet County, Texas",13.20%,13.2
"Burnett County, Wisconsin",18.40%,18.4
"Burt County, Nebraska",16.30%,16.3
"Butler County, Alabama",15.50%,15.5
"Butler County, Iowa",12.90%,12.9
"Butler County, Kansas",11.10%,11.1
"Butler County, Kentucky",11.10%,11.1
"Butler County, Missouri",16%,16
"Butler County, Nebraska",15.10%,15.1
"Butler County, Ohio",11%,11
"Butler County, Pennsylvania",13.90%,13.9
"Butte County, California",12%,12
"Butte County, Idaho",17.90%,17.9
"Butte County, South Dakota",12.90%,12.9
"Butts County, Georgia",11.90%,11.9
"Cabarrus County, North Carolina",7.70%,7.7
"Cabell County, West Virginia",14.30%,14.3
"Cabo Rojo Municipio, Puerto Rico",14.30%,14.3
"Cache County, Utah",6.20%,6.2
"Caddo County, Oklahoma",14.90%,14.9
"Caddo Parish, Louisiana",14%,14
"Caguas Municipio, Puerto Rico",14.60%,14.6
"Calaveras County, California",14.40%,14.4
"Calcasieu Parish, Louisiana",10.90%,10.9
"Caldwell County, Kentucky",15.70%,15.7
"Caldwell County, Missouri",14.40%,14.4
"Caldwell County, North Carolina",14.80%,14.8
"Caldwell County, Texas",10.50%,10.5
"Caldwell Parish, Louisiana",9.80%,9.8
"Caledonia County, Vermont",15.10%,15.1
"Calhoun County, Alabama",13.50%,13.5
"Calhoun County, Arkansas",17.40%,17.4
"Calhoun County, Florida",17.80%,17.8
"Calhoun County, Georgia",16.60%,16.6
"Calhoun County, Illinois",13.30%,13.3
"Calhoun County, Iowa",17.30%,17.3
"Calhoun County, Michigan",12.90%,12.9
"Calhoun County, Mississippi",14.70%,14.7
"Calhoun County, South Carolina",16.10%,16.1
"Calhoun County, Texas",12.70%,12.7
"Calhoun County, West Virginia",20.70%,20.7
"Callahan County, Texas",14.20%,14.2
"Callaway County, Missouri",10.80%,10.8
"Calloway County, Kentucky",13.30%,13.3
"Calumet County, Wisconsin",10.30%,10.3
"Calvert County, Maryland",9.80%,9.8
"Camas County, Idaho",13.30%,13.3
"Cambria County, Pennsylvania",17%,17
"Camden County, Georgia",8.30%,8.3
"Camden County, Missouri",14.80%,14.8
"Camden County, New Jersey",11.90%,11.9
"Camden County, North Carolina",9%,9
"Cameron County, Pennsylvania",16.40%,16.4
"Cameron County, Texas",10.20%,10.2
"Cameron Parish, Louisiana",9.60%,9.6
"Camp County, Texas",12.30%,12.3
"Campbell County, Kentucky",13%,13
"Campbell County, South Dakota",18.20%,18.2
"Campbell County, Tennessee",13.50%,13.5
"Campbell County, Virginia",14.20%,14.2
"Campbell County, Wyoming",8.30%,8.3
"Camuy Municipio, Puerto Rico",12.90%,12.9
"Canadian County, Oklahoma",9.20%,9.2
"Candler County, Georgia",15.40%,15.4
"Cannon County, Tennessee",14.30%,14.3
"Canóvanas Municipio, Puerto Rico",11.90%,11.9
"Canyon County, Idaho",8.50%,8.5
"Cape Girardeau County, Missouri",12.50%,12.5
"Cape May County, New Jersey",15.20%,15.2
"Capitol Planning Region, Connecticut",12.50%,12.5
"Carbon County, Montana",13.40%,13.4
"Carbon County, Pennsylvania",15.90%,15.9
"Carbon County, Utah",13.90%,13.9
"Carbon County, Wyoming",12.10%,12.1
"Caribou County, Idaho",12.50%,12.5
"Carlisle County, Kentucky",16.90%,16.9
"Carlton County, Minnesota",12.20%,12.2
"Carolina Municipio, Puerto Rico",14.90%,14.9
"Caroline County, Maryland",11.40%,11.4
"Caroline County, Virginia",8.50%,8.5
"Carroll County, Arkansas",13.90%,13.9
"Carroll County, Georgia",9.90%,9.9
"Carroll County, Illinois",16.30%,16.3
"Carroll County, Indiana",14%,14
"Carroll County, Iowa",14.60%,14.6
"Carroll County, Kentucky",15%,15
"Carroll County, Maryland",11.70%,11.7
"Carroll County, Mississippi",14.50%,14.5
"Carroll County, Missouri",13.10%,13.1
"Carroll County, New Hampshire",18.80%,18.8
"Carroll County, Ohio",12.20%,12.2
"Carroll County, Tennessee",14.50%,14.5
"Carroll County, Virginia",16.20%,16.2
"Carson City, Nevada",16%,16
"Carson County, Texas",19.10%,19.1
"Carter County, Kentucky",15.20%,15.2
"Carter County, Missouri",15%,15
"Carter County, Montana",18.40%,18.4
"Carter County, Oklahoma",14.10%,14.1
"Carter County, Tennessee",15%,15
"Carteret County, North Carolina",15.50%,15.5
"Carver County, Minnesota",8.60%,8.6
"Cascade County, Montana",15.50%,15.5
"Casey County, Kentucky",11.80%,11.8
"Cass County, Illinois",16.20%,16.2
"Cass County, Indiana",13.20%,13.2
"Cass County, Iowa",16.20%,16.2
"Cass County, Michigan",11.90%,11.9
"Cass County, Minnesota",14.60%,14.6
"Cass County, Missouri",11.80%,11.8
"Cass County, Nebraska",9.40%,9.4
"Cass County, North Dakota",8.50%,8.5
"Cass County, Texas",15.40%,15.4
"Cassia County, Idaho",7.60%,7.6
"Castro County, Texas",7.40%,7.4
"Caswell County, North Carolina",13.80%,13.8
"Catahoula Parish, Louisiana",14.20%,14.2
"Cataño Municipio, Puerto Rico",13.90%,13.9
"Catawba County, North Carolina",12.60%,12.6
"Catoosa County, Georgia",10.70%,10.7
"Catron County, New Mexico",32.60%,32.6
"Cattaraugus County, New York",13.20%,13.2
"Cavalier County, North Dakota",20.50%,20.5
"Cayey Municipio, Puerto Rico",14.30%,14.3
"Cayuga County, New York",15.40%,15.4
"Cecil County, Maryland",10.20%,10.2
"Cedar County, Iowa",13.30%,13.3
"Cedar County, Missouri",14.70%,14.7
"Cedar County, Nebraska",15.70%,15.7
"Ceiba Municipio, Puerto Rico",18.40%,18.4
"Centre County, Pennsylvania",11%,11
"Cerro Gordo County, Iowa",14.20%,14.2
"Chaffee County, Colorado",14.70%,14.7
"Chambers County, Alabama",12.90%,12.9
"Chambers County, Texas",7.50%,7.5
"Champaign County, Illinois",9.70%,9.7
"Champaign County, Ohio",11.60%,11.6
"Chariton County, Missouri",15.20%,15.2
"Charles City County, Virginia",15.60%,15.6
"Charles County, Maryland",8.60%,8.6
"Charles Mix County, South Dakota",13.50%,13.5
"Charleston County, South Carolina",11.30%,11.3
"Charlevoix County, Michigan",12.60%,12.6
"Charlotte County, Florida",19.60%,19.6
"Charlotte County, Virginia",19.10%,19.1
"Charlottesville city, Virginia",11.10%,11.1
"Charlton County, Georgia",11.90%,11.9
"Chase County, Kansas",18.60%,18.6
"Chase County, Nebraska",14.20%,14.2
"Chatham County, Georgia",10.70%,10.7
"Chatham County, North Carolina",16%,16
"Chattahoochee County, Georgia",3.30%,3.3
"Chattooga County, Georgia",16.70%,16.7
"Chautauqua County, Kansas",16.60%,16.6
"Chautauqua County, New York",15.20%,15.2
"Chaves County, New Mexico",13.90%,13.9
"Cheatham County, Tennessee",9.20%,9.2
"Cheboygan County, Michigan",16.30%,16.3
"Chelan County, Washington",13.40%,13.4
"Chemung County, New York",14.80%,14.8
"Chenango County, New York",14.70%,14.7
"Cherokee County, Alabama",15.80%,15.8
"Cherokee County, Georgia",8.30%,8.3
"Cherokee County, Iowa",17.80%,17.8
"Cherokee County, Kansas",13.90%,13.9
"Cherokee County, North Carolina",15.50%,15.5
"Cherokee County, Oklahoma",13%,13
"Cherokee County, South Carolina",13.40%,13.4
"Cherokee County, Texas",10%,10
"Cherry County, Nebraska",15.90%,15.9
"Chesapeake city, Virginia",9%,9
"Cheshire County, New Hampshire",13.40%,13.4
"Chester County, Pennsylvania",10.50%,10.5
"Chester County, South Carolina",14.40%,14.4
"Chester County, Tennessee",13.40%,13.4
"Chesterfield County, South Carolina",12.70%,12.7
"Chesterfield County, Virginia",10.30%,10.3
"Cheyenne County, Colorado",12.70%,12.7
"Cheyenne County, Kansas",24.70%,24.7
"Cheyenne County, Nebraska",14.90%,14.9
"Chickasaw County, Iowa",13.70%,13.7
"Chickasaw County, Mississippi",15.60%,15.6
"Chicot County, Arkansas",17.90%,17.9
"Childress County, Texas",12.40%,12.4
"Chilton County, Alabama",11.90%,11.9
"Chippewa County, Michigan",15.60%,15.6
"Chippewa County, Minnesota",17.60%,17.6
"Chippewa County, Wisconsin",14.10%,14.1
"Chisago County, Minnesota",10.30%,10.3
"Chittenden County, Vermont",11.60%,11.6
"Choctaw County, Alabama",17.30%,17.3
"Choctaw County, Mississippi",14.80%,14.8
"Choctaw County, Oklahoma",18.30%,18.3
"Chouteau County, Montana",18.60%,18.6
"Chowan County, North Carolina",16.30%,16.3
"Christian County, Illinois",18.50%,18.5
"Christian County, Kentucky",9.60%,9.6
"Christian County, Missouri",10.20%,10.2
"Chugach Census Area, Alaska",10.40%,10.4
"Churchill County, Nevada",15%,15
"Ciales Municipio, Puerto Rico",15.70%,15.7
"Cibola County, New Mexico",15.30%,15.3
"Cidra Municipio, Puerto Rico",12.50%,12.5
"Cimarron County, Oklahoma",21.90%,21.9
"Citrus County, Florida",20.20%,20.2
"Clackamas County, Oregon",11.50%,11.5
"Claiborne County, Mississippi",16.20%,16.2
"Claiborne County, Tennessee",13.50%,13.5
"Claiborne Parish, Louisiana",19.60%,19.6
"Clallam County, Washington",17.10%,17.1
"Clare County, Michigan",17.60%,17.6
"Clarendon County, South Carolina",18.30%,18.3
"Clarion County, Pennsylvania",14.20%,14.2
"Clark County, Arkansas",12.70%,12.7
"Clark County, Idaho",15.50%,15.5
"Clark County, Illinois",13.10%,13.1
"Clark County, Indiana",10.60%,10.6
"Clark County, Kansas",14.30%,14.3
"Clark County, Kentucky",12.70%,12.7
"Clark County, Missouri",20.20%,20.2
"Clark County, Nevada",9.90%,9.9
"Clark County, Ohio",15.40%,15.4
"Clark County, South Dakota",15%,15
"Clark County, Washington",10.20%,10.2
"Clark County, Wisconsin",11.20%,11.2
"Clarke County, Alabama",13.50%,13.5
"Clarke County, Georgia",9.30%,9.3
"Clarke County, Iowa",13.80%,13.8
"Clarke County, Mississippi",15.80%,15.8
"Clarke County, Virginia",9.90%,9.9
"Clatsop County, Oregon",14.90%,14.9
"Clay County, Alabama",12.20%,12.2
"Clay County, Arkansas",19.50%,19.5
"Clay County, Florida",8.30%,8.3
"Clay County, Georgia",18.30%,18.3
"Clay County, Illinois",18.70%,18.7
"Clay County, Indiana",13.70%,13.7
"Clay County, Iowa",14.40%,14.4
"Clay County, Kansas",14.80%,14.8
"Clay County, Kentucky",12.20%,12.2
"Clay County, Minnesota",12.20%,12.2
"Clay County, Mississippi",15%,15
"Clay County, Missouri",9.90%,9.9
"Clay County, Nebraska",13.40%,13.4
"Clay County, North Carolina",21.30%,21.3
"Clay County, South Dakota",9.40%,9.4
"Clay County, Tennessee",17.80%,17.8
"Clay County, Texas",13.20%,13.2
"Clay County, West Virginia",14.20%,14.2
"Clayton County, Georgia",7.50%,7.5
"Clayton County, Iowa",14.90%,14.9
"Clear Creek County, Colorado",18.60%,18.6
"Clearfield County, Pennsylvania",15%,15
"Clearwater County, Idaho",17.80%,17.8
"Clearwater County, Minnesota",15.80%,15.8
"Cleburne County, Alabama",17.30%,17.3
"Cleburne County, Arkansas",16.20%,16.2
"Clermont County, Ohio",12.90%,12.9
"Cleveland County, Arkansas",16.70%,16.7
"Cleveland County, North Carolina",13.80%,13.8
"Cleveland County, Oklahoma",10.90%,10.9
"Clinch County, Georgia",7.50%,7.5
"Clinton County, Illinois",14.20%,14.2
"Clinton County, Indiana",12.50%,12.5
"Clinton County, Iowa",14.90%,14.9
"Clinton County, Kentucky",14.70%,14.7
"Clinton County, Michigan",10.90%,10.9
"Clinton County, Missouri",12.70%,12.7
"Clinton County, New York",12.50%,12.5
"Clinton County, Ohio",13.80%,13.8
"Clinton County, Pennsylvania",14.70%,14.7
"Cloud County, Kansas",16.60%,16.6
"Coahoma County, Mississippi",13.50%,13.5
"Coal County, Oklahoma",18%,18
"Coamo Municipio, Puerto Rico",14.50%,14.5
"Cobb County, Georgia",7.70%,7.7
"Cochise County, Arizona",18.20%,18.2
"Cochran County, Texas",14%,14
"Cocke County, Tennessee",13.10%,13.1
"Coconino County, Arizona",8.70%,8.7
"Codington County, South Dakota",14.50%,14.5
"Coffee County, Alabama",13%,13
"Coffee County, Georgia",10.80%,10.8
"Coffee County, Tennessee",13.90%,13.9
"Coffey County, Kansas",14.10%,14.1
"Coke County, Texas",23.50%,23.5
"Colbert County, Alabama",13.30%,13.3
"Cole County, Missouri",14.80%,14.8
"Coleman County, Texas",20.20%,20.2
"Coles County, Illinois",12.80%,12.8
"Colfax County, Nebraska",9.80%,9.8
"Colfax County, New Mexico",19%,19
"Colleton County, South Carolina",13.30%,13.3
"Collier County, Florida",17.20%,17.2
"Collin County, Texas",6.20%,6.2
"Collingsworth County, Texas",14%,14
"Colonial Heights city, Virginia",13.70%,13.7
"Colorado County, Texas",16%,16
"Colquitt County, Georgia",12.90%,12.9
"Columbia County, Arkansas",15.90%,15.9
"Columbia County, Florida",12.50%,12.5
"Columbia County, Georgia",9.90%,9.9
"Columbia County, New York",15.20%,15.2
"Columbia County, Oregon",11.10%,11.1
"Columbia County, Pennsylvania",14.20%,14.2
"Columbia County, Washington",16.10%,16.1
"Columbia County, Wisconsin",12.80%,12.8
"Columbiana County, Ohio",15.30%,15.3
"Columbus County, North Carolina",17.80%,17.8
"Colusa County, California",15.50%,15.5
"Comal County, Texas",8.30%,8.3
"Comanche County, Kansas",25.30%,25.3
"Comanche County, Oklahoma",10.10%,10.1
"Comanche County, Texas",15.40%,15.4
"Comerío Municipio, Puerto Rico",19.20%,19.2
"Concho County, Texas",16.70%,16.7
"Concordia Parish, Louisiana",19.10%,19.1
"Conecuh County, Alabama",18.90%,18.9
"Conejos County, Colorado",18.40%,18.4
"Contra Costa County, California",10.60%,10.6
"Converse County, Wyoming",14.50%,14.5
"Conway County, Arkansas",13.80%,13.8
"Cook County, Georgia",12.30%,12.3
"Cook County, Illinois",11.90%,11.9
