Geographic Area,Percentage Children under 6 years,Child under 6 yrs
"Boone County, Arkansas",24.50%,24.5
"Boone County, Illinois",17.40%,17.4
"Boone County, Indiana",19.40%,19.4
"Boone County, Iowa",22.30%,22.3
"Boone County, Kentucky",19.80%,19.8
"Boone County, Missouri",22.70%,22.7
"Boone County, Nebraska",31.10%,31.1
"Boone County, West Virginia",18.50%,18.5
"Borden County, Texas",15.90%,15.9
"Bosque County, Texas",23.30%,23.3
"Bossier Parish, Louisiana",20.50%,20.5
"Botetourt County, Virginia",14.30%,14.3
"Bottineau County, North Dakota",24.70%,24.7
"Boulder County, Colorado",21.20%,21.2
"Boundary County, Idaho",20.60%,20.6
"Bourbon County, Kansas",25.10%,25.1
"Bourbon County, Kentucky",27.30%,27.3
"Bowie County, Texas",18.50%,18.5
"Bowman County, North Dakota",4.30%,4.3
"Box Butte County, Nebraska",13.20%,13.2
"Box Elder County, Utah",16.80%,16.8
"Boyd County, Kentucky",24.10%,24.1
"Boyd County, Nebraska",8.40%,8.4
"Boyle County, Kentucky",26.70%,26.7
"Bracken County, Kentucky",9.40%,9.4
"Bradford County, Florida",16.10%,16.1
"Bradford County, Pennsylvania",18.70%,18.7
"Bradley County, Arkansas",15%,15
"Bradley County, Tennessee",17.80%,17.8
"Branch County, Michigan",23.10%,23.1
"Brantley County, Georgia",19.10%,19.1
"Braxton County, West Virginia",15.50%,15.5
"Brazoria County, Texas",23.10%,23.1
"Brazos County, Texas",24%,24
"Breathitt County, Kentucky",23.80%,23.8
"Breckinridge County, Kentucky",19.50%,19.5
"Bremer County, Iowa",20.60%,20.6
"Brevard County, Florida",19.90%,19.9
"Brewster County, Texas",35.70%,35.7
"Briscoe County, Texas",11.20%,11.2
"Bristol Bay Borough, Alaska",15.40%,15.4
"Bristol city, Virginia",13.20%,13.2
"Bristol County, Massachusetts",21.70%,21.7
"Bristol County, Rhode Island",21.40%,21.4
"Broadwater County, Montana",32.40%,32.4
"Bronx County, New York",18.20%,18.2
"Brooke County, West Virginia",19.60%,19.6
"Brookings County, South Dakota",23.80%,23.8
"Brooks County, Georgia",13%,13
"Brooks County, Texas",0%,0
"Broome County, New York",22.50%,22.5
"Broomfield County, Colorado",20.40%,20.4
"Broward County, Florida",20.60%,20.6
"Brown County, Illinois",29.30%,29.3
"Brown County, Indiana",21.70%,21.7
"Brown County, Kansas",18.30%,18.3
"Brown County, Minnesota",19.70%,19.7
"Brown County, Nebraska",45.10%,45.1
"Brown County, Ohio",15.60%,15.6
"Brown County, South Dakota",22.80%,22.8
"Brown County, Texas",18.80%,18.8
"Brown County, Wisconsin",19.50%,19.5
"Brule County, South Dakota",17.80%,17.8
"Brunswick County, North Carolina",21.80%,21.8
"Brunswick County, Virginia",23.70%,23.7
"Bryan County, Georgia",17.80%,17.8
"Bryan County, Oklahoma",21.60%,21.6
"Buchanan County, Iowa",19.70%,19.7
"Buchanan County, Missouri",19.50%,19.5
"Buchanan County, Virginia",19.10%,19.1
"Buckingham County, Virginia",21.50%,21.5
"Bucks County, Pennsylvania",19%,19
"Buena Vista city, Virginia",24.50%,24.5
"Buena Vista County, Iowa",21.90%,21.9
"Buffalo County, Nebraska",25.70%,25.7
"Buffalo County, South Dakota",13%,13
"Buffalo County, Wisconsin",26.50%,26.5
"Bullitt County, Kentucky",18.20%,18.2
"Bulloch County, Georgia",22.40%,22.4
"Bullock County, Alabama",19.20%,19.2
"Buncombe County, North Carolina",23.50%,23.5
"Bureau County, Illinois",18%,18
"Burke County, Georgia",20.50%,20.5
"Burke County, North Carolina",19.60%,19.6
"Burke County, North Dakota",20.50%,20.5
"Burleigh County, North Dakota",23.80%,23.8
"Burleson County, Texas",16.30%,16.3
"Burlington County, New Jersey",19.90%,19.9
"Burnet County, Texas",17.10%,17.1
"Burnett County, Wisconsin",17.90%,17.9
"Burt County, Nebraska",19.60%,19.6
"Butler County, Alabama",14.30%,14.3
"Butler County, Iowa",17.40%,17.4
"Butler County, Kansas",21.10%,21.1
"Butler County, Kentucky",15.40%,15.4
"Butler County, Missouri",24.50%,24.5
"Butler County, Nebraska",25.60%,25.6
"Butler County, Ohio",21.20%,21.2
"Butler County, Pennsylvania",20.60%,20.6
"Butte County, California",20.80%,20.8
"Butte County, Idaho",22.30%,22.3
"Butte County, South Dakota",20.60%,20.6
"Butts County, Georgia",18.90%,18.9
"Cabarrus County, North Carolina",20.40%,20.4
"Cabell County, West Virginia",23.20%,23.2
"Cabo Rojo Municipio, Puerto Rico",18.30%,18.3
"Cache County, Utah",23.50%,23.5
"Caddo County, Oklahoma",17.90%,17.9
"Caddo Parish, Louisiana",17%,17
"Caguas Municipio, Puerto Rico",17.50%,17.5
"Calaveras County, California",30.70%,30.7
"Calcasieu Parish, Louisiana",20.80%,20.8
"Caldwell County, Kentucky",38.20%,38.2
"Caldwell County, Missouri",24.20%,24.2
"Caldwell County, North Carolina",14.80%,14.8
"Caldwell County, Texas",19.10%,19.1
"Caldwell Parish, Louisiana",24.50%,24.5
"Caledonia County, Vermont",25%,25
"Calhoun County, Alabama",20.10%,20.1
"Calhoun County, Arkansas",4.60%,4.6
"Calhoun County, Florida",20.90%,20.9
"Calhoun County, Georgia",20.90%,20.9
"Calhoun County, Illinois",21.40%,21.4
"Calhoun County, Iowa",20.40%,20.4
"Calhoun County, Michigan",21.20%,21.2
"Calhoun County, Mississippi",13.90%,13.9
"Calhoun County, South Carolina",27.40%,27.4
"Calhoun County, Texas",21.80%,21.8
"Calhoun County, West Virginia",15.50%,15.5
"Callahan County, Texas",22.20%,22.2
"Callaway County, Missouri",21.80%,21.8
"Calloway County, Kentucky",23.70%,23.7
"Calumet County, Wisconsin",20.20%,20.2
"Calvert County, Maryland",14.90%,14.9
"Camas County, Idaho",10.10%,10.1
"Cambria County, Pennsylvania",20.40%,20.4
"Camden County, Georgia",22.20%,22.2
"Camden County, Missouri",18.80%,18.8
"Camden County, New Jersey",20.60%,20.6
"Camden County, North Carolina",16.30%,16.3
"Cameron County, Pennsylvania",31%,31
"Cameron County, Texas",16.90%,16.9
"Cameron Parish, Louisiana",12%,12
"Camp County, Texas",21.70%,21.7
"Campbell County, Kentucky",23.20%,23.2
"Campbell County, South Dakota",15.90%,15.9
"Campbell County, Tennessee",26.30%,26.3
"Campbell County, Virginia",17.20%,17.2
"Campbell County, Wyoming",23.30%,23.3
"Camuy Municipio, Puerto Rico",16.70%,16.7
"Canadian County, Oklahoma",24.10%,24.1
"Candler County, Georgia",5.20%,5.2
"Cannon County, Tennessee",26.80%,26.8
"Canóvanas Municipio, Puerto Rico",12.80%,12.8
"Canyon County, Idaho",20%,20
"Cape Girardeau County, Missouri",21.40%,21.4
"Cape May County, New Jersey",23.30%,23.3
"Capitol Planning Region, Connecticut",21.20%,21.2
"Carbon County, Montana",22.70%,22.7
"Carbon County, Pennsylvania",23.70%,23.7
"Carbon County, Utah",26.20%,26.2
"Carbon County, Wyoming",24.50%,24.5
"Caribou County, Idaho",20.10%,20.1
"Carlisle County, Kentucky",15.40%,15.4
"Carlton County, Minnesota",23%,23
"Carolina Municipio, Puerto Rico",15.30%,15.3
"Caroline County, Maryland",17.50%,17.5
"Caroline County, Virginia",13.20%,13.2
"Carroll County, Arkansas",19.50%,19.5
"Carroll County, Georgia",22.60%,22.6
"Carroll County, Illinois",24.40%,24.4
"Carroll County, Indiana",22.40%,22.4
"Carroll County, Iowa",27.20%,27.2
"Carroll County, Kentucky",17.20%,17.2
"Carroll County, Maryland",21.90%,21.9
"Carroll County, Mississippi",42.10%,42.1
"Carroll County, Missouri",25.10%,25.1
"Carroll County, New Hampshire",13.20%,13.2
"Carroll County, Ohio",28.30%,28.3
"Carroll County, Tennessee",23.60%,23.6
"Carroll County, Virginia",19.60%,19.6
"Carson City, Nevada",18.30%,18.3
"Carson County, Texas",17.70%,17.7
"Carter County, Kentucky",22.30%,22.3
"Carter County, Missouri",29.70%,29.7
"Carter County, Montana",34.40%,34.4
"Carter County, Oklahoma",20.80%,20.8
"Carter County, Tennessee",17.50%,17.5
"Carteret County, North Carolina",22.50%,22.5
"Carver County, Minnesota",19.90%,19.9
"Cascade County, Montana",26.10%,26.1
"Casey County, Kentucky",17.60%,17.6
"Cass County, Illinois",19.80%,19.8
"Cass County, Indiana",14.20%,14.2
"Cass County, Iowa",20.60%,20.6
"Cass County, Michigan",18.70%,18.7
"Cass County, Minnesota",16.20%,16.2
"Cass County, Missouri",19%,19
"Cass County, Nebraska",22.50%,22.5
"Cass County, North Dakota",27.10%,27.1
"Cass County, Texas",24.20%,24.2
"Cassia County, Idaho",23%,23
"Castro County, Texas",10.90%,10.9
"Caswell County, North Carolina",17.60%,17.6
"Catahoula Parish, Louisiana",15.10%,15.1
"Cataño Municipio, Puerto Rico",17.90%,17.9
"Catawba County, North Carolina",19.60%,19.6
"Catoosa County, Georgia",17.90%,17.9
"Catron County, New Mexico",3%,3
"Cattaraugus County, New York",22.30%,22.3
"Cavalier County, North Dakota",21.80%,21.8
"Cayey Municipio, Puerto Rico",14%,14
"Cayuga County, New York",26.50%,26.5
"Cecil County, Maryland",20.40%,20.4
"Cedar County, Iowa",18.40%,18.4
"Cedar County, Missouri",14.60%,14.6
"Cedar County, Nebraska",15.30%,15.3
"Ceiba Municipio, Puerto Rico",19.50%,19.5
"Centre County, Pennsylvania",22.40%,22.4
"Cerro Gordo County, Iowa",25.80%,25.8
"Chaffee County, Colorado",26.10%,26.1
"Chambers County, Alabama",20%,20
"Chambers County, Texas",26.40%,26.4
"Champaign County, Illinois",26.70%,26.7
"Champaign County, Ohio",22.70%,22.7
"Chariton County, Missouri",12.40%,12.4
"Charles City County, Virginia",28.40%,28.4
"Charles County, Maryland",17.10%,17.1
"Charles Mix County, South Dakota",19.20%,19.2
"Charleston County, South Carolina",30.30%,30.3
"Charlevoix County, Michigan",23.60%,23.6
"Charlotte County, Florida",20.70%,20.7
"Charlotte County, Virginia",22.50%,22.5
"Charlottesville city, Virginia",28%,28
"Charlton County, Georgia",36.40%,36.4
"Chase County, Kansas",11.60%,11.6
"Chase County, Nebraska",23.10%,23.1
"Chatham County, Georgia",22.90%,22.9
"Chatham County, North Carolina",19.20%,19.2
"Chattahoochee County, Georgia",27.40%,27.4
"Chattooga County, Georgia",20.20%,20.2
"Chautauqua County, Kansas",17.60%,17.6
"Chautauqua County, New York",21.10%,21.1
"Chaves County, New Mexico",18.40%,18.4
"Cheatham County, Tennessee",21.90%,21.9
"Cheboygan County, Michigan",25.20%,25.2
"Chelan County, Washington",21.90%,21.9
"Chemung County, New York",21.20%,21.2
"Chenango County, New York",22.10%,22.1
"Cherokee County, Alabama",16.20%,16.2
"Cherokee County, Georgia",18.60%,18.6
"Cherokee County, Iowa",25.80%,25.8
"Cherokee County, Kansas",19.60%,19.6
"Cherokee County, North Carolina",30.90%,30.9
"Cherokee County, Oklahoma",21%,21
"Cherokee County, South Carolina",17.50%,17.5
"Cherokee County, Texas",23.90%,23.9
"Cherry County, Nebraska",18.20%,18.2
"Chesapeake city, Virginia",20%,20
"Cheshire County, New Hampshire",21.40%,21.4
"Chester County, Pennsylvania",19.90%,19.9
"Chester County, South Carolina",26.70%,26.7
"Chester County, Tennessee",18.70%,18.7
"Chesterfield County, South Carolina",29.80%,29.8
"Chesterfield County, Virginia",21.40%,21.4
"Cheyenne County, Colorado",26.80%,26.8
"Cheyenne County, Kansas",11.20%,11.2
"Cheyenne County, Nebraska",29.80%,29.8
"Chickasaw County, Iowa",18.80%,18.8
"Chickasaw County, Mississippi",14.10%,14.1
"Chicot County, Arkansas",20.80%,20.8
"Childress County, Texas",19.70%,19.7
"Chilton County, Alabama",18.90%,18.9
"Chippewa County, Michigan",23%,23
"Chippewa County, Minnesota",22.90%,22.9
"Chippewa County, Wisconsin",19%,19
"Chisago County, Minnesota",24.40%,24.4
"Chittenden County, Vermont",23.90%,23.9
"Choctaw County, Alabama",36.10%,36.1
"Choctaw County, Mississippi",24.20%,24.2
"Choctaw County, Oklahoma",19.90%,19.9
"Chouteau County, Montana",24.20%,24.2
"Chowan County, North Carolina",30.10%,30.1
"Christian County, Illinois",13.90%,13.9
"Christian County, Kentucky",33.50%,33.5
"Christian County, Missouri",20%,20
"Chugach Census Area, Alaska",27.70%,27.7
"Churchill County, Nevada",10.70%,10.7
"Ciales Municipio, Puerto Rico",12%,12
"Cibola County, New Mexico",15.70%,15.7
"Cidra Municipio, Puerto Rico",18.20%,18.2
"Cimarron County, Oklahoma",16.40%,16.4
"Citrus County, Florida",18.70%,18.7
"Clackamas County, Oregon",19.70%,19.7
"Claiborne County, Mississippi",11.40%,11.4
"Claiborne County, Tennessee",21.20%,21.2
"Claiborne Parish, Louisiana",18.90%,18.9
"Clallam County, Washington",21.20%,21.2
"Clare County, Michigan",18.40%,18.4
"Clarendon County, South Carolina",9.70%,9.7
"Clarion County, Pennsylvania",17.10%,17.1
"Clark County, Arkansas",20.30%,20.3
"Clark County, Idaho",30.80%,30.8
"Clark County, Illinois",24.60%,24.6
"Clark County, Indiana",23.30%,23.3
"Clark County, Kansas",27.30%,27.3
"Clark County, Kentucky",29.40%,29.4
"Clark County, Missouri",23.10%,23.1
"Clark County, Nevada",20.30%,20.3
"Clark County, Ohio",22.30%,22.3
"Clark County, South Dakota",28.70%,28.7
"Clark County, Washington",20.50%,20.5
"Clark County, Wisconsin",22.80%,22.8
"Clarke County, Alabama",18.30%,18.3
"Clarke County, Georgia",25.30%,25.3
"Clarke County, Iowa",33.90%,33.9
"Clarke County, Mississippi",22.40%,22.4
"Clarke County, Virginia",21.50%,21.5
"Clatsop County, Oregon",21.60%,21.6
"Clay County, Alabama",14.90%,14.9
"Clay County, Arkansas",27.70%,27.7
"Clay County, Florida",17.60%,17.6
"Clay County, Georgia",10.30%,10.3
"Clay County, Illinois",19.30%,19.3
"Clay County, Indiana",15.80%,15.8
"Clay County, Iowa",12.90%,12.9
"Clay County, Kansas",19.70%,19.7
"Clay County, Kentucky",17.10%,17.1
"Clay County, Minnesota",21.70%,21.7
"Clay County, Mississippi",13.90%,13.9
"Clay County, Missouri",21.40%,21.4
"Clay County, Nebraska",22.70%,22.7
"Clay County, North Carolina",31.50%,31.5
"Clay County, South Dakota",33.40%,33.4
"Clay County, Tennessee",13.10%,13.1
"Clay County, Texas",14.70%,14.7
"Clay County, West Virginia",12.90%,12.9
"Clayton County, Georgia",21.80%,21.8
"Clayton County, Iowa",28.60%,28.6
"Clear Creek County, Colorado",25.70%,25.7
"Clearfield County, Pennsylvania",22.30%,22.3
"Clearwater County, Idaho",24.20%,24.2
"Clearwater County, Minnesota",20%,20
"Cleburne County, Alabama",22.60%,22.6
"Cleburne County, Arkansas",19.40%,19.4
"Clermont County, Ohio",23.40%,23.4
"Cleveland County, Arkansas",12.50%,12.5
"Cleveland County, North Carolina",19.50%,19.5
"Cleveland County, Oklahoma",23.30%,23.3
"Clinch County, Georgia",13.20%,13.2
"Clinton County, Illinois",23.90%,23.9
"Clinton County, Indiana",21.10%,21.1
"Clinton County, Iowa",22%,22
"Clinton County, Kentucky",16.90%,16.9
"Clinton County, Michigan",20.80%,20.8
"Clinton County, Missouri",17.50%,17.5
"Clinton County, New York",23.40%,23.4
"Clinton County, Ohio",23.70%,23.7
"Clinton County, Pennsylvania",24.70%,24.7
"Cloud County, Kansas",14.30%,14.3
"Coahoma County, Mississippi",15.50%,15.5
"Coal County, Oklahoma",19.30%,19.3
"Coamo Municipio, Puerto Rico",9.20%,9.2
"Cobb County, Georgia",23.70%,23.7
"Cochise County, Arizona",18.30%,18.3
"Cochran County, Texas",24.80%,24.8
"Cocke County, Tennessee",23%,23
"Coconino County, Arizona",18.60%,18.6
"Codington County, South Dakota",25.30%,25.3
"Coffee County, Alabama",21.60%,21.6
"Coffee County, Georgia",25.70%,25.7
"Coffee County, Tennessee",23.90%,23.9
"Coffey County, Kansas",18.80%,18.8
"Coke County, Texas",6.90%,6.9
"Colbert County, Alabama",18.40%,18.4
"Cole County, Missouri",24.80%,24.8
"Coleman County, Texas",15%,15
"Coles County, Illinois",25.90%,25.9
"Colfax County, Nebraska",14.30%,14.3
"Colfax County, New Mexico",15.80%,15.8
"Colleton County, South Carolina",18.90%,18.9
"Collier County, Florida",16.20%,16.2
"Collin County, Texas",19.70%,19.7
"Collingsworth County, Texas",13.30%,13.3
"Colonial Heights city, Virginia",25.40%,25.4
"Colorado County, Texas",20.10%,20.1
"Colquitt County, Georgia",17.70%,17.7
"Columbia County, Arkansas",27.20%,27.2
"Columbia County, Florida",16.70%,16.7
"Columbia County, Georgia",17.80%,17.8
"Columbia County, New York",23.20%,23.2
"Columbia County, Oregon",18.60%,18.6
"Columbia County, Pennsylvania",23.10%,23.1
"Columbia County, Washington",24.30%,24.3
"Columbia County, Wisconsin",20.90%,20.9
"Columbiana County, Ohio",21.20%,21.2
"Columbus County, North Carolina",14.40%,14.4
"Colusa County, California",18.50%,18.5
"Comal County, Texas",20.10%,20.1
"Comanche County, Kansas",12.80%,12.8
"Comanche County, Oklahoma",23%,23
"Comanche County, Texas",10.80%,10.8
"Comerío Municipio, Puerto Rico",12.40%,12.4
"Concho County, Texas",10.40%,10.4
"Concordia Parish, Louisiana",14.30%,14.3
"Conecuh County, Alabama",14.20%,14.2
"Conejos County, Colorado",14.40%,14.4
"Contra Costa County, California",19.30%,19.3
"Converse County, Wyoming",29.30%,29.3
"Conway County, Arkansas",19.90%,19.9
