Geographic Area,Percent below poverty level,Povrty lvl
"Allendale County, South Carolina",27.20%,27.2
"Alpena County, Michigan",16.50%,16.5
"Alpine County, California",13.70%,13.7
"Amador County, California",7.80%,7.8
"Amelia County, Virginia",11.10%,11.1
"Amherst County, Virginia",11.30%,11.3
"Amite County, Mississippi",27.10%,27.1
"Añasco Municipio, Puerto Rico",46.60%,46.6
"Anchorage Municipality, Alaska",9.60%,9.6
"Anderson County, Kansas",13.20%,13.2
"Anderson County, Kentucky",13.40%,13.4
"Anderson County, South Carolina",14.30%,14.3
"Anderson County, Tennessee",15.40%,15.4
"Anderson County, Texas",15.60%,15.6
"Andrew County, Missouri",7.60%,7.6
"Andrews County, Texas",11.90%,11.9
"Androscoggin County, Maine",12.40%,12.4
"Angelina County, Texas",16.10%,16.1
"Anne Arundel County, Maryland",5.80%,5.8
"Anoka County, Minnesota",6.30%,6.3
"Anson County, North Carolina",19.30%,19.3
"Antelope County, Nebraska",11.10%,11.1
"Antrim County, Michigan",9.40%,9.4
"Apache County, Arizona",32.50%,32.5
"Appanoose County, Iowa",17.30%,17.3
"Appling County, Georgia",25.30%,25.3
"Appomattox County, Virginia",13.80%,13.8
"Aransas County, Texas",17.90%,17.9
"Arapahoe County, Colorado",8%,8
"Archer County, Texas",12.30%,12.3
"Archuleta County, Colorado",8.20%,8.2
"Arecibo Municipio, Puerto Rico",44.90%,44.9
"Arenac County, Michigan",13.60%,13.6
"Arkansas County, Arkansas",16.80%,16.8
"Arlington County, Virginia",6.70%,6.7
"Armstrong County, Pennsylvania",10.40%,10.4
"Armstrong County, Texas",5.90%,5.9
"Aroostook County, Maine",14.90%,14.9
"Arroyo Municipio, Puerto Rico",57.70%,57.7
"Arthur County, Nebraska",7%,7
"Ascension Parish, Louisiana",9.90%,9.9
"Ashe County, North Carolina",14.10%,14.1
"Ashland County, Ohio",11.70%,11.7
"Ashland County, Wisconsin",16.60%,16.6
"Ashley County, Arkansas",23.30%,23.3
"Ashtabula County, Ohio",18%,18
"Asotin County, Washington",16.10%,16.1
"Assumption Parish, Louisiana",16%,16
"Atascosa County, Texas",14.10%,14.1
"Atchison County, Kansas",14.50%,14.5
"Atchison County, Missouri",11.60%,11.6
"Athens County, Ohio",24.40%,24.4
"Atkinson County, Georgia",27.50%,27.5
"Atlantic County, New Jersey",13%,13
"Atoka County, Oklahoma",18.20%,18.2
"Attala County, Mississippi",23.60%,23.6
"Audrain County, Missouri",18.10%,18.1
"Audubon County, Iowa",11.80%,11.8
"Auglaize County, Ohio",6.60%,6.6
"Augusta County, Virginia",8.10%,8.1
"Aurora County, South Dakota",5.10%,5.1
"Austin County, Texas",11.90%,11.9
"Autauga County, Alabama",11.40%,11.4
"Avery County, North Carolina",11.20%,11.2
"Avoyelles Parish, Louisiana",27.90%,27.9
"Baca County, Colorado",23%,23
"Bacon County, Georgia",21.60%,21.6
"Bailey County, Texas",12.70%,12.7
"Baker County, Florida",13.70%,13.7
"Baker County, Georgia",23.10%,23.1
"Baker County, Oregon",13.70%,13.7
"Baldwin County, Alabama",10.20%,10.2
"Baldwin County, Georgia",22.70%,22.7
"Ballard County, Kentucky",14.30%,14.3
"Baltimore city, Maryland",19.60%,19.6
"Baltimore County, Maryland",10.20%,10.2
"Bamberg County, South Carolina",22.30%,22.3
"Bandera County, Texas",14.30%,14.3
"Banks County, Georgia",13.20%,13.2
"Banner County, Nebraska",7.40%,7.4
"Bannock County, Idaho",12.50%,12.5
"Baraga County, Michigan",12.20%,12.2
"Barber County, Kansas",20.30%,20.3
"Barbour County, Alabama",24.20%,24.2
"Barbour County, West Virginia",22%,22
"Barceloneta Municipio, Puerto Rico",46.60%,46.6
"Barnes County, North Dakota",13%,13
"Barnstable County, Massachusetts",7%,7
"Barnwell County, South Carolina",25.30%,25.3
"Barranquitas Municipio, Puerto Rico",50%,50
"Barren County, Kentucky",21.10%,21.1
"Barron County, Wisconsin",11.80%,11.8
"Barrow County, Georgia",9.60%,9.6
"Barry County, Michigan",8.30%,8.3
"Barry County, Missouri",18.50%,18.5
"Bartholomew County, Indiana",11.50%,11.5
"Barton County, Kansas",14.50%,14.5
"Barton County, Missouri",22.20%,22.2
"Bartow County, Georgia",10.80%,10.8
"Bastrop County, Texas",11.90%,11.9
"Bates County, Missouri",19.10%,19.1
"Bath County, Kentucky",23.10%,23.1
"Bath County, Virginia",23.70%,23.7
"Baxter County, Arkansas",13.50%,13.5
"Bay County, Florida",12.20%,12.2
"Bay County, Michigan",15.30%,15.3
"Bayamón Municipio, Puerto Rico",34.80%,34.8
"Bayfield County, Wisconsin",10.40%,10.4
"Baylor County, Texas",11.60%,11.6
"Beadle County, South Dakota",9.70%,9.7
"Bear Lake County, Idaho",10.60%,10.6
"Beaufort County, North Carolina",17.10%,17.1
"Beaufort County, South Carolina",10.40%,10.4
"Beauregard Parish, Louisiana",13.30%,13.3
"Beaver County, Oklahoma",7.10%,7.1
"Beaver County, Pennsylvania",10.40%,10.4
"Beaver County, Utah",7%,7
"Beaverhead County, Montana",15.40%,15.4
"Becker County, Minnesota",10.90%,10.9
"Beckham County, Oklahoma",21.90%,21.9
"Bedford County, Pennsylvania",10.80%,10.8
"Bedford County, Tennessee",12.40%,12.4
"Bedford County, Virginia",9.10%,9.1
"Bee County, Texas",20%,20
"Belknap County, New Hampshire",8.60%,8.6
"Bell County, Kentucky",26.30%,26.3
"Bell County, Texas",14.70%,14.7
"Belmont County, Ohio",14%,14
"Beltrami County, Minnesota",16.10%,16.1
"Ben Hill County, Georgia",26.50%,26.5
"Benewah County, Idaho",14.50%,14.5
"Bennett County, South Dakota",29.60%,29.6
"Bennington County, Vermont",11.20%,11.2
"Benson County, North Dakota",27.20%,27.2
"Bent County, Colorado",27.10%,27.1
"Benton County, Arkansas",7.90%,7.9
"Benton County, Indiana",14.20%,14.2
"Benton County, Iowa",8.30%,8.3
"Benton County, Minnesota",9.30%,9.3
"Benton County, Mississippi",17.60%,17.6
"Benton County, Missouri",17.50%,17.5
"Benton County, Oregon",19.10%,19.1
"Benton County, Tennessee",18%,18
"Benton County, Washington",10.50%,10.5
"Benzie County, Michigan",10.40%,10.4
"Bergen County, New Jersey",6.80%,6.8
"Berkeley County, South Carolina",10.90%,10.9
"Berkeley County, West Virginia",10.90%,10.9
"Berks County, Pennsylvania",11.80%,11.8
"Berkshire County, Massachusetts",11%,11
"Bernalillo County, New Mexico",16.40%,16.4
"Berrien County, Georgia",23.20%,23.2
"Berrien County, Michigan",15.70%,15.7
"Bertie County, North Carolina",21.40%,21.4
"Bethel Census Area, Alaska",25.30%,25.3
"Bexar County, Texas",15.20%,15.2
"Bibb County, Alabama",20.60%,20.6
"Bibb County, Georgia",25.10%,25.1
"Bienville Parish, Louisiana",31.10%,31.1
"Big Horn County, Montana",25.70%,25.7
"Big Horn County, Wyoming",11.10%,11.1
"Big Stone County, Minnesota",10.50%,10.5
"Billings County, North Dakota",11.10%,11.1
"Bingham County, Idaho",10.40%,10.4
"Black Hawk County, Iowa",15.70%,15.7
"Blackford County, Indiana",17%,17
"Bladen County, North Carolina",24.40%,24.4
"Blaine County, Idaho",6.90%,6.9
"Blaine County, Montana",20.20%,20.2
"Blaine County, Nebraska",11.50%,11.5
"Blaine County, Oklahoma",13.70%,13.7
"Blair County, Pennsylvania",13.20%,13.2
"Blanco County, Texas",9.80%,9.8
"Bland County, Virginia",10.70%,10.7
"Bleckley County, Georgia",17.10%,17.1
"Bledsoe County, Tennessee",26%,26
"Blount County, Alabama",14.20%,14.2
"Blount County, Tennessee",8.60%,8.6
"Blue Earth County, Minnesota",16.40%,16.4
"Boise County, Idaho",9.40%,9.4
"Bolivar County, Mississippi",31.80%,31.8
"Bollinger County, Missouri",14.90%,14.9
"Bon Homme County, South Dakota",11.70%,11.7
"Bond County, Illinois",14.90%,14.9
"Bonner County, Idaho",11.90%,11.9
"Bonneville County, Idaho",9.50%,9.5
"Boone County, Arkansas",13.20%,13.2
"Boone County, Illinois",9.80%,9.8
"Boone County, Indiana",5.80%,5.8
"Boone County, Iowa",7.50%,7.5
"Boone County, Kentucky",5.70%,5.7
"Boone County, Missouri",17.80%,17.8
"Boone County, Nebraska",7.30%,7.3
"Boone County, West Virginia",16.50%,16.5
"Borden County, Texas",1.60%,1.6
"Bosque County, Texas",11.50%,11.5
"Bossier Parish, Louisiana",16.70%,16.7
"Botetourt County, Virginia",7.20%,7.2
"Bottineau County, North Dakota",8.20%,8.2
"Boulder County, Colorado",11.30%,11.3
"Boundary County, Idaho",18.50%,18.5
"Bourbon County, Kansas",12.80%,12.8
"Bourbon County, Kentucky",15.10%,15.1
"Bowie County, Texas",17.40%,17.4
"Bowman County, North Dakota",10.70%,10.7
"Box Butte County, Nebraska",12%,12
"Box Elder County, Utah",8.10%,8.1
"Boyd County, Kentucky",17.40%,17.4
"Boyd County, Nebraska",11.60%,11.6
"Boyle County, Kentucky",15%,15
"Bracken County, Kentucky",17%,17
"Bradford County, Florida",18.20%,18.2
"Bradford County, Pennsylvania",13.10%,13.1
"Bradley County, Arkansas",15.20%,15.2
"Bradley County, Tennessee",13.40%,13.4
"Branch County, Michigan",15%,15
"Brantley County, Georgia",16.30%,16.3
"Braxton County, West Virginia",18.20%,18.2
"Brazoria County, Texas",7.50%,7.5
"Brazos County, Texas",24.30%,24.3
"Breathitt County, Kentucky",28.50%,28.5
"Breckinridge County, Kentucky",23.50%,23.5
"Bremer County, Iowa",6.60%,6.6
"Brevard County, Florida",10.10%,10.1
"Brewster County, Texas",15.70%,15.7
"Briscoe County, Texas",24.40%,24.4
"Bristol Bay Borough, Alaska",7.90%,7.9
"Bristol city, Virginia",17%,17
"Bristol County, Massachusetts",11.10%,11.1
"Bristol County, Rhode Island",7.20%,7.2
"Broadwater County, Montana",9.10%,9.1
"Bronx County, New York",26.90%,26.9
"Brooke County, West Virginia",11%,11
"Brookings County, South Dakota",12.50%,12.5
"Brooks County, Georgia",26.50%,26.5
"Brooks County, Texas",33.20%,33.2
"Broome County, New York",19.10%,19.1
"Broomfield County, Colorado",5%,5
"Broward County, Florida",12.40%,12.4
"Brown County, Illinois",10%,10
"Brown County, Indiana",8.20%,8.2
"Brown County, Kansas",14.50%,14.5
"Brown County, Minnesota",7.70%,7.7
"Brown County, Nebraska",8.90%,8.9
"Brown County, Ohio",15.90%,15.9
"Brown County, South Dakota",10.50%,10.5
"Brown County, Texas",13.30%,13.3
"Brown County, Wisconsin",9.70%,9.7
"Brule County, South Dakota",13.90%,13.9
"Brunswick County, North Carolina",9.10%,9.1
"Brunswick County, Virginia",17.20%,17.2
"Bryan County, Georgia",7.20%,7.2
"Bryan County, Oklahoma",16.30%,16.3
"Buchanan County, Iowa",8.60%,8.6
"Buchanan County, Missouri",16.60%,16.6
"Buchanan County, Virginia",25.30%,25.3
"Buckingham County, Virginia",14%,14
"Bucks County, Pennsylvania",5.60%,5.6
"Buena Vista city, Virginia",21.90%,21.9
"Buena Vista County, Iowa",7.10%,7.1
"Buffalo County, Nebraska",11.80%,11.8
"Buffalo County, South Dakota",36.50%,36.5
"Buffalo County, Wisconsin",8.20%,8.2
"Bullitt County, Kentucky",10.60%,10.6
"Bulloch County, Georgia",22.80%,22.8
"Bullock County, Alabama",27.90%,27.9
"Buncombe County, North Carolina",11.20%,11.2
"Bureau County, Illinois",12.60%,12.6
"Burke County, Georgia",17.30%,17.3
"Burke County, North Carolina",17%,17
"Burke County, North Dakota",6.50%,6.5
"Burleigh County, North Dakota",7.90%,7.9
"Burleson County, Texas",12.50%,12.5
"Burlington County, New Jersey",6.60%,6.6
"Burnet County, Texas",7.80%,7.8
"Burnett County, Wisconsin",11.60%,11.6
"Burt County, Nebraska",14.20%,14.2
"Butler County, Alabama",21.10%,21.1
"Butler County, Iowa",11.80%,11.8
"Butler County, Kansas",7.90%,7.9
"Butler County, Kentucky",19.80%,19.8
"Butler County, Missouri",21.10%,21.1
"Butler County, Nebraska",7.90%,7.9
"Butler County, Ohio",11.80%,11.8
"Butler County, Pennsylvania",7.90%,7.9
"Butte County, California",18.20%,18.2
"Butte County, Idaho",22.10%,22.1
"Butte County, South Dakota",8.20%,8.2
"Butts County, Georgia",15.80%,15.8
"Cabarrus County, North Carolina",8.40%,8.4
"Cabell County, West Virginia",20.10%,20.1
"Cabo Rojo Municipio, Puerto Rico",42.10%,42.1
"Cache County, Utah",13.50%,13.5
"Caddo County, Oklahoma",18.60%,18.6
"Caddo Parish, Louisiana",21.90%,21.9
"Caguas Municipio, Puerto Rico",37%,37
"Calaveras County, California",13.10%,13.1
"Calcasieu Parish, Louisiana",17.10%,17.1
"Caldwell County, Kentucky",16.20%,16.2
"Caldwell County, Missouri",16.10%,16.1
"Caldwell County, North Carolina",13.30%,13.3
"Caldwell County, Texas",14%,14
"Caldwell Parish, Louisiana",24.90%,24.9
"Caledonia County, Vermont",11.80%,11.8
"Calhoun County, Alabama",18%,18
"Calhoun County, Arkansas",12.50%,12.5
"Calhoun County, Florida",19.90%,19.9
"Calhoun County, Georgia",25.80%,25.8
"Calhoun County, Illinois",8.40%,8.4
"Calhoun County, Iowa",9%,9
"Calhoun County, Michigan",14.80%,14.8
"Calhoun County, Mississippi",18.80%,18.8
"Calhoun County, South Carolina",18.70%,18.7
"Calhoun County, Texas",9.20%,9.2
"Calhoun County, West Virginia",33.70%,33.7
"Callahan County, Texas",8.80%,8.8
"Callaway County, Missouri",9.50%,9.5
"Calloway County, Kentucky",18.70%,18.7
"Calumet County, Wisconsin",5.90%,5.9
"Calvert County, Maryland",4.30%,4.3
"Camas County, Idaho",6.70%,6.7
"Cambria County, Pennsylvania",14.40%,14.4
"Camden County, Georgia",16.40%,16.4
"Camden County, Missouri",13.50%,13.5
"Camden County, New Jersey",12.40%,12.4
"Camden County, North Carolina",5.90%,5.9
"Cameron County, Pennsylvania",15%,15
"Cameron County, Texas",25.30%,25.3
"Cameron Parish, Louisiana",12.40%,12.4
"Camp County, Texas",21.50%,21.5
"Campbell County, Kentucky",11.70%,11.7
"Campbell County, South Dakota",5.60%,5.6
"Campbell County, Tennessee",19.40%,19.4
"Campbell County, Virginia",10%,10
"Campbell County, Wyoming",9.50%,9.5
"Camuy Municipio, Puerto Rico",41.70%,41.7
"Canadian County, Oklahoma",8%,8
"Candler County, Georgia",18.30%,18.3
"Cannon County, Tennessee",15.10%,15.1
"Canóvanas Municipio, Puerto Rico",36.40%,36.4
"Canyon County, Idaho",10.20%,10.2
"Cape Girardeau County, Missouri",14.50%,14.5
"Cape May County, New Jersey",9%,9
"Capitol Planning Region, Connecticut",10.80%,10.8
"Carbon County, Montana",10.30%,10.3
"Carbon County, Pennsylvania",11.80%,11.8
"Carbon County, Utah",16.60%,16.6
"Carbon County, Wyoming",13.90%,13.9
"Caribou County, Idaho",6.70%,6.7
"Carlisle County, Kentucky",20.10%,20.1
"Carlton County, Minnesota",12.70%,12.7
"Carolina Municipio, Puerto Rico",31%,31
"Caroline County, Maryland",12.90%,12.9
"Caroline County, Virginia",11.60%,11.6
"Carroll County, Arkansas",15.40%,15.4
"Carroll County, Georgia",16.90%,16.9
"Carroll County, Illinois",11.20%,11.2
"Carroll County, Indiana",7.30%,7.3
"Carroll County, Iowa",7.80%,7.8
"Carroll County, Kentucky",20.30%,20.3
"Carroll County, Maryland",5.10%,5.1
"Carroll County, Mississippi",21.80%,21.8
"Carroll County, Missouri",9.40%,9.4
"Carroll County, New Hampshire",8%,8
"Carroll County, Ohio",12.20%,12.2
"Carroll County, Tennessee",16.40%,16.4
"Carroll County, Virginia",15.20%,15.2
"Carson City, Nevada",11.20%,11.2
"Carson County, Texas",7.50%,7.5
"Carter County, Kentucky",23.90%,23.9
"Carter County, Missouri",20.60%,20.6
"Carter County, Montana",17%,17
"Carter County, Oklahoma",15.30%,15.3
"Carter County, Tennessee",18.10%,18.1
"Carteret County, North Carolina",9.70%,9.7
"Carver County, Minnesota",3.80%,3.8
"Cascade County, Montana",13.60%,13.6
"Casey County, Kentucky",26.10%,26.1
"Cass County, Illinois",12.30%,12.3
"Cass County, Indiana",13.90%,13.9
"Cass County, Iowa",15.30%,15.3
"Cass County, Michigan",12.90%,12.9
"Cass County, Minnesota",12.20%,12.2
"Cass County, Missouri",7%,7
"Cass County, Nebraska",5.60%,5.6
"Cass County, North Dakota",10.80%,10.8
"Cass County, Texas",18.50%,18.5
"Cassia County, Idaho",10.40%,10.4
"Castro County, Texas",12.40%,12.4
"Caswell County, North Carolina",15.40%,15.4
"Catahoula Parish, Louisiana",24.70%,24.7
"Cataño Municipio, Puerto Rico",45.60%,45.6
"Catawba County, North Carolina",13%,13
"Catoosa County, Georgia",8.90%,8.9
"Catron County, New Mexico",21%,21
"Cattaraugus County, New York",17.40%,17.4
"Cavalier County, North Dakota",10%,10
"Cayey Municipio, Puerto Rico",39.80%,39.8
"Cayuga County, New York",13.50%,13.5
"Cecil County, Maryland",10.10%,10.1
"Cedar County, Iowa",7.80%,7.8
"Cedar County, Missouri",18.30%,18.3
"Cedar County, Nebraska",5.40%,5.4
"Ceiba Municipio, Puerto Rico",41.80%,41.8
"Centre County, Pennsylvania",17%,17
"Cerro Gordo County, Iowa",9.30%,9.3
"Chaffee County, Colorado",11.80%,11.8
"Chambers County, Alabama",17.90%,17.9
"Chambers County, Texas",13.70%,13.7
"Champaign County, Illinois",18.70%,18.7
"Champaign County, Ohio",9.20%,9.2
"Chariton County, Missouri",13.30%,13.3
"Charles City County, Virginia",12.50%,12.5
"Charles County, Maryland",5.90%,5.9
"Charles Mix County, South Dakota",22.90%,22.9
"Charleston County, South Carolina",12.30%,12.3
"Charlevoix County, Michigan",8.60%,8.6
"Charlotte County, Florida",10.50%,10.5
"Charlotte County, Virginia",20.30%,20.3
"Charlottesville city, Virginia",23.60%,23.6
"Charlton County, Georgia",20.50%,20.5
"Chase County, Kansas",8.80%,8.8
"Chase County, Nebraska",8.20%,8.2
"Chatham County, Georgia",14%,14
"Chatham County, North Carolina",10.40%,10.4
"Chattahoochee County, Georgia",16.90%,16.9
"Chattooga County, Georgia",19.90%,19.9
"Chautauqua County, Kansas",17.60%,17.6
"Chautauqua County, New York",17.50%,17.5
"Chaves County, New Mexico",21.80%,21.8
"Cheatham County, Tennessee",9.30%,9.3
"Cheboygan County, Michigan",11.90%,11.9
"Chelan County, Washington",9.20%,9.2
"Chemung County, New York",15.20%,15.2
"Chenango County, New York",12.40%,12.4
"Cherokee County, Alabama",14.30%,14.3
"Cherokee County, Georgia",6.60%,6.6
"Cherokee County, Iowa",13.30%,13.3
"Cherokee County, Kansas",13.70%,13.7
"Cherokee County, North Carolina",16.70%,16.7
"Cherokee County, Oklahoma",20.80%,20.8
"Cherokee County, South Carolina",18%,18
"Cherokee County, Texas",16.60%,16.6
"Cherry County, Nebraska",9.80%,9.8
"Chesapeake city, Virginia",7.60%,7.6
"Cheshire County, New Hampshire",9%,9
"Chester County, Pennsylvania",6%,6
"Chester County, South Carolina",18.90%,18.9
"Chester County, Tennessee",15.80%,15.8
"Chesterfield County, South Carolina",20.30%,20.3
"Chesterfield County, Virginia",6.70%,6.7
"Cheyenne County, Colorado",10.90%,10.9
"Cheyenne County, Kansas",15.20%,15.2
"Cheyenne County, Nebraska",11.70%,11.7
"Chickasaw County, Iowa",6.30%,6.3
"Chickasaw County, Mississippi",26.60%,26.6
"Chicot County, Arkansas",27.40%,27.4
"Childress County, Texas",15.10%,15.1
"Chilton County, Alabama",14.50%,14.5
"Chippewa County, Michigan",16.50%,16.5
"Chippewa County, Minnesota",11.20%,11.2
"Chippewa County, Wisconsin",9.90%,9.9
"Chisago County, Minnesota",6.30%,6.3
"Chittenden County, Vermont",11.20%,11.2
"Choctaw County, Alabama",19.10%,19.1
"Choctaw County, Mississippi",19.10%,19.1
"Choctaw County, Oklahoma",22.80%,22.8
"Chouteau County, Montana",15.10%,15.1
"Chowan County, North Carolina",20.90%,20.9
"Christian County, Illinois",11.90%,11.9
"Christian County, Kentucky",16.70%,16.7
"Christian County, Missouri",8.70%,8.7
"Chugach Census Area, Alaska",4.90%,4.9
"Churchill County, Nevada",9.90%,9.9
"Ciales Municipio, Puerto Rico",55.70%,55.7
"Cibola County, New Mexico",27.30%,27.3
"Cidra Municipio, Puerto Rico",39%,39
"Cimarron County, Oklahoma",10.90%,10.9
"Citrus County, Florida",15%,15
"Clackamas County, Oregon",7.60%,7.6
"Claiborne County, Mississippi",30.40%,30.4
"Claiborne County, Tennessee",18.30%,18.3
"Claiborne Parish, Louisiana",32.60%,32.6
"Clallam County, Washington",10.90%,10.9
"Clare County, Michigan",22.10%,22.1
"Clarendon County, South Carolina",19.50%,19.5
"Clarion County, Pennsylvania",13.70%,13.7
"Clark County, Arkansas",20%,20
"Clark County, Idaho",9.20%,9.2
"Clark County, Illinois",9%,9
"Clark County, Indiana",9.70%,9.7
"Clark County, Kansas",11.70%,11.7
"Clark County, Kentucky",15.10%,15.1
"Clark County, Missouri",10.90%,10.9
"Clark County, Nevada",13.40%,13.4
"Clark County, Ohio",15.60%,15.6
"Clark County, South Dakota",9.40%,9.4
"Clark County, Washington",8.90%,8.9
"Clark County, Wisconsin",12.20%,12.2
"Clarke County, Alabama",22.40%,22.4
"Clarke County, Georgia",26.60%,26.6
"Clarke County, Iowa",16.90%,16.9
"Clarke County, Mississippi",20.60%,20.6
"Clarke County, Virginia",5.40%,5.4
"Clatsop County, Oregon",10.20%,10.2
"Clay County, Alabama",17.60%,17.6
"Clay County, Arkansas",19.40%,19.4
"Clay County, Florida",9.40%,9.4
"Clay County, Georgia",25.70%,25.7
"Clay County, Illinois",15.70%,15.7
"Clay County, Indiana",10.90%,10.9
"Clay County, Iowa",11.50%,11.5
"Clay County, Kansas",11.40%,11.4
"Clay County, Kentucky",31.20%,31.2
"Clay County, Minnesota",14.70%,14.7
"Clay County, Mississippi",23%,23
"Clay County, Missouri",8.30%,8.3
"Clay County, Nebraska",8.70%,8.7
"Clay County, North Carolina",13.50%,13.5
"Clay County, South Dakota",21.20%,21.2
"Clay County, Tennessee",22.30%,22.3
"Clay County, Texas",9.10%,9.1
"Clay County, West Virginia",24.60%,24.6
"Clayton County, Georgia",16.90%,16.9
"Clayton County, Iowa",13%,13
"Clear Creek County, Colorado",6.60%,6.6
"Clearfield County, Pennsylvania",13.70%,13.7
"Clearwater County, Idaho",11.30%,11.3
"Clearwater County, Minnesota",11.30%,11.3
"Cleburne County, Alabama",12.90%,12.9
"Cleburne County, Arkansas",14.10%,14.1
"Clermont County, Ohio",8.40%,8.4
"Cleveland County, Arkansas",13.60%,13.6
"Cleveland County, North Carolina",18.40%,18.4
"Cleveland County, Oklahoma",12.80%,12.8
"Clinch County, Georgia",32.50%,32.5
"Clinton County, Illinois",7.20%,7.2
"Clinton County, Indiana",9%,9
"Clinton County, Iowa",12.40%,12.4
"Clinton County, Kentucky",20.30%,20.3
"Clinton County, Michigan",9.60%,9.6
"Clinton County, Missouri",11.30%,11.3
"Clinton County, New York",13%,13
"Clinton County, Ohio",14.50%,14.5
"Clinton County, Pennsylvania",13.10%,13.1
"Cloud County, Kansas",12%,12
"Coahoma County, Mississippi",37%,37
"Coal County, Oklahoma",22.90%,22.9
"Coamo Municipio, Puerto Rico",49.90%,49.9
"Cobb County, Georgia",8.30%,8.3
"Cochise County, Arizona",14.70%,14.7
"Cochran County, Texas",25.80%,25.8
"Cocke County, Tennessee",20.10%,20.1
"Coconino County, Arizona",16.90%,16.9
"Codington County, South Dakota",11%,11
"Coffee County, Alabama",16.30%,16.3
"Coffee County, Georgia",20%,20
"Coffee County, Tennessee",16.90%,16.9
"Coffey County, Kansas",11.20%,11.2
"Coke County, Texas",16.50%,16.5
"Colbert County, Alabama",15.90%,15.9
"Cole County, Missouri",9.40%,9.4
"Coleman County, Texas",17.10%,17.1
"Coles County, Illinois",19.40%,19.4
"Colfax County, Nebraska",10.20%,10.2
"Colfax County, New Mexico",18.10%,18.1
"Colleton County, South Carolina",16.60%,16.6
"Collier County, Florida",10.40%,10.4
"Collin County, Texas",6.30%,6.3
"Collingsworth County, Texas",22.30%,22.3
"Colonial Heights city, Virginia",10.20%,10.2
"Colorado County, Texas",7.50%,7.5
"Colquitt County, Georgia",24.40%,24.4
"Columbia County, Arkansas",22.50%,22.5
"Columbia County, Florida",15.70%,15.7
"Columbia County, Georgia",7.20%,7.2
"Columbia County, New York",10.30%,10.3
"Columbia County, Oregon",9.10%,9.1
"Columbia County, Pennsylvania",15.30%,15.3
"Columbia County, Washington",9.30%,9.3
"Columbia County, Wisconsin",7.50%,7.5
"Columbiana County, Ohio",13.20%,13.2
"Columbus County, North Carolina",21.10%,21.1
"Colusa County, California",10.90%,10.9
"Comal County, Texas",6.10%,6.1
"Comanche County, Kansas",8.70%,8.7
"Comanche County, Oklahoma",16.60%,16.6
"Comanche County, Texas",13.50%,13.5
"Comerío Municipio, Puerto Rico",53.30%,53.3
"Concho County, Texas",15.90%,15.9
"Concordia Parish, Louisiana",33.90%,33.9
"Conecuh County, Alabama",18.40%,18.4
"Conejos County, Colorado",15.70%,15.7
"Contra Costa County, California",8.30%,8.3
"Converse County, Wyoming",11%,11
"Conway County, Arkansas",20.90%,20.9
"Cook County, Georgia",21.80%,21.8
"Cook County, Illinois",13.40%,13.4
