Geographic Area,VEHICLES AVAILABLE—No vehicle available—Estimate,No vhcl
"Alleghany County, North Carolina",5.60%,5.6
"Alleghany County, Virginia",6.70%,6.7
"Allegheny County, Pennsylvania",12.70%,12.7
"Allen County, Indiana",6%,6
"Allen County, Kansas",7.60%,7.6
"Allen County, Kentucky",6.40%,6.4
"Allen County, Ohio",7.50%,7.5
"Allen Parish, Louisiana",8.20%,8.2
"Allendale County, South Carolina",13.40%,13.4
"Alpena County, Michigan",9%,9
"Alpine County, California",3.40%,3.4
"Amador County, California",5.40%,5.4
"Amelia County, Virginia",2.60%,2.6
"Amherst County, Virginia",5.40%,5.4
"Amite County, Mississippi",7.60%,7.6
"Añasco Municipio, Puerto Rico",10.60%,10.6
"Anchorage Municipality, Alaska",5.70%,5.7
"Anderson County, Kansas",6.20%,6.2
"Anderson County, Kentucky",1.90%,1.9
"Anderson County, South Carolina",5.90%,5.9
"Anderson County, Tennessee",5.40%,5.4
"Anderson County, Texas",6.50%,6.5
"Andrew County, Missouri",3.50%,3.5
"Andrews County, Texas",1.60%,1.6
"Androscoggin County, Maine",9%,9
"Angelina County, Texas",5.60%,5.6
"Anne Arundel County, Maryland",3.80%,3.8
"Anoka County, Minnesota",4.70%,4.7
"Anson County, North Carolina",7.10%,7.1
"Antelope County, Nebraska",3.80%,3.8
"Antrim County, Michigan",3.60%,3.6
"Apache County, Arizona",12.70%,12.7
"Appanoose County, Iowa",6.50%,6.5
"Appling County, Georgia",7.40%,7.4
"Appomattox County, Virginia",3.40%,3.4
"Aransas County, Texas",5.10%,5.1
"Arapahoe County, Colorado",5%,5
"Archer County, Texas",2.50%,2.5
"Archuleta County, Colorado",2.50%,2.5
"Arecibo Municipio, Puerto Rico",13.10%,13.1
"Arenac County, Michigan",7.30%,7.3
"Arkansas County, Arkansas",9.70%,9.7
"Arlington County, Virginia",14.10%,14.1
"Armstrong County, Pennsylvania",7.20%,7.2
"Armstrong County, Texas",0%,0
"Aroostook County, Maine",8.60%,8.6
"Arroyo Municipio, Puerto Rico",10.30%,10.3
"Arthur County, Nebraska",3.40%,3.4
"Ascension Parish, Louisiana",3.70%,3.7
"Ashe County, North Carolina",4.20%,4.2
"Ashland County, Ohio",6.90%,6.9
"Ashland County, Wisconsin",6.10%,6.1
"Ashley County, Arkansas",8.90%,8.9
"Ashtabula County, Ohio",8.50%,8.5
"Asotin County, Washington",3.30%,3.3
"Assumption Parish, Louisiana",9%,9
"Atascosa County, Texas",5.50%,5.5
"Atchison County, Kansas",7%,7
"Atchison County, Missouri",4.40%,4.4
"Athens County, Ohio",6.70%,6.7
"Atkinson County, Georgia",4.40%,4.4
"Atlantic County, New Jersey",12%,12
"Atoka County, Oklahoma",7%,7
"Attala County, Mississippi",8.10%,8.1
"Audrain County, Missouri",6.70%,6.7
"Audubon County, Iowa",7.10%,7.1
"Auglaize County, Ohio",3.60%,3.6
"Augusta County, Virginia",4.50%,4.5
"Aurora County, South Dakota",1.80%,1.8
"Austin County, Texas",3.50%,3.5
"Autauga County, Alabama",4%,4
"Avery County, North Carolina",4.50%,4.5
"Avoyelles Parish, Louisiana",9.90%,9.9
"Baca County, Colorado",5.10%,5.1
"Bacon County, Georgia",7.40%,7.4
"Bailey County, Texas",13.20%,13.2
"Baker County, Florida",4%,4
"Baker County, Georgia",7.20%,7.2
"Baker County, Oregon",4.80%,4.8
"Baldwin County, Alabama",2.30%,2.3
"Baldwin County, Georgia",6.80%,6.8
"Ballard County, Kentucky",5.40%,5.4
"Baltimore city, Maryland",26.50%,26.5
"Baltimore County, Maryland",7.80%,7.8
"Bamberg County, South Carolina",15.40%,15.4
"Bandera County, Texas",1.50%,1.5
"Banks County, Georgia",2.50%,2.5
"Banner County, Nebraska",2.40%,2.4
"Bannock County, Idaho",5%,5
"Baraga County, Michigan",7.90%,7.9
"Barber County, Kansas",6%,6
"Barbour County, Alabama",11.70%,11.7
"Barbour County, West Virginia",6.90%,6.9
"Barceloneta Municipio, Puerto Rico",8.60%,8.6
"Barnes County, North Dakota",5.60%,5.6
"Barnstable County, Massachusetts",5%,5
"Barnwell County, South Carolina",11.60%,11.6
"Barranquitas Municipio, Puerto Rico",9.80%,9.8
"Barren County, Kentucky",6.70%,6.7
"Barron County, Wisconsin",5.20%,5.2
"Barrow County, Georgia",3.40%,3.4
"Barry County, Michigan",3.40%,3.4
"Barry County, Missouri",3.50%,3.5
"Bartholomew County, Indiana",5.50%,5.5
"Barton County, Kansas",5.80%,5.8
"Barton County, Missouri",7.80%,7.8
"Bartow County, Georgia",3.10%,3.1
"Bastrop County, Texas",2.90%,2.9
"Bates County, Missouri",7.40%,7.4
"Bath County, Kentucky",9.50%,9.5
"Bath County, Virginia",0.90%,0.9
"Baxter County, Arkansas",4.40%,4.4
"Bay County, Florida",4%,4
"Bay County, Michigan",6.90%,6.9
"Bayamón Municipio, Puerto Rico",12.50%,12.5
"Bayfield County, Wisconsin",3.70%,3.7
"Baylor County, Texas",3.10%,3.1
"Beadle County, South Dakota",7%,7
"Bear Lake County, Idaho",3.70%,3.7
"Beaufort County, North Carolina",5.80%,5.8
"Beaufort County, South Carolina",3.50%,3.5
"Beauregard Parish, Louisiana",5.40%,5.4
"Beaver County, Oklahoma",2.50%,2.5
"Beaver County, Pennsylvania",8.50%,8.5
"Beaver County, Utah",2.70%,2.7
"Beaverhead County, Montana",0.90%,0.9
"Becker County, Minnesota",5.10%,5.1
"Beckham County, Oklahoma",5.60%,5.6
"Bedford County, Pennsylvania",5.80%,5.8
"Bedford County, Tennessee",3.90%,3.9
"Bedford County, Virginia",3.60%,3.6
"Bee County, Texas",5%,5
"Belknap County, New Hampshire",4%,4
"Bell County, Kentucky",7.70%,7.7
"Bell County, Texas",5.80%,5.8
"Belmont County, Ohio",6.90%,6.9
"Beltrami County, Minnesota",6.90%,6.9
"Ben Hill County, Georgia",10%,10
"Benewah County, Idaho",2.10%,2.1
"Bennett County, South Dakota",9%,9
"Bennington County, Vermont",8.50%,8.5
"Benson County, North Dakota",9.20%,9.2
"Bent County, Colorado",7.90%,7.9
"Benton County, Arkansas",2.80%,2.8
"Benton County, Indiana",3.40%,3.4
"Benton County, Iowa",3.20%,3.2
"Benton County, Minnesota",5.30%,5.3
"Benton County, Mississippi",6.30%,6.3
"Benton County, Missouri",6.20%,6.2
"Benton County, Oregon",7.70%,7.7
"Benton County, Tennessee",4.20%,4.2
"Benton County, Washington",5.10%,5.1
"Benzie County, Michigan",2.90%,2.9
"Bergen County, New Jersey",8%,8
"Berkeley County, South Carolina",3.40%,3.4
"Berkeley County, West Virginia",5.50%,5.5
"Berks County, Pennsylvania",8.70%,8.7
"Berkshire County, Massachusetts",9.40%,9.4
"Bernalillo County, New Mexico",7%,7
"Berrien County, Georgia",3.80%,3.8
"Berrien County, Michigan",7.80%,7.8
"Bertie County, North Carolina",11.30%,11.3
"Bethel Census Area, Alaska",61.90%,61.9
"Bexar County, Texas",6.40%,6.4
"Bibb County, Alabama",7.50%,7.5
"Bibb County, Georgia",11.50%,11.5
"Bienville Parish, Louisiana",12.90%,12.9
"Big Horn County, Montana",6.50%,6.5
"Big Horn County, Wyoming",3%,3
"Big Stone County, Minnesota",4.70%,4.7
"Billings County, North Dakota",3.80%,3.8
"Bingham County, Idaho",4.10%,4.1
"Black Hawk County, Iowa",7.30%,7.3
"Blackford County, Indiana",9.70%,9.7
"Bladen County, North Carolina",7.90%,7.9
"Blaine County, Idaho",1.90%,1.9
"Blaine County, Montana",9.20%,9.2
"Blaine County, Nebraska",1.50%,1.5
"Blaine County, Oklahoma",2.20%,2.2
"Blair County, Pennsylvania",8.50%,8.5
"Blanco County, Texas",1.80%,1.8
"Bland County, Virginia",3.50%,3.5
"Bleckley County, Georgia",4%,4
"Bledsoe County, Tennessee",5.20%,5.2
"Blount County, Alabama",4.80%,4.8
"Blount County, Tennessee",3%,3
"Blue Earth County, Minnesota",7%,7
"Boise County, Idaho",2.90%,2.9
"Bolivar County, Mississippi",10.80%,10.8
"Bollinger County, Missouri",3.80%,3.8
"Bon Homme County, South Dakota",4.10%,4.1
"Bond County, Illinois",8.40%,8.4
"Bonner County, Idaho",4.30%,4.3
"Bonneville County, Idaho",4.10%,4.1
"Boone County, Arkansas",5.50%,5.5
"Boone County, Illinois",4.40%,4.4
"Boone County, Indiana",2.10%,2.1
"Boone County, Iowa",5.30%,5.3
"Boone County, Kentucky",3.30%,3.3
"Boone County, Missouri",6.10%,6.1
"Boone County, Nebraska",3.60%,3.6
"Boone County, West Virginia",8.10%,8.1
"Borden County, Texas",1.40%,1.4
"Bosque County, Texas",2.90%,2.9
"Bossier Parish, Louisiana",6.10%,6.1
"Botetourt County, Virginia",3.70%,3.7
"Bottineau County, North Dakota",2.20%,2.2
"Boulder County, Colorado",5.20%,5.2
"Boundary County, Idaho",1.70%,1.7
"Bourbon County, Kansas",3.70%,3.7
"Bourbon County, Kentucky",5.10%,5.1
"Bowie County, Texas",6.20%,6.2
"Bowman County, North Dakota",1.60%,1.6
"Box Butte County, Nebraska",5.40%,5.4
"Box Elder County, Utah",4.20%,4.2
"Boyd County, Kentucky",8.70%,8.7
"Boyd County, Nebraska",1.40%,1.4
"Boyle County, Kentucky",5.80%,5.8
"Bracken County, Kentucky",2.60%,2.6
"Bradford County, Florida",7%,7
"Bradford County, Pennsylvania",7.50%,7.5
"Bradley County, Arkansas",8.60%,8.6
"Bradley County, Tennessee",4.70%,4.7
"Branch County, Michigan",6.40%,6.4
"Brantley County, Georgia",6.50%,6.5
"Braxton County, West Virginia",8.20%,8.2
"Brazoria County, Texas",2.70%,2.7
"Brazos County, Texas",5.50%,5.5
"Breathitt County, Kentucky",13.30%,13.3
"Breckinridge County, Kentucky",4.90%,4.9
"Bremer County, Iowa",2%,2
"Brevard County, Florida",4.70%,4.7
"Brewster County, Texas",6.10%,6.1
"Briscoe County, Texas",4%,4
"Bristol Bay Borough, Alaska",10.20%,10.2
"Bristol city, Virginia",10.30%,10.3
"Bristol County, Massachusetts",9.60%,9.6
"Bristol County, Rhode Island",6.10%,6.1
"Broadwater County, Montana",1.90%,1.9
"Bronx County, New York",60.20%,60.2
"Brooke County, West Virginia",7%,7
"Brookings County, South Dakota",5.80%,5.8
"Brooks County, Georgia",7.20%,7.2
"Brooks County, Texas",15.50%,15.5
"Broome County, New York",12.50%,12.5
"Broomfield County, Colorado",3.60%,3.6
"Broward County, Florida",6.90%,6.9
"Brown County, Illinois",6.30%,6.3
"Brown County, Indiana",3.50%,3.5
"Brown County, Kansas",4.70%,4.7
"Brown County, Minnesota",4.60%,4.6
"Brown County, Nebraska",2.90%,2.9
"Brown County, Ohio",5.90%,5.9
"Brown County, South Dakota",6.30%,6.3
"Brown County, Texas",5.70%,5.7
"Brown County, Wisconsin",4.90%,4.9
"Brule County, South Dakota",5%,5
"Brunswick County, North Carolina",2.40%,2.4
"Brunswick County, Virginia",7.60%,7.6
"Bryan County, Georgia",3%,3
"Bryan County, Oklahoma",5.20%,5.2
"Buchanan County, Iowa",6.20%,6.2
"Buchanan County, Missouri",8.80%,8.8
"Buchanan County, Virginia",4.90%,4.9
"Buckingham County, Virginia",6.40%,6.4
"Bucks County, Pennsylvania",4.70%,4.7
"Buena Vista city, Virginia",5%,5
"Buena Vista County, Iowa",4.30%,4.3
"Buffalo County, Nebraska",4.30%,4.3
"Buffalo County, South Dakota",14.20%,14.2
"Buffalo County, Wisconsin",3.70%,3.7
"Bullitt County, Kentucky",4.20%,4.2
"Bulloch County, Georgia",5.40%,5.4
"Bullock County, Alabama",10.40%,10.4
"Buncombe County, North Carolina",5.40%,5.4
"Bureau County, Illinois",5.80%,5.8
"Burke County, Georgia",10.20%,10.2
"Burke County, North Carolina",4.60%,4.6
"Burke County, North Dakota",1.30%,1.3
"Burleigh County, North Dakota",5.70%,5.7
"Burleson County, Texas",3.40%,3.4
"Burlington County, New Jersey",4.80%,4.8
"Burnet County, Texas",3.30%,3.3
"Burnett County, Wisconsin",3.20%,3.2
"Burt County, Nebraska",5.50%,5.5
"Butler County, Alabama",5%,5
"Butler County, Iowa",3.40%,3.4
"Butler County, Kansas",3.60%,3.6
"Butler County, Kentucky",6.80%,6.8
"Butler County, Missouri",8.80%,8.8
"Butler County, Nebraska",2.70%,2.7
"Butler County, Ohio",4.90%,4.9
"Butler County, Pennsylvania",5.80%,5.8
"Butte County, California",6.10%,6.1
"Butte County, Idaho",6%,6
"Butte County, South Dakota",3.80%,3.8
"Butts County, Georgia",3.50%,3.5
"Cabarrus County, North Carolina",3.70%,3.7
"Cabell County, West Virginia",10.30%,10.3
"Cabo Rojo Municipio, Puerto Rico",10.90%,10.9
"Cache County, Utah",3.30%,3.3
"Caddo County, Oklahoma",8.10%,8.1
"Caddo Parish, Louisiana",10.30%,10.3
"Caguas Municipio, Puerto Rico",13%,13
"Calaveras County, California",2.10%,2.1
"Calcasieu Parish, Louisiana",6.20%,6.2
"Caldwell County, Kentucky",7.90%,7.9
"Caldwell County, Missouri",6.60%,6.6
"Caldwell County, North Carolina",4.80%,4.8
"Caldwell County, Texas",4.50%,4.5
"Caldwell Parish, Louisiana",9.10%,9.1
"Caledonia County, Vermont",7.50%,7.5
"Calhoun County, Alabama",5.60%,5.6
"Calhoun County, Arkansas",3.30%,3.3
"Calhoun County, Florida",6.80%,6.8
"Calhoun County, Georgia",7.70%,7.7
"Calhoun County, Illinois",3.10%,3.1
"Calhoun County, Iowa",3.10%,3.1
"Calhoun County, Michigan",7.40%,7.4
"Calhoun County, Mississippi",7.50%,7.5
"Calhoun County, South Carolina",5.30%,5.3
"Calhoun County, Texas",4.10%,4.1
"Calhoun County, West Virginia",7.70%,7.7
"Callahan County, Texas",3.40%,3.4
"Callaway County, Missouri",4%,4
"Calloway County, Kentucky",5.20%,5.2
"Calumet County, Wisconsin",3.80%,3.8
"Calvert County, Maryland",3.10%,3.1
"Camas County, Idaho",1.50%,1.5
"Cambria County, Pennsylvania",11.10%,11.1
"Camden County, Georgia",5.90%,5.9
"Camden County, Missouri",2.80%,2.8
"Camden County, New Jersey",10.50%,10.5
"Camden County, North Carolina",1.30%,1.3
"Cameron County, Pennsylvania",10.20%,10.2
"Cameron County, Texas",6.80%,6.8
"Cameron Parish, Louisiana",1.50%,1.5
"Camp County, Texas",5%,5
"Campbell County, Kentucky",6.60%,6.6
"Campbell County, South Dakota",4.50%,4.5
"Campbell County, Tennessee",6.20%,6.2
"Campbell County, Virginia",5.20%,5.2
"Campbell County, Wyoming",3%,3
"Camuy Municipio, Puerto Rico",10.70%,10.7
"Canadian County, Oklahoma",3.30%,3.3
"Candler County, Georgia",6%,6
"Cannon County, Tennessee",4.90%,4.9
"Canóvanas Municipio, Puerto Rico",9.70%,9.7
"Canyon County, Idaho",3.30%,3.3
"Cape Girardeau County, Missouri",5.80%,5.8
"Cape May County, New Jersey",6.20%,6.2
"Capitol Planning Region, Connecticut",9.50%,9.5
"Carbon County, Montana",2.70%,2.7
"Carbon County, Pennsylvania",5.60%,5.6
"Carbon County, Utah",4.40%,4.4
"Carbon County, Wyoming",3.60%,3.6
"Caribou County, Idaho",3%,3
"Carlisle County, Kentucky",2.60%,2.6
"Carlton County, Minnesota",4.80%,4.8
"Carolina Municipio, Puerto Rico",10.80%,10.8
"Caroline County, Maryland",6.10%,6.1
"Caroline County, Virginia",5%,5
"Carroll County, Arkansas",5%,5
"Carroll County, Georgia",4.30%,4.3
"Carroll County, Illinois",4.20%,4.2
"Carroll County, Indiana",3.90%,3.9
"Carroll County, Iowa",6.50%,6.5
"Carroll County, Kentucky",6%,6
"Carroll County, Maryland",4%,4
"Carroll County, Mississippi",5.10%,5.1
"Carroll County, Missouri",6.10%,6.1
"Carroll County, New Hampshire",3%,3
"Carroll County, Ohio",7%,7
"Carroll County, Tennessee",6.60%,6.6
"Carroll County, Virginia",4.20%,4.2
"Carson City, Nevada",6.30%,6.3
"Carson County, Texas",2.80%,2.8
"Carter County, Kentucky",7%,7
"Carter County, Missouri",10.50%,10.5
"Carter County, Montana",5.70%,5.7
"Carter County, Oklahoma",5.10%,5.1
"Carter County, Tennessee",5.90%,5.9
"Carteret County, North Carolina",3.90%,3.9
"Carver County, Minnesota",4%,4
"Cascade County, Montana",5.70%,5.7
"Casey County, Kentucky",8.10%,8.1
"Cass County, Illinois",5.60%,5.6
"Cass County, Indiana",5.50%,5.5
"Cass County, Iowa",6.30%,6.3
"Cass County, Michigan",4.10%,4.1
"Cass County, Minnesota",4.50%,4.5
"Cass County, Missouri",4%,4
"Cass County, Nebraska",3.50%,3.5
"Cass County, North Dakota",6%,6
"Cass County, Texas",6.10%,6.1
"Cassia County, Idaho",4%,4
"Castro County, Texas",3.20%,3.2
"Caswell County, North Carolina",4.70%,4.7
"Catahoula Parish, Louisiana",10.30%,10.3
"Cataño Municipio, Puerto Rico",23.20%,23.2
"Catawba County, North Carolina",4.90%,4.9
"Catoosa County, Georgia",4.20%,4.2
"Catron County, New Mexico",5.70%,5.7
"Cattaraugus County, New York",10.40%,10.4
"Cavalier County, North Dakota",4.60%,4.6
"Cayey Municipio, Puerto Rico",16.30%,16.3
"Cayuga County, New York",10%,10
"Cecil County, Maryland",5.20%,5.2
"Cedar County, Iowa",3.30%,3.3
"Cedar County, Missouri",7.20%,7.2
"Cedar County, Nebraska",2.80%,2.8
"Ceiba Municipio, Puerto Rico",12.70%,12.7
"Centre County, Pennsylvania",10.20%,10.2
"Cerro Gordo County, Iowa",5.80%,5.8
"Chaffee County, Colorado",4%,4
"Chambers County, Alabama",7%,7
"Chambers County, Texas",2.50%,2.5
"Champaign County, Illinois",11.80%,11.8
"Champaign County, Ohio",4.90%,4.9
"Chariton County, Missouri",4.60%,4.6
"Charles City County, Virginia",6.40%,6.4
"Charles County, Maryland",3.30%,3.3
"Charles Mix County, South Dakota",5.30%,5.3
"Charleston County, South Carolina",6.10%,6.1
"Charlevoix County, Michigan",5.50%,5.5
"Charlotte County, Florida",4.50%,4.5
"Charlotte County, Virginia",8%,8
"Charlottesville city, Virginia",11.80%,11.8
"Charlton County, Georgia",5.60%,5.6
"Chase County, Kansas",4.60%,4.6
"Chase County, Nebraska",2.50%,2.5
"Chatham County, Georgia",7.30%,7.3
"Chatham County, North Carolina",3.10%,3.1
"Chattahoochee County, Georgia",0.70%,0.7
"Chattooga County, Georgia",5.60%,5.6
"Chautauqua County, Kansas",3.40%,3.4
"Chautauqua County, New York",11.80%,11.8
"Chaves County, New Mexico",6%,6
"Cheatham County, Tennessee",1.80%,1.8
"Cheboygan County, Michigan",4.70%,4.7
"Chelan County, Washington",5.30%,5.3
"Chemung County, New York",10.20%,10.2
"Chenango County, New York",8.40%,8.4
"Cherokee County, Alabama",3.20%,3.2
"Cherokee County, Georgia",2.20%,2.2
"Cherokee County, Iowa",7.60%,7.6
"Cherokee County, Kansas",7.40%,7.4
"Cherokee County, North Carolina",4.30%,4.3
"Cherokee County, Oklahoma",6.50%,6.5
"Cherokee County, South Carolina",6.10%,6.1
"Cherokee County, Texas",6.10%,6.1
"Cherry County, Nebraska",6.40%,6.4
"Chesapeake city, Virginia",4.40%,4.4
"Cheshire County, New Hampshire",4.70%,4.7
"Chester County, Pennsylvania",4.10%,4.1
"Chester County, South Carolina",6.80%,6.8
"Chester County, Tennessee",4%,4
"Chesterfield County, South Carolina",9.30%,9.3
"Chesterfield County, Virginia",3.10%,3.1
"Cheyenne County, Colorado",0.80%,0.8
"Cheyenne County, Kansas",2.70%,2.7
"Cheyenne County, Nebraska",6%,6
"Chickasaw County, Iowa",3.30%,3.3
"Chickasaw County, Mississippi",9.50%,9.5
"Chicot County, Arkansas",11.40%,11.4
"Childress County, Texas",2.10%,2.1
"Chilton County, Alabama",3.30%,3.3
"Chippewa County, Michigan",7.70%,7.7
"Chippewa County, Minnesota",7.40%,7.4
"Chippewa County, Wisconsin",4.20%,4.2
"Chisago County, Minnesota",4%,4
"Chittenden County, Vermont",6.90%,6.9
"Choctaw County, Alabama",5.70%,5.7
"Choctaw County, Mississippi",5.80%,5.8
"Choctaw County, Oklahoma",8.30%,8.3
"Chouteau County, Montana",5.40%,5.4
"Chowan County, North Carolina",10.20%,10.2
"Christian County, Illinois",5%,5
"Christian County, Kentucky",7.20%,7.2
"Christian County, Missouri",2.50%,2.5
"Chugach Census Area, Alaska",5.70%,5.7
"Churchill County, Nevada",3.50%,3.5
"Ciales Municipio, Puerto Rico",13.40%,13.4
"Cibola County, New Mexico",5.50%,5.5
"Cidra Municipio, Puerto Rico",11.50%,11.5
"Cimarron County, Oklahoma",3.20%,3.2
"Citrus County, Florida",4.70%,4.7
"Clackamas County, Oregon",4.90%,4.9
"Claiborne County, Mississippi",12%,12
"Claiborne County, Tennessee",5.10%,5.1
"Claiborne Parish, Louisiana",12.70%,12.7
"Clallam County, Washington",6.20%,6.2
"Clare County, Michigan",7.80%,7.8
"Clarendon County, South Carolina",11.70%,11.7
"Clarion County, Pennsylvania",6.60%,6.6
"Clark County, Arkansas",6.30%,6.3
"Clark County, Idaho",0%,0
"Clark County, Illinois",5.10%,5.1
"Clark County, Indiana",4.60%,4.6
"Clark County, Kansas",4.10%,4.1
"Clark County, Kentucky",6.60%,6.6
"Clark County, Missouri",5.80%,5.8
"Clark County, Nevada",7.70%,7.7
"Clark County, Ohio",7.10%,7.1
"Clark County, South Dakota",3.20%,3.2
"Clark County, Washington",4.80%,4.8
"Clark County, Wisconsin",9.40%,9.4
"Clarke County, Alabama",10.60%,10.6
"Clarke County, Georgia",6.60%,6.6
"Clarke County, Iowa",9.70%,9.7
"Clarke County, Mississippi",6.80%,6.8
"Clarke County, Virginia",2%,2
"Clatsop County, Oregon",8.60%,8.6
"Clay County, Alabama",6.40%,6.4
"Clay County, Arkansas",5.90%,5.9
"Clay County, Florida",3.60%,3.6
"Clay County, Georgia",8.30%,8.3
"Clay County, Illinois",5.30%,5.3
"Clay County, Indiana",3.30%,3.3
"Clay County, Iowa",4%,4
"Clay County, Kansas",7.40%,7.4
"Clay County, Kentucky",12%,12
"Clay County, Minnesota",8.40%,8.4
"Clay County, Mississippi",8%,8
"Clay County, Missouri",4.50%,4.5
"Clay County, Nebraska",2.60%,2.6
"Clay County, North Carolina",7.30%,7.3
"Clay County, South Dakota",8.20%,8.2
"Clay County, Tennessee",6.50%,6.5
"Clay County, Texas",3.30%,3.3
"Clay County, West Virginia",7.90%,7.9
"Clayton County, Georgia",7.40%,7.4
"Clayton County, Iowa",7.50%,7.5
"Clear Creek County, Colorado",4%,4
"Clearfield County, Pennsylvania",7.50%,7.5
"Clearwater County, Idaho",5.40%,5.4
"Clearwater County, Minnesota",8.50%,8.5
"Cleburne County, Alabama",6.80%,6.8
"Cleburne County, Arkansas",3.10%,3.1
"Clermont County, Ohio",4.80%,4.8
"Cleveland County, Arkansas",7%,7
"Cleveland County, North Carolina",6.50%,6.5
"Cleveland County, Oklahoma",4.10%,4.1
"Clinch County, Georgia",10.70%,10.7
"Clinton County, Illinois",3.20%,3.2
"Clinton County, Indiana",4.80%,4.8
"Clinton County, Iowa",6.60%,6.6
"Clinton County, Kentucky",6.10%,6.1
"Clinton County, Michigan",2.60%,2.6
"Clinton County, Missouri",4.10%,4.1
"Clinton County, New York",9.50%,9.5
"Clinton County, Ohio",4%,4
"Clinton County, Pennsylvania",9.50%,9.5
"Cloud County, Kansas",6.30%,6.3
"Coahoma County, Mississippi",12%,12
"Coal County, Oklahoma",6.40%,6.4
"Coamo Municipio, Puerto Rico",12.50%,12.5
"Cobb County, Georgia",3.50%,3.5
"Cochise County, Arizona",6%,6
"Cochran County, Texas",6%,6
"Cocke County, Tennessee",4.30%,4.3
"Coconino County, Arizona",5.40%,5.4
"Codington County, South Dakota",5.50%,5.5
"Coffee County, Alabama",4%,4
"Coffee County, Georgia",6.40%,6.4
"Coffee County, Tennessee",4.30%,4.3
"Coffey County, Kansas",4.90%,4.9
"Coke County, Texas",3.60%,3.6
"Colbert County, Alabama",4.70%,4.7
"Cole County, Missouri",5.30%,5.3
"Coleman County, Texas",6.80%,6.8
"Coles County, Illinois",7.50%,7.5
"Colfax County, Nebraska",1.40%,1.4
"Colfax County, New Mexico",8.70%,8.7
"Colleton County, South Carolina",9.40%,9.4
"Collier County, Florida",4.60%,4.6
"Collin County, Texas",2.90%,2.9
"Collingsworth County, Texas",4%,4
"Colonial Heights city, Virginia",6.60%,6.6
"Colorado County, Texas",5.60%,5.6
"Colquitt County, Georgia",6.90%,6.9
"Columbia County, Arkansas",4.20%,4.2
"Columbia County, Florida",4.50%,4.5
"Columbia County, Georgia",2.70%,2.7
"Columbia County, New York",6.20%,6.2
"Columbia County, Oregon",4.40%,4.4
"Columbia County, Pennsylvania",7.30%,7.3
"Columbia County, Washington",4%,4
"Columbia County, Wisconsin",4.20%,4.2
"Columbiana County, Ohio",7.20%,7.2
"Columbus County, North Carolina",6.20%,6.2
"Colusa County, California",4.60%,4.6
"Comal County, Texas",2.50%,2.5
"Comanche County, Kansas",3.90%,3.9
"Comanche County, Oklahoma",8.30%,8.3
"Comanche County, Texas",4.30%,4.3
"Comerío Municipio, Puerto Rico",19.10%,19.1
"Concho County, Texas",4.30%,4.3
"Concordia Parish, Louisiana",11.80%,11.8
"Conecuh County, Alabama",7%,7
"Conejos County, Colorado",6.50%,6.5
"Contra Costa County, California",5.10%,5.1
"Converse County, Wyoming",4.50%,4.5
"Conway County, Arkansas",7.50%,7.5
"Cook County, Georgia",7.50%,7.5
"Cook County, Illinois",17.70%,17.7
"Cook County, Minnesota",4%,4
"Cooke County, Texas",4.80%,4.8
"Cooper County, Missouri",4.40%,4.4
