Geographic Area,With an ambulatory difficulty—Estimate,Amblry diffclty
"Allen County, Kansas",8.40%,8.4
"Allen County, Kentucky",10.10%,10.1
"Allen County, Ohio",8.30%,8.3
"Allen Parish, Louisiana",10.80%,10.8
"Allendale County, South Carolina",14.50%,14.5
"Alpena County, Michigan",9.10%,9.1
"Alpine County, California",8.80%,8.8
"Amador County, California",9.40%,9.4
"Amelia County, Virginia",9.30%,9.3
"Amherst County, Virginia",8.30%,8.3
"Amite County, Mississippi",18.80%,18.8
"Añasco Municipio, Puerto Rico",17.70%,17.7
"Anchorage Municipality, Alaska",5%,5
"Anderson County, Kansas",10.80%,10.8
"Anderson County, Kentucky",10.60%,10.6
"Anderson County, South Carolina",8.70%,8.7
"Anderson County, Tennessee",11.30%,11.3
"Anderson County, Texas",8.80%,8.8
"Andrew County, Missouri",7.30%,7.3
"Andrews County, Texas",4.70%,4.7
"Androscoggin County, Maine",8.60%,8.6
"Angelina County, Texas",10.40%,10.4
"Anne Arundel County, Maryland",5.30%,5.3
"Anoka County, Minnesota",4.40%,4.4
"Anson County, North Carolina",11.70%,11.7
"Antelope County, Nebraska",7%,7
"Antrim County, Michigan",7.30%,7.3
"Apache County, Arizona",7.80%,7.8
"Appanoose County, Iowa",10.40%,10.4
"Appling County, Georgia",7.70%,7.7
"Appomattox County, Virginia",8%,8
"Aransas County, Texas",8.60%,8.6
"Arapahoe County, Colorado",4.80%,4.8
"Archer County, Texas",10.90%,10.9
"Archuleta County, Colorado",5.30%,5.3
"Arecibo Municipio, Puerto Rico",12.20%,12.2
"Arenac County, Michigan",10.40%,10.4
"Arkansas County, Arkansas",12.60%,12.6
"Arlington County, Virginia",3.10%,3.1
"Armstrong County, Pennsylvania",9.50%,9.5
"Armstrong County, Texas",5.90%,5.9
"Aroostook County, Maine",11.20%,11.2
"Arroyo Municipio, Puerto Rico",14.10%,14.1
"Arthur County, Nebraska",4.20%,4.2
"Ascension Parish, Louisiana",6.10%,6.1
"Ashe County, North Carolina",10.70%,10.7
"Ashland County, Ohio",7.10%,7.1
"Ashland County, Wisconsin",6.60%,6.6
"Ashley County, Arkansas",14.70%,14.7
"Ashtabula County, Ohio",8.10%,8.1
"Asotin County, Washington",10%,10
"Assumption Parish, Louisiana",7.70%,7.7
"Atascosa County, Texas",6.60%,6.6
"Atchison County, Kansas",5.90%,5.9
"Atchison County, Missouri",9.30%,9.3
"Athens County, Ohio",7.20%,7.2
"Atkinson County, Georgia",7.70%,7.7
"Atlantic County, New Jersey",8.20%,8.2
"Atoka County, Oklahoma",14.30%,14.3
"Attala County, Mississippi",12%,12
"Audrain County, Missouri",10.90%,10.9
"Audubon County, Iowa",7.70%,7.7
"Auglaize County, Ohio",6.30%,6.3
"Augusta County, Virginia",7.60%,7.6
"Aurora County, South Dakota",6.30%,6.3
"Austin County, Texas",7.50%,7.5
"Autauga County, Alabama",9.40%,9.4
"Avery County, North Carolina",9.90%,9.9
"Avoyelles Parish, Louisiana",11%,11
"Baca County, Colorado",10%,10
"Bacon County, Georgia",13.10%,13.1
"Bailey County, Texas",8.40%,8.4
"Baker County, Florida",10.40%,10.4
"Baker County, Georgia",9.30%,9.3
"Baker County, Oregon",12.50%,12.5
"Baldwin County, Alabama",8%,8
"Baldwin County, Georgia",7.90%,7.9
"Ballard County, Kentucky",6.70%,6.7
"Baltimore city, Maryland",9.20%,9.2
"Baltimore County, Maryland",6.10%,6.1
"Bamberg County, South Carolina",10.40%,10.4
"Bandera County, Texas",8.60%,8.6
"Banks County, Georgia",11.80%,11.8
"Banner County, Nebraska",8.20%,8.2
"Bannock County, Idaho",6.80%,6.8
"Baraga County, Michigan",10.40%,10.4
"Barber County, Kansas",9.90%,9.9
"Barbour County, Alabama",10.30%,10.3
"Barbour County, West Virginia",9.10%,9.1
"Barceloneta Municipio, Puerto Rico",9.20%,9.2
"Barnes County, North Dakota",5.60%,5.6
"Barnstable County, Massachusetts",6.40%,6.4
"Barnwell County, South Carolina",10.50%,10.5
"Barranquitas Municipio, Puerto Rico",9.50%,9.5
"Barren County, Kentucky",13.60%,13.6
"Barron County, Wisconsin",6.80%,6.8
"Barrow County, Georgia",7%,7
"Barry County, Michigan",6%,6
"Barry County, Missouri",9.40%,9.4
"Bartholomew County, Indiana",7.20%,7.2
"Barton County, Kansas",8.50%,8.5
"Barton County, Missouri",12.40%,12.4
"Bartow County, Georgia",6.90%,6.9
"Bastrop County, Texas",6.60%,6.6
"Bates County, Missouri",10%,10
"Bath County, Kentucky",13.40%,13.4
"Bath County, Virginia",10%,10
"Baxter County, Arkansas",14.10%,14.1
"Bay County, Florida",10.40%,10.4
"Bay County, Michigan",8.20%,8.2
"Bayamón Municipio, Puerto Rico",13.80%,13.8
"Bayfield County, Wisconsin",7.70%,7.7
"Baylor County, Texas",13.50%,13.5
"Beadle County, South Dakota",6.60%,6.6
"Bear Lake County, Idaho",8.10%,8.1
"Beaufort County, North Carolina",10.10%,10.1
"Beaufort County, South Carolina",6.80%,6.8
"Beauregard Parish, Louisiana",9.20%,9.2
"Beaver County, Oklahoma",9.50%,9.5
"Beaver County, Pennsylvania",8.40%,8.4
"Beaver County, Utah",5.70%,5.7
"Beaverhead County, Montana",6.90%,6.9
"Becker County, Minnesota",6.70%,6.7
"Beckham County, Oklahoma",8.50%,8.5
"Bedford County, Pennsylvania",8.20%,8.2
"Bedford County, Tennessee",8.50%,8.5
"Bedford County, Virginia",6.60%,6.6
"Bee County, Texas",10.70%,10.7
"Belknap County, New Hampshire",7.30%,7.3
"Bell County, Kentucky",16.60%,16.6
"Bell County, Texas",7.10%,7.1
"Belmont County, Ohio",8.10%,8.1
"Beltrami County, Minnesota",7.30%,7.3
"Ben Hill County, Georgia",6.70%,6.7
"Benewah County, Idaho",10.90%,10.9
"Bennett County, South Dakota",7.70%,7.7
"Bennington County, Vermont",8.60%,8.6
"Benson County, North Dakota",6.40%,6.4
"Bent County, Colorado",11.10%,11.1
"Benton County, Arkansas",5.60%,5.6
"Benton County, Indiana",9.40%,9.4
"Benton County, Iowa",5.10%,5.1
"Benton County, Minnesota",4.50%,4.5
"Benton County, Mississippi",14.90%,14.9
"Benton County, Missouri",12%,12
"Benton County, Oregon",5.10%,5.1
"Benton County, Tennessee",15.60%,15.6
"Benton County, Washington",7.20%,7.2
"Benzie County, Michigan",7%,7
"Bergen County, New Jersey",4.50%,4.5
"Berkeley County, South Carolina",6.70%,6.7
"Berkeley County, West Virginia",7.40%,7.4
"Berks County, Pennsylvania",6.80%,6.8
"Berkshire County, Massachusetts",7%,7
"Bernalillo County, New Mexico",7.70%,7.7
"Berrien County, Georgia",10.60%,10.6
"Berrien County, Michigan",7.20%,7.2
"Bertie County, North Carolina",13.80%,13.8
"Bethel Census Area, Alaska",4%,4
"Bexar County, Texas",7.30%,7.3
"Bibb County, Alabama",10%,10
"Bibb County, Georgia",8.90%,8.9
"Bienville Parish, Louisiana",12%,12
"Big Horn County, Montana",6%,6
"Big Horn County, Wyoming",7.90%,7.9
"Big Stone County, Minnesota",6.90%,6.9
"Billings County, North Dakota",1.30%,1.3
"Bingham County, Idaho",7.50%,7.5
"Black Hawk County, Iowa",6.20%,6.2
"Blackford County, Indiana",12.20%,12.2
"Bladen County, North Carolina",10%,10
"Blaine County, Idaho",3.60%,3.6
"Blaine County, Montana",12.10%,12.1
"Blaine County, Nebraska",19.60%,19.6
"Blaine County, Oklahoma",8.10%,8.1
"Blair County, Pennsylvania",7.30%,7.3
"Blanco County, Texas",7.70%,7.7
"Bland County, Virginia",8.80%,8.8
"Bleckley County, Georgia",9.80%,9.8
"Bledsoe County, Tennessee",11.50%,11.5
"Blount County, Alabama",9%,9
"Blount County, Tennessee",7.10%,7.1
"Blue Earth County, Minnesota",4.30%,4.3
"Boise County, Idaho",5%,5
"Bolivar County, Mississippi",10.30%,10.3
"Bollinger County, Missouri",10.10%,10.1
"Bon Homme County, South Dakota",6.40%,6.4
"Bond County, Illinois",10.80%,10.8
"Bonner County, Idaho",8.80%,8.8
"Bonneville County, Idaho",6.40%,6.4
"Boone County, Arkansas",11.10%,11.1
"Boone County, Illinois",6.80%,6.8
"Boone County, Indiana",3.70%,3.7
"Boone County, Iowa",5.60%,5.6
"Boone County, Kentucky",5.40%,5.4
"Boone County, Missouri",5.40%,5.4
"Boone County, Nebraska",7.40%,7.4
"Boone County, West Virginia",13.30%,13.3
"Borden County, Texas",3.50%,3.5
"Bosque County, Texas",9.90%,9.9
"Bossier Parish, Louisiana",7.10%,7.1
"Botetourt County, Virginia",6.90%,6.9
"Bottineau County, North Dakota",5.60%,5.6
"Boulder County, Colorado",3%,3
"Boundary County, Idaho",8.80%,8.8
"Bourbon County, Kansas",8.10%,8.1
"Bourbon County, Kentucky",10.80%,10.8
"Bowie County, Texas",6.20%,6.2
"Bowman County, North Dakota",3.60%,3.6
"Box Butte County, Nebraska",7.20%,7.2
"Box Elder County, Utah",4.40%,4.4
"Boyd County, Kentucky",12.70%,12.7
"Boyd County, Nebraska",11.20%,11.2
"Boyle County, Kentucky",10.40%,10.4
"Bracken County, Kentucky",9.60%,9.6
"Bradford County, Florida",7.80%,7.8
"Bradford County, Pennsylvania",7.50%,7.5
"Bradley County, Arkansas",10.90%,10.9
"Bradley County, Tennessee",10.40%,10.4
"Branch County, Michigan",7.40%,7.4
"Brantley County, Georgia",8.70%,8.7
"Braxton County, West Virginia",12.40%,12.4
"Brazoria County, Texas",5.30%,5.3
"Brazos County, Texas",4.10%,4.1
"Breathitt County, Kentucky",17.80%,17.8
"Breckinridge County, Kentucky",11.40%,11.4
"Bremer County, Iowa",4.50%,4.5
"Brevard County, Florida",8.70%,8.7
"Brewster County, Texas",7.10%,7.1
"Briscoe County, Texas",16.20%,16.2
"Bristol Bay Borough, Alaska",7.60%,7.6
"Bristol city, Virginia",12%,12
"Bristol County, Massachusetts",6.80%,6.8
"Bristol County, Rhode Island",4.80%,4.8
"Broadwater County, Montana",9.10%,9.1
"Bronx County, New York",9.90%,9.9
"Brooke County, West Virginia",8.90%,8.9
"Brookings County, South Dakota",4%,4
"Brooks County, Georgia",10.20%,10.2
"Brooks County, Texas",16.20%,16.2
"Broome County, New York",7.80%,7.8
"Broomfield County, Colorado",3.60%,3.6
"Broward County, Florida",6.10%,6.1
"Brown County, Illinois",8.10%,8.1
"Brown County, Indiana",7.50%,7.5
"Brown County, Kansas",9%,9
"Brown County, Minnesota",6%,6
"Brown County, Nebraska",9%,9
"Brown County, Ohio",10%,10
"Brown County, South Dakota",5.50%,5.5
"Brown County, Texas",11.90%,11.9
"Brown County, Wisconsin",4.70%,4.7
"Brule County, South Dakota",6.20%,6.2
"Brunswick County, North Carolina",7.10%,7.1
"Brunswick County, Virginia",10.70%,10.7
"Bryan County, Georgia",5.60%,5.6
"Bryan County, Oklahoma",10.80%,10.8
"Buchanan County, Iowa",5.80%,5.8
"Buchanan County, Missouri",8.80%,8.8
"Buchanan County, Virginia",18.40%,18.4
"Buckingham County, Virginia",12.30%,12.3
"Bucks County, Pennsylvania",5.60%,5.6
"Buena Vista city, Virginia",9.80%,9.8
"Buena Vista County, Iowa",5%,5
"Buffalo County, Nebraska",5.30%,5.3
"Buffalo County, South Dakota",11.30%,11.3
"Buffalo County, Wisconsin",7.40%,7.4
"Bullitt County, Kentucky",9.20%,9.2
"Bulloch County, Georgia",6.50%,6.5
"Bullock County, Alabama",5.90%,5.9
"Buncombe County, North Carolina",6.70%,6.7
"Bureau County, Illinois",8.10%,8.1
"Burke County, Georgia",10.20%,10.2
"Burke County, North Carolina",11.40%,11.4
"Burke County, North Dakota",3.80%,3.8
"Burleigh County, North Dakota",5.30%,5.3
"Burleson County, Texas",7%,7
"Burlington County, New Jersey",6.20%,6.2
"Burnet County, Texas",8.10%,8.1
"Burnett County, Wisconsin",8.60%,8.6
"Burt County, Nebraska",8.90%,8.9
"Butler County, Alabama",10.50%,10.5
"Butler County, Iowa",4.70%,4.7
"Butler County, Kansas",7.10%,7.1
"Butler County, Kentucky",12.80%,12.8
"Butler County, Missouri",13.20%,13.2
"Butler County, Nebraska",6.50%,6.5
"Butler County, Ohio",6.20%,6.2
"Butler County, Pennsylvania",6.30%,6.3
"Butte County, California",7.70%,7.7
"Butte County, Idaho",8%,8
"Butte County, South Dakota",7.80%,7.8
"Butts County, Georgia",7.60%,7.6
"Cabarrus County, North Carolina",5.30%,5.3
"Cabell County, West Virginia",10.50%,10.5
"Cabo Rojo Municipio, Puerto Rico",10.40%,10.4
"Cache County, Utah",3.10%,3.1
"Caddo County, Oklahoma",11.70%,11.7
"Caddo Parish, Louisiana",9.60%,9.6
"Caguas Municipio, Puerto Rico",13.90%,13.9
"Calaveras County, California",12.30%,12.3
"Calcasieu Parish, Louisiana",7.40%,7.4
"Caldwell County, Kentucky",12.30%,12.3
"Caldwell County, Missouri",8.90%,8.9
"Caldwell County, North Carolina",10.40%,10.4
"Caldwell County, Texas",8.60%,8.6
"Caldwell Parish, Louisiana",9.90%,9.9
"Caledonia County, Vermont",7.20%,7.2
"Calhoun County, Alabama",11.80%,11.8
"Calhoun County, Arkansas",12.90%,12.9
"Calhoun County, Florida",11.20%,11.2
"Calhoun County, Georgia",8.80%,8.8
"Calhoun County, Illinois",12.30%,12.3
"Calhoun County, Iowa",7.10%,7.1
"Calhoun County, Michigan",7.60%,7.6
"Calhoun County, Mississippi",12.50%,12.5
"Calhoun County, South Carolina",9.40%,9.4
"Calhoun County, Texas",11.90%,11.9
"Calhoun County, West Virginia",9.60%,9.6
"Callahan County, Texas",11.50%,11.5
"Callaway County, Missouri",6.90%,6.9
"Calloway County, Kentucky",8.50%,8.5
"Calumet County, Wisconsin",4.80%,4.8
"Calvert County, Maryland",4.40%,4.4
"Camas County, Idaho",10.50%,10.5
"Cambria County, Pennsylvania",8.90%,8.9
"Camden County, Georgia",8.10%,8.1
"Camden County, Missouri",9.30%,9.3
"Camden County, New Jersey",7.90%,7.9
"Camden County, North Carolina",9.20%,9.2
"Cameron County, Pennsylvania",13.30%,13.3
"Cameron County, Texas",7.20%,7.2
"Cameron Parish, Louisiana",7.70%,7.7
"Camp County, Texas",8.70%,8.7
"Campbell County, Kentucky",7%,7
"Campbell County, South Dakota",5.70%,5.7
"Campbell County, Tennessee",16.10%,16.1
"Campbell County, Virginia",7.50%,7.5
"Campbell County, Wyoming",5.70%,5.7
"Camuy Municipio, Puerto Rico",12.40%,12.4
"Canadian County, Oklahoma",6.20%,6.2
"Candler County, Georgia",13.50%,13.5
"Cannon County, Tennessee",7.50%,7.5
"Canóvanas Municipio, Puerto Rico",11.70%,11.7
"Canyon County, Idaho",6.90%,6.9
"Cape Girardeau County, Missouri",6.90%,6.9
"Cape May County, New Jersey",8%,8
"Capitol Planning Region, Connecticut",5.50%,5.5
"Carbon County, Montana",6%,6
"Carbon County, Pennsylvania",8.60%,8.6
"Carbon County, Utah",9.60%,9.6
"Carbon County, Wyoming",6.60%,6.6
"Caribou County, Idaho",6.30%,6.3
"Carlisle County, Kentucky",10.50%,10.5
"Carlton County, Minnesota",6.40%,6.4
"Carolina Municipio, Puerto Rico",11.80%,11.8
"Caroline County, Maryland",8.30%,8.3
"Caroline County, Virginia",8.10%,8.1
"Carroll County, Arkansas",8.80%,8.8
"Carroll County, Georgia",8%,8
"Carroll County, Illinois",8.20%,8.2
"Carroll County, Indiana",8%,8
"Carroll County, Iowa",5.50%,5.5
"Carroll County, Kentucky",11%,11
"Carroll County, Maryland",5.50%,5.5
"Carroll County, Mississippi",12.70%,12.7
"Carroll County, Missouri",8.10%,8.1
"Carroll County, New Hampshire",7.70%,7.7
"Carroll County, Ohio",9.90%,9.9
"Carroll County, Tennessee",11.40%,11.4
"Carroll County, Virginia",10.20%,10.2
"Carson City, Nevada",8.10%,8.1
"Carson County, Texas",6%,6
"Carter County, Kentucky",13.60%,13.6
"Carter County, Missouri",20.20%,20.2
"Carter County, Montana",8.60%,8.6
"Carter County, Oklahoma",11.80%,11.8
"Carter County, Tennessee",13%,13
"Carteret County, North Carolina",9.10%,9.1
"Carver County, Minnesota",3.40%,3.4
"Cascade County, Montana",7.10%,7.1
"Casey County, Kentucky",11.60%,11.6
"Cass County, Illinois",8.40%,8.4
"Cass County, Indiana",7%,7
"Cass County, Iowa",7.90%,7.9
"Cass County, Michigan",8.50%,8.5
"Cass County, Minnesota",7.10%,7.1
"Cass County, Missouri",6.90%,6.9
"Cass County, Nebraska",5.90%,5.9
"Cass County, North Dakota",4%,4
"Cass County, Texas",12.90%,12.9
"Cassia County, Idaho",7%,7
"Castro County, Texas",6.20%,6.2
"Caswell County, North Carolina",10.30%,10.3
"Catahoula Parish, Louisiana",8.70%,8.7
"Cataño Municipio, Puerto Rico",10.20%,10.2
"Catawba County, North Carolina",7.90%,7.9
"Catoosa County, Georgia",9.70%,9.7
"Catron County, New Mexico",28.40%,28.4
"Cattaraugus County, New York",7.50%,7.5
"Cavalier County, North Dakota",6.10%,6.1
"Cayey Municipio, Puerto Rico",17.40%,17.4
"Cayuga County, New York",6.90%,6.9
"Cecil County, Maryland",6.70%,6.7
"Cedar County, Iowa",5.30%,5.3
"Cedar County, Missouri",13.10%,13.1
"Cedar County, Nebraska",3.80%,3.8
"Ceiba Municipio, Puerto Rico",6.40%,6.4
"Centre County, Pennsylvania",4.30%,4.3
"Cerro Gordo County, Iowa",5.90%,5.9
"Chaffee County, Colorado",5.20%,5.2
"Chambers County, Alabama",13.30%,13.3
"Chambers County, Texas",4.60%,4.6
"Champaign County, Illinois",4.50%,4.5
"Champaign County, Ohio",7.70%,7.7
"Chariton County, Missouri",10.50%,10.5
"Charles City County, Virginia",12.60%,12.6
"Charles County, Maryland",5.40%,5.4
"Charles Mix County, South Dakota",6.50%,6.5
"Charleston County, South Carolina",5.70%,5.7
"Charlevoix County, Michigan",7.60%,7.6
"Charlotte County, Florida",10.80%,10.8
"Charlotte County, Virginia",13.30%,13.3
"Charlottesville city, Virginia",4.60%,4.6
"Charlton County, Georgia",13.70%,13.7
"Chase County, Kansas",5.50%,5.5
"Chase County, Nebraska",6.20%,6.2
"Chatham County, Georgia",8.30%,8.3
"Chatham County, North Carolina",6.10%,6.1
"Chattahoochee County, Georgia",5.30%,5.3
"Chattooga County, Georgia",10.90%,10.9
"Chautauqua County, Kansas",12.70%,12.7
"Chautauqua County, New York",8.70%,8.7
"Chaves County, New Mexico",11.10%,11.1
"Cheatham County, Tennessee",7.80%,7.8
"Cheboygan County, Michigan",10.50%,10.5
"Chelan County, Washington",7.40%,7.4
"Chemung County, New York",8.30%,8.3
"Chenango County, New York",8.80%,8.8
"Cherokee County, Alabama",12.70%,12.7
"Cherokee County, Georgia",4.70%,4.7
"Cherokee County, Iowa",5.10%,5.1
"Cherokee County, Kansas",11.40%,11.4
"Cherokee County, North Carolina",10.80%,10.8
"Cherokee County, Oklahoma",11.80%,11.8
"Cherokee County, South Carolina",8.10%,8.1
"Cherokee County, Texas",7%,7
"Cherry County, Nebraska",5.50%,5.5
"Chesapeake city, Virginia",6.20%,6.2
"Cheshire County, New Hampshire",6.40%,6.4
"Chester County, Pennsylvania",4%,4
"Chester County, South Carolina",9.20%,9.2
"Chester County, Tennessee",6.90%,6.9
"Chesterfield County, South Carolina",11.60%,11.6
"Chesterfield County, Virginia",6.40%,6.4
"Cheyenne County, Colorado",5.90%,5.9
"Cheyenne County, Kansas",11.70%,11.7
"Cheyenne County, Nebraska",7.40%,7.4
"Chickasaw County, Iowa",6.40%,6.4
"Chickasaw County, Mississippi",11.30%,11.3
"Chicot County, Arkansas",15.40%,15.4
"Childress County, Texas",11.20%,11.2
"Chilton County, Alabama",11.60%,11.6
"Chippewa County, Michigan",8.80%,8.8
"Chippewa County, Minnesota",7.30%,7.3
"Chippewa County, Wisconsin",5.60%,5.6
"Chisago County, Minnesota",4.90%,4.9
"Chittenden County, Vermont",4.30%,4.3
"Choctaw County, Alabama",16.20%,16.2
"Choctaw County, Mississippi",14.70%,14.7
"Choctaw County, Oklahoma",15%,15
"Chouteau County, Montana",5.90%,5.9
"Chowan County, North Carolina",7.10%,7.1
"Christian County, Illinois",8.80%,8.8
"Christian County, Kentucky",9.30%,9.3
"Christian County, Missouri",5.90%,5.9
"Chugach Census Area, Alaska",5.40%,5.4
"Churchill County, Nevada",10.40%,10.4
"Ciales Municipio, Puerto Rico",14.80%,14.8
"Cibola County, New Mexico",14.30%,14.3
"Cidra Municipio, Puerto Rico",19.80%,19.8
"Cimarron County, Oklahoma",9.40%,9.4
"Citrus County, Florida",12.20%,12.2
"Clackamas County, Oregon",6%,6
"Claiborne County, Mississippi",8.90%,8.9
"Claiborne County, Tennessee",14.70%,14.7
"Claiborne Parish, Louisiana",10.10%,10.1
"Clallam County, Washington",9.80%,9.8
"Clare County, Michigan",12.90%,12.9
"Clarendon County, South Carolina",11.30%,11.3
"Clarion County, Pennsylvania",7.50%,7.5
"Clark County, Arkansas",9.80%,9.8
"Clark County, Idaho",4.80%,4.8
"Clark County, Illinois",7.40%,7.4
"Clark County, Indiana",8.20%,8.2
"Clark County, Kansas",8.20%,8.2
"Clark County, Kentucky",10.20%,10.2
"Clark County, Missouri",6.20%,6.2
"Clark County, Nevada",6.80%,6.8
"Clark County, Ohio",9.30%,9.3
"Clark County, South Dakota",5.40%,5.4
"Clark County, Washington",6.20%,6.2
"Clark County, Wisconsin",6%,6
"Clarke County, Alabama",11.80%,11.8
"Clarke County, Georgia",5.60%,5.6
"Clarke County, Iowa",9.60%,9.6
"Clarke County, Mississippi",14.80%,14.8
"Clarke County, Virginia",6.40%,6.4
"Clatsop County, Oregon",10.50%,10.5
"Clay County, Alabama",14.60%,14.6
"Clay County, Arkansas",10.90%,10.9
"Clay County, Florida",7.30%,7.3
"Clay County, Georgia",9.30%,9.3
"Clay County, Illinois",10.80%,10.8
"Clay County, Indiana",9.50%,9.5
"Clay County, Iowa",8.20%,8.2
"Clay County, Kansas",11.80%,11.8
"Clay County, Kentucky",15.50%,15.5
"Clay County, Minnesota",5.20%,5.2
"Clay County, Mississippi",4.80%,4.8
"Clay County, Missouri",5.90%,5.9
"Clay County, Nebraska",5.70%,5.7
"Clay County, North Carolina",10.20%,10.2
"Clay County, South Dakota",5%,5
"Clay County, Tennessee",15%,15
"Clay County, Texas",11.30%,11.3
"Clay County, West Virginia",12.80%,12.8
"Clayton County, Georgia",6.20%,6.2
"Clayton County, Iowa",7.70%,7.7
"Clear Creek County, Colorado",4.30%,4.3
"Clearfield County, Pennsylvania",10.10%,10.1
"Clearwater County, Idaho",12.60%,12.6
"Clearwater County, Minnesota",9%,9
"Cleburne County, Alabama",10.30%,10.3
"Cleburne County, Arkansas",12.90%,12.9
"Clermont County, Ohio",6.90%,6.9
"Cleveland County, Arkansas",13%,13
"Cleveland County, North Carolina",9.10%,9.1
"Cleveland County, Oklahoma",7%,7
"Clinch County, Georgia",9.90%,9.9
"Clinton County, Illinois",7.60%,7.6
"Clinton County, Indiana",6%,6
"Clinton County, Iowa",6.40%,6.4
"Clinton County, Kentucky",14%,14
"Clinton County, Michigan",6.50%,6.5
"Clinton County, Missouri",6.90%,6.9
"Clinton County, New York",8.70%,8.7
"Clinton County, Ohio",9%,9
"Clinton County, Pennsylvania",9%,9
"Cloud County, Kansas",8.10%,8.1
"Coahoma County, Mississippi",8.80%,8.8
"Coal County, Oklahoma",13.90%,13.9
"Coamo Municipio, Puerto Rico",7.30%,7.3
"Cobb County, Georgia",4.60%,4.6
"Cochise County, Arizona",9.60%,9.6
"Cochran County, Texas",13%,13
"Cocke County, Tennessee",14.30%,14.3
"Coconino County, Arizona",5.40%,5.4
"Codington County, South Dakota",5%,5
"Coffee County, Alabama",10%,10
"Coffee County, Georgia",9.50%,9.5
"Coffee County, Tennessee",9.40%,9.4
"Coffey County, Kansas",8.80%,8.8
"Coke County, Texas",11.40%,11.4
"Colbert County, Alabama",10.90%,10.9
"Cole County, Missouri",5.30%,5.3
"Coleman County, Texas",12.50%,12.5
"Coles County, Illinois",9.20%,9.2
"Colfax County, Nebraska",3.60%,3.6
"Colfax County, New Mexico",12.50%,12.5
"Colleton County, South Carolina",9.40%,9.4
"Collier County, Florida",6%,6
"Collin County, Texas",3.50%,3.5
"Collingsworth County, Texas",5.90%,5.9
"Colonial Heights city, Virginia",7.10%,7.1
"Colorado County, Texas",8.20%,8.2
"Colquitt County, Georgia",9.80%,9.8
"Columbia County, Arkansas",9.80%,9.8
"Columbia County, Florida",11%,11
"Columbia County, Georgia",5.80%,5.8
"Columbia County, New York",7.10%,7.1
"Columbia County, Oregon",8.40%,8.4
"Columbia County, Pennsylvania",7.40%,7.4
"Columbia County, Washington",11.10%,11.1
"Columbia County, Wisconsin",5.20%,5.2
"Columbiana County, Ohio",8.90%,8.9
"Columbus County, North Carolina",10.80%,10.8
"Colusa County, California",7%,7
"Comal County, Texas",7.30%,7.3
"Comanche County, Kansas",13.40%,13.4
"Comanche County, Oklahoma",11.10%,11.1
"Comanche County, Texas",10%,10
"Comerío Municipio, Puerto Rico",14.40%,14.4
"Concho County, Texas",13.90%,13.9
"Concordia Parish, Louisiana",9.20%,9.2
"Conecuh County, Alabama",14.70%,14.7
"Conejos County, Colorado",10%,10
"Contra Costa County, California",5.50%,5.5
"Converse County, Wyoming",8.20%,8.2
"Conway County, Arkansas",12.30%,12.3
"Cook County, Georgia",8.70%,8.7
"Cook County, Illinois",6%,6
"Cook County, Minnesota",7.60%,7.6
