Geographic Area,Unemployment rate—Population 16 years and over—Estimate,Unemploymt
"Butler County, Iowa",3.90%,3.9
"Butler County, Kansas",3.10%,3.1
"Butler County, Kentucky",5.40%,5.4
"Butler County, Missouri",5.30%,5.3
"Butler County, Nebraska",0.70%,0.7
"Butler County, Ohio",5.10%,5.1
"Butler County, Pennsylvania",4.70%,4.7
"Butte County, California",7.10%,7.1
"Butte County, Idaho",2%,2
"Butte County, South Dakota",5.80%,5.8
"Butts County, Georgia",4%,4
"Cabarrus County, North Carolina",4.90%,4.9
"Cabell County, West Virginia",6.10%,6.1
"Cabo Rojo Municipio, Puerto Rico",14.60%,14.6
"Cache County, Utah",2.40%,2.4
"Caddo County, Oklahoma",6%,6
"Caddo Parish, Louisiana",8.60%,8.6
"Caguas Municipio, Puerto Rico",9.60%,9.6
"Calaveras County, California",6.20%,6.2
"Calcasieu Parish, Louisiana",5.60%,5.6
"Caldwell County, Kentucky",4.70%,4.7
"Caldwell County, Missouri",4.80%,4.8
"Caldwell County, North Carolina",5.80%,5.8
"Caldwell County, Texas",2.40%,2.4
"Caldwell Parish, Louisiana",12.90%,12.9
"Caledonia County, Vermont",2.60%,2.6
"Calhoun County, Alabama",6.90%,6.9
"Calhoun County, Arkansas",9.10%,9.1
"Calhoun County, Florida",3.70%,3.7
"Calhoun County, Georgia",11.40%,11.4
"Calhoun County, Illinois",4.10%,4.1
"Calhoun County, Iowa",2.70%,2.7
"Calhoun County, Michigan",6.80%,6.8
"Calhoun County, Mississippi",4.20%,4.2
"Calhoun County, South Carolina",7.30%,7.3
"Calhoun County, Texas",3.40%,3.4
"Calhoun County, West Virginia",12.20%,12.2
"Callahan County, Texas",4.80%,4.8
"Callaway County, Missouri",5.20%,5.2
"Calloway County, Kentucky",4.70%,4.7
"Calumet County, Wisconsin",2.30%,2.3
"Calvert County, Maryland",3.20%,3.2
"Camas County, Idaho",5%,5
"Cambria County, Pennsylvania",5%,5
"Camden County, Georgia",4.70%,4.7
"Camden County, Missouri",5.20%,5.2
"Camden County, New Jersey",7.20%,7.2
"Camden County, North Carolina",5.70%,5.7
"Cameron County, Pennsylvania",7.10%,7.1
"Cameron County, Texas",5.70%,5.7
"Cameron Parish, Louisiana",2.10%,2.1
"Camp County, Texas",5.40%,5.4
"Campbell County, Kentucky",3.80%,3.8
"Campbell County, South Dakota",3.90%,3.9
"Campbell County, Tennessee",7.10%,7.1
"Campbell County, Virginia",4.90%,4.9
"Campbell County, Wyoming",3%,3
"Camuy Municipio, Puerto Rico",5.40%,5.4
"Canadian County, Oklahoma",4.10%,4.1
"Candler County, Georgia",3.90%,3.9
"Cannon County, Tennessee",3.30%,3.3
"Canóvanas Municipio, Puerto Rico",17.70%,17.7
"Canyon County, Idaho",3.50%,3.5
"Cape Girardeau County, Missouri",3.20%,3.2
"Cape May County, New Jersey",6.50%,6.5
"Capitol Planning Region, Connecticut",5.60%,5.6
"Carbon County, Montana",4.90%,4.9
"Carbon County, Pennsylvania",6.90%,6.9
"Carbon County, Utah",6.70%,6.7
"Carbon County, Wyoming",4.80%,4.8
"Caribou County, Idaho",2.80%,2.8
"Carlisle County, Kentucky",4.20%,4.2
"Carlton County, Minnesota",4.70%,4.7
"Carolina Municipio, Puerto Rico",13.30%,13.3
"Caroline County, Maryland",4.60%,4.6
"Caroline County, Virginia",4.60%,4.6
"Carroll County, Arkansas",3.10%,3.1
"Carroll County, Georgia",5.90%,5.9
"Carroll County, Illinois",4.90%,4.9
"Carroll County, Indiana",3.10%,3.1
"Carroll County, Iowa",1.90%,1.9
"Carroll County, Kentucky",6.70%,6.7
"Carroll County, Maryland",3.10%,3.1
"Carroll County, Mississippi",6%,6
"Carroll County, Missouri",4.70%,4.7
"Carroll County, New Hampshire",5.60%,5.6
"Carroll County, Ohio",3.90%,3.9
"Carroll County, Tennessee",4.60%,4.6
"Carroll County, Virginia",4.80%,4.8
"Carson City, Nevada",4.70%,4.7
"Carson County, Texas",1.90%,1.9
"Carter County, Kentucky",6%,6
"Carter County, Missouri",1.20%,1.2
"Carter County, Montana",2.40%,2.4
"Carter County, Oklahoma",4.20%,4.2
"Carter County, Tennessee",7.20%,7.2
"Carteret County, North Carolina",4.90%,4.9
"Carver County, Minnesota",3.10%,3.1
"Cascade County, Montana",3.30%,3.3
"Casey County, Kentucky",10.40%,10.4
"Cass County, Illinois",5.40%,5.4
"Cass County, Indiana",4.20%,4.2
"Cass County, Iowa",1.40%,1.4
"Cass County, Michigan",5%,5
"Cass County, Minnesota",6.40%,6.4
"Cass County, Missouri",4.50%,4.5
"Cass County, Nebraska",2.20%,2.2
"Cass County, North Dakota",2.80%,2.8
"Cass County, Texas",7.20%,7.2
"Cassia County, Idaho",3%,3
"Castro County, Texas",3.60%,3.6
"Caswell County, North Carolina",6%,6
"Catahoula Parish, Louisiana",6.50%,6.5
"Cataño Municipio, Puerto Rico",13.70%,13.7
"Catawba County, North Carolina",5.10%,5.1
"Catoosa County, Georgia",3.70%,3.7
"Catron County, New Mexico",5.70%,5.7
"Cattaraugus County, New York",5.40%,5.4
"Cavalier County, North Dakota",0.90%,0.9
"Cayey Municipio, Puerto Rico",6.70%,6.7
"Cayuga County, New York",4.30%,4.3
"Cecil County, Maryland",4.90%,4.9
"Cedar County, Iowa",3%,3
"Cedar County, Missouri",2.50%,2.5
"Cedar County, Nebraska",2%,2
"Ceiba Municipio, Puerto Rico",11.20%,11.2
"Centre County, Pennsylvania",4%,4
"Cerro Gordo County, Iowa",3%,3
"Chaffee County, Colorado",6%,6
"Chambers County, Alabama",3.60%,3.6
"Chambers County, Texas",7.50%,7.5
"Champaign County, Illinois",4.80%,4.8
"Champaign County, Ohio",4.50%,4.5
"Chariton County, Missouri",4.30%,4.3
"Charles City County, Virginia",4.10%,4.1
"Charles County, Maryland",4.90%,4.9
"Charles Mix County, South Dakota",7.10%,7.1
"Charleston County, South Carolina",3.70%,3.7
"Charlevoix County, Michigan",3.80%,3.8
"Charlotte County, Florida",5.70%,5.7
"Charlotte County, Virginia",3.60%,3.6
"Charlottesville city, Virginia",5.10%,5.1
"Charlton County, Georgia",8.30%,8.3
"Chase County, Kansas",1.20%,1.2
"Chase County, Nebraska",2.60%,2.6
"Chatham County, Georgia",6.30%,6.3
"Chatham County, North Carolina",2.80%,2.8
"Chattahoochee County, Georgia",8.40%,8.4
"Chattooga County, Georgia",4.70%,4.7
"Chautauqua County, Kansas",5.60%,5.6
"Chautauqua County, New York",5.40%,5.4
"Chaves County, New Mexico",5.30%,5.3
"Cheatham County, Tennessee",3.70%,3.7
"Cheboygan County, Michigan",7.20%,7.2
"Chelan County, Washington",3.40%,3.4
"Chemung County, New York",6.30%,6.3
"Chenango County, New York",7.10%,7.1
"Cherokee County, Alabama",4%,4
"Cherokee County, Georgia",3.70%,3.7
"Cherokee County, Iowa",3.20%,3.2
"Cherokee County, Kansas",2.30%,2.3
"Cherokee County, North Carolina",4.90%,4.9
"Cherokee County, Oklahoma",5.60%,5.6
"Cherokee County, South Carolina",5.90%,5.9
"Cherokee County, Texas",5.80%,5.8
"Cherry County, Nebraska",0.40%,0.4
"Chesapeake city, Virginia",5%,5
"Cheshire County, New Hampshire",3.50%,3.5
"Chester County, Pennsylvania",4%,4
"Chester County, South Carolina",6.20%,6.2
"Chester County, Tennessee",6.90%,6.9
"Chesterfield County, South Carolina",8.70%,8.7
"Chesterfield County, Virginia",4.70%,4.7
"Cheyenne County, Colorado",2.10%,2.1
"Cheyenne County, Kansas",1.80%,1.8
"Cheyenne County, Nebraska",2.60%,2.6
"Chickasaw County, Iowa",2.10%,2.1
"Chickasaw County, Mississippi",3.10%,3.1
"Chicot County, Arkansas",10.90%,10.9
"Childress County, Texas",8.60%,8.6
"Chilton County, Alabama",5.30%,5.3
"Chippewa County, Michigan",7.70%,7.7
"Chippewa County, Minnesota",5.20%,5.2
"Chippewa County, Wisconsin",3%,3
"Chisago County, Minnesota",3.70%,3.7
"Chittenden County, Vermont",3.90%,3.9
"Choctaw County, Alabama",5.20%,5.2
"Choctaw County, Mississippi",7.30%,7.3
"Choctaw County, Oklahoma",6.90%,6.9
"Chouteau County, Montana",5.20%,5.2
"Chowan County, North Carolina",4.30%,4.3
"Christian County, Illinois",4.40%,4.4
"Christian County, Kentucky",7.60%,7.6
"Christian County, Missouri",3.60%,3.6
"Chugach Census Area, Alaska",8.80%,8.8
"Churchill County, Nevada",6.30%,6.3
"Ciales Municipio, Puerto Rico",17.70%,17.7
"Cibola County, New Mexico",7.30%,7.3
"Cidra Municipio, Puerto Rico",6.30%,6.3
"Cimarron County, Oklahoma",0.20%,0.2
"Citrus County, Florida",7.20%,7.2
"Clackamas County, Oregon",5%,5
"Claiborne County, Mississippi",9%,9
"Claiborne County, Tennessee",6.10%,6.1
"Claiborne Parish, Louisiana",5.20%,5.2
"Clallam County, Washington",5.40%,5.4
"Clare County, Michigan",9.30%,9.3
"Clarendon County, South Carolina",10.10%,10.1
"Clarion County, Pennsylvania",5.50%,5.5
"Clark County, Arkansas",4.10%,4.1
"Clark County, Idaho",1.90%,1.9
"Clark County, Illinois",4%,4
"Clark County, Indiana",3.70%,3.7
"Clark County, Kansas",1%,1
"Clark County, Kentucky",5.20%,5.2
"Clark County, Missouri",3.90%,3.9
"Clark County, Nevada",7.70%,7.7
"Clark County, Ohio",6.80%,6.8
"Clark County, South Dakota",5.30%,5.3
"Clark County, Washington",5.20%,5.2
"Clark County, Wisconsin",3.40%,3.4
"Clarke County, Alabama",12.50%,12.5
"Clarke County, Georgia",5.30%,5.3
"Clarke County, Iowa",3.90%,3.9
"Clarke County, Mississippi",5.60%,5.6
"Clarke County, Virginia",3.50%,3.5
"Clatsop County, Oregon",4.80%,4.8
"Clay County, Alabama",5.70%,5.7
"Clay County, Arkansas",5.60%,5.6
"Clay County, Florida",4.30%,4.3
"Clay County, Georgia",3.50%,3.5
"Clay County, Illinois",6%,6
"Clay County, Indiana",4.30%,4.3
"Clay County, Iowa",4.10%,4.1
"Clay County, Kansas",1.40%,1.4
"Clay County, Kentucky",10%,10
"Clay County, Minnesota",4%,4
"Clay County, Mississippi",8.90%,8.9
"Clay County, Missouri",4%,4
"Clay County, Nebraska",2.20%,2.2
"Clay County, North Carolina",4%,4
"Clay County, South Dakota",8.20%,8.2
"Clay County, Tennessee",5.50%,5.5
"Clay County, Texas",1.80%,1.8
"Clay County, West Virginia",11.20%,11.2
"Clayton County, Georgia",6.80%,6.8
"Clayton County, Iowa",2.60%,2.6
"Clear Creek County, Colorado",4.70%,4.7
"Clearfield County, Pennsylvania",6%,6
"Clearwater County, Idaho",4.40%,4.4
"Clearwater County, Minnesota",7.60%,7.6
"Cleburne County, Alabama",2.60%,2.6
"Cleburne County, Arkansas",6%,6
"Clermont County, Ohio",4.10%,4.1
"Cleveland County, Arkansas",0.80%,0.8
"Cleveland County, North Carolina",6.40%,6.4
"Cleveland County, Oklahoma",4.70%,4.7
"Clinch County, Georgia",2.60%,2.6
"Clinton County, Illinois",3%,3
"Clinton County, Indiana",3.40%,3.4
"Clinton County, Iowa",4.40%,4.4
"Clinton County, Kentucky",5.60%,5.6
"Clinton County, Michigan",3.70%,3.7
"Clinton County, Missouri",6.10%,6.1
"Clinton County, New York",4.70%,4.7
"Clinton County, Ohio",4.70%,4.7
"Clinton County, Pennsylvania",5.30%,5.3
"Cloud County, Kansas",4.70%,4.7
"Coahoma County, Mississippi",10.80%,10.8
"Coal County, Oklahoma",5.60%,5.6
"Coamo Municipio, Puerto Rico",7.40%,7.4
"Cobb County, Georgia",4.60%,4.6
"Cochise County, Arizona",6.80%,6.8
"Cochran County, Texas",7.10%,7.1
"Cocke County, Tennessee",6.20%,6.2
"Coconino County, Arizona",7%,7
"Codington County, South Dakota",1.50%,1.5
"Coffee County, Alabama",4.80%,4.8
"Coffee County, Georgia",4.30%,4.3
"Coffee County, Tennessee",4.60%,4.6
"Coffey County, Kansas",5.30%,5.3
"Coke County, Texas",3%,3
"Colbert County, Alabama",3.40%,3.4
"Cole County, Missouri",3.10%,3.1
"Coleman County, Texas",6.30%,6.3
"Coles County, Illinois",6.90%,6.9
"Colfax County, Nebraska",1.70%,1.7
"Colfax County, New Mexico",3.20%,3.2
"Colleton County, South Carolina",8.60%,8.6
"Collier County, Florida",4.30%,4.3
"Collin County, Texas",4.20%,4.2
"Collingsworth County, Texas",2.80%,2.8
"Colonial Heights city, Virginia",6.10%,6.1
"Colorado County, Texas",5.70%,5.7
"Colquitt County, Georgia",6.10%,6.1
"Columbia County, Arkansas",3.20%,3.2
"Columbia County, Florida",6.90%,6.9
"Columbia County, Georgia",5.10%,5.1
"Columbia County, New York",5.90%,5.9
"Columbia County, Oregon",4.50%,4.5
"Columbia County, Pennsylvania",4.80%,4.8
"Columbia County, Washington",3.50%,3.5
"Columbia County, Wisconsin",3.20%,3.2
"Columbiana County, Ohio",4.90%,4.9
"Columbus County, North Carolina",5.80%,5.8
"Colusa County, California",7.40%,7.4
"Comal County, Texas",3.70%,3.7
"Comanche County, Kansas",3.80%,3.8
"Comanche County, Oklahoma",6.60%,6.6
"Comanche County, Texas",7.30%,7.3
"Comerío Municipio, Puerto Rico",12.70%,12.7
"Concho County, Texas",2.30%,2.3
"Concordia Parish, Louisiana",12%,12
"Conecuh County, Alabama",4.40%,4.4
"Conejos County, Colorado",7.20%,7.2
"Contra Costa County, California",5.80%,5.8
"Converse County, Wyoming",4.30%,4.3
"Conway County, Arkansas",7.10%,7.1
"Cook County, Georgia",5.50%,5.5
"Cook County, Illinois",7.10%,7.1
