Geographic Area,"Natural resources, construction, and maintenance occupations",Natural rescs
"Bristol Bay Borough, Alaska",16.90%,16.9
"Bristol city, Virginia",6.80%,6.8
"Bristol County, Massachusetts",9.80%,9.8
"Bristol County, Rhode Island",6.10%,6.1
"Broadwater County, Montana",16.10%,16.1
"Bronx County, New York",6.20%,6.2
"Brooke County, West Virginia",9.10%,9.1
"Brookings County, South Dakota",9.50%,9.5
"Brooks County, Georgia",14.30%,14.3
"Brooks County, Texas",10.40%,10.4
"Broome County, New York",6.50%,6.5
"Broomfield County, Colorado",4.20%,4.2
"Broward County, Florida",8.40%,8.4
"Brown County, Illinois",13.50%,13.5
"Brown County, Indiana",13.10%,13.1
"Brown County, Kansas",9.50%,9.5
"Brown County, Minnesota",10.10%,10.1
"Brown County, Nebraska",14.70%,14.7
"Brown County, Ohio",11.90%,11.9
"Brown County, South Dakota",11.80%,11.8
"Brown County, Texas",12%,12
"Brown County, Wisconsin",7.90%,7.9
"Brule County, South Dakota",12.80%,12.8
"Brunswick County, North Carolina",11.70%,11.7
"Brunswick County, Virginia",6.60%,6.6
"Bryan County, Georgia",10%,10
"Bryan County, Oklahoma",10.70%,10.7
"Buchanan County, Iowa",11.70%,11.7
"Buchanan County, Missouri",8.50%,8.5
"Buchanan County, Virginia",22.70%,22.7
"Buckingham County, Virginia",18.40%,18.4
"Bucks County, Pennsylvania",7.50%,7.5
"Buena Vista city, Virginia",7.90%,7.9
"Buena Vista County, Iowa",10.10%,10.1
"Buffalo County, Nebraska",9.30%,9.3
"Buffalo County, South Dakota",14.20%,14.2
"Buffalo County, Wisconsin",12.10%,12.1
"Bullitt County, Kentucky",10.40%,10.4
"Bulloch County, Georgia",12.40%,12.4
"Bullock County, Alabama",16.90%,16.9
"Buncombe County, North Carolina",8.50%,8.5
"Bureau County, Illinois",10.30%,10.3
"Burke County, Georgia",15.70%,15.7
"Burke County, North Carolina",10.20%,10.2
"Burke County, North Dakota",11.10%,11.1
"Burleigh County, North Dakota",9.70%,9.7
"Burleson County, Texas",18.90%,18.9
"Burlington County, New Jersey",6.60%,6.6
"Burnet County, Texas",15.30%,15.3
"Burnett County, Wisconsin",10.30%,10.3
"Burt County, Nebraska",17.90%,17.9
"Butler County, Alabama",10.50%,10.5
"Butler County, Iowa",12.40%,12.4
"Butler County, Kansas",9.80%,9.8
"Butler County, Kentucky",16.30%,16.3
"Butler County, Missouri",11.20%,11.2
"Butler County, Nebraska",12.50%,12.5
"Butler County, Ohio",6.90%,6.9
"Butler County, Pennsylvania",8.90%,8.9
"Butte County, California",8.40%,8.4
"Butte County, Idaho",16.60%,16.6
"Butte County, South Dakota",15.30%,15.3
"Butts County, Georgia",12%,12
"Cabarrus County, North Carolina",9%,9
"Cabell County, West Virginia",5.80%,5.8
"Cabo Rojo Municipio, Puerto Rico",12.10%,12.1
"Cache County, Utah",7.30%,7.3
"Caddo County, Oklahoma",18.20%,18.2
"Caddo Parish, Louisiana",8.10%,8.1
"Caguas Municipio, Puerto Rico",7.60%,7.6
"Calaveras County, California",11.60%,11.6
"Calcasieu Parish, Louisiana",13.80%,13.8
"Caldwell County, Kentucky",11.70%,11.7
"Caldwell County, Missouri",13.90%,13.9
"Caldwell County, North Carolina",10.30%,10.3
"Caldwell County, Texas",17.30%,17.3
"Caldwell Parish, Louisiana",24.20%,24.2
"Caledonia County, Vermont",13.10%,13.1
"Calhoun County, Alabama",9.90%,9.9
"Calhoun County, Arkansas",22%,22
"Calhoun County, Florida",13.30%,13.3
"Calhoun County, Georgia",7.80%,7.8
"Calhoun County, Illinois",10.20%,10.2
"Calhoun County, Iowa",13.10%,13.1
"Calhoun County, Michigan",8.70%,8.7
"Calhoun County, Mississippi",14.40%,14.4
"Calhoun County, South Carolina",7.90%,7.9
"Calhoun County, Texas",18.60%,18.6
"Calhoun County, West Virginia",16.70%,16.7
"Callahan County, Texas",13.60%,13.6
"Callaway County, Missouri",8.90%,8.9
"Calloway County, Kentucky",8.10%,8.1
"Calumet County, Wisconsin",8.10%,8.1
"Calvert County, Maryland",12.80%,12.8
"Camas County, Idaho",13.90%,13.9
"Cambria County, Pennsylvania",10.10%,10.1
"Camden County, Georgia",11.20%,11.2
"Camden County, Missouri",9.90%,9.9
"Camden County, New Jersey",7%,7
"Camden County, North Carolina",10.80%,10.8
"Cameron County, Pennsylvania",9.20%,9.2
"Cameron County, Texas",10.60%,10.6
"Cameron Parish, Louisiana",10.30%,10.3
"Camp County, Texas",10.90%,10.9
"Campbell County, Kentucky",7.30%,7.3
"Campbell County, South Dakota",15.20%,15.2
"Campbell County, Tennessee",15.50%,15.5
"Campbell County, Virginia",9.20%,9.2
"Campbell County, Wyoming",22.50%,22.5
"Camuy Municipio, Puerto Rico",12%,12
"Canadian County, Oklahoma",9.80%,9.8
"Candler County, Georgia",12.70%,12.7
"Cannon County, Tennessee",11.20%,11.2
"Canóvanas Municipio, Puerto Rico",10.10%,10.1
"Canyon County, Idaho",14.70%,14.7
"Cape Girardeau County, Missouri",7.60%,7.6
"Cape May County, New Jersey",9.90%,9.9
"Capitol Planning Region, Connecticut",5.90%,5.9
"Carbon County, Montana",13.10%,13.1
"Carbon County, Pennsylvania",12.50%,12.5
"Carbon County, Utah",15%,15
"Carbon County, Wyoming",22.50%,22.5
"Caribou County, Idaho",26.40%,26.4
"Carlisle County, Kentucky",12.30%,12.3
"Carlton County, Minnesota",10.20%,10.2
"Carolina Municipio, Puerto Rico",6.50%,6.5
"Caroline County, Maryland",15.20%,15.2
"Caroline County, Virginia",12.10%,12.1
"Carroll County, Arkansas",18.10%,18.1
"Carroll County, Georgia",10.50%,10.5
"Carroll County, Illinois",8.60%,8.6
"Carroll County, Indiana",12.90%,12.9
"Carroll County, Iowa",10.30%,10.3
"Carroll County, Kentucky",13.90%,13.9
"Carroll County, Maryland",10%,10
"Carroll County, Mississippi",20.10%,20.1
"Carroll County, Missouri",11.10%,11.1
"Carroll County, New Hampshire",13.70%,13.7
"Carroll County, Ohio",13.30%,13.3
"Carroll County, Tennessee",12.30%,12.3
"Carroll County, Virginia",12.30%,12.3
"Carson City, Nevada",9%,9
"Carson County, Texas",9.20%,9.2
"Carter County, Kentucky",11.10%,11.1
"Carter County, Missouri",9.90%,9.9
"Carter County, Montana",14.80%,14.8
"Carter County, Oklahoma",11.60%,11.6
"Carter County, Tennessee",10.90%,10.9
"Carteret County, North Carolina",10.30%,10.3
"Carver County, Minnesota",7.20%,7.2
"Cascade County, Montana",10.80%,10.8
"Casey County, Kentucky",13.70%,13.7
"Cass County, Illinois",14.70%,14.7
"Cass County, Indiana",10.10%,10.1
"Cass County, Iowa",10.80%,10.8
"Cass County, Michigan",11.70%,11.7
"Cass County, Minnesota",12%,12
"Cass County, Missouri",11.50%,11.5
"Cass County, Nebraska",12.60%,12.6
"Cass County, North Dakota",8.10%,8.1
"Cass County, Texas",10%,10
"Cassia County, Idaho",16.50%,16.5
"Castro County, Texas",16%,16
"Caswell County, North Carolina",13.60%,13.6
"Catahoula Parish, Louisiana",13.90%,13.9
"Cataño Municipio, Puerto Rico",7%,7
"Catawba County, North Carolina",7.90%,7.9
"Catoosa County, Georgia",10.20%,10.2
"Catron County, New Mexico",30.50%,30.5
"Cattaraugus County, New York",11.50%,11.5
"Cavalier County, North Dakota",14.80%,14.8
"Cayey Municipio, Puerto Rico",10%,10
"Cayuga County, New York",10.20%,10.2
"Cecil County, Maryland",11.10%,11.1
"Cedar County, Iowa",14.50%,14.5
"Cedar County, Missouri",13.10%,13.1
"Cedar County, Nebraska",12.80%,12.8
"Ceiba Municipio, Puerto Rico",13.60%,13.6
"Centre County, Pennsylvania",5.60%,5.6
"Cerro Gordo County, Iowa",7.30%,7.3
"Chaffee County, Colorado",9.90%,9.9
"Chambers County, Alabama",9.70%,9.7
"Chambers County, Texas",14.10%,14.1
"Champaign County, Illinois",5.40%,5.4
"Champaign County, Ohio",9.10%,9.1
"Chariton County, Missouri",17.40%,17.4
"Charles City County, Virginia",14.10%,14.1
"Charles County, Maryland",9.10%,9.1
"Charles Mix County, South Dakota",12.20%,12.2
"Charleston County, South Carolina",7.40%,7.4
"Charlevoix County, Michigan",9.70%,9.7
"Charlotte County, Florida",9.80%,9.8
"Charlotte County, Virginia",13.50%,13.5
"Charlottesville city, Virginia",2.90%,2.9
"Charlton County, Georgia",14.90%,14.9
"Chase County, Kansas",12.40%,12.4
"Chase County, Nebraska",14.20%,14.2
"Chatham County, Georgia",6.50%,6.5
"Chatham County, North Carolina",9.50%,9.5
"Chattahoochee County, Georgia",9.40%,9.4
"Chattooga County, Georgia",14.10%,14.1
"Chautauqua County, Kansas",15.80%,15.8
"Chautauqua County, New York",8.90%,8.9
"Chaves County, New Mexico",12.90%,12.9
"Cheatham County, Tennessee",13%,13
"Cheboygan County, Michigan",14%,14
"Chelan County, Washington",15.80%,15.8
"Chemung County, New York",7.70%,7.7
"Chenango County, New York",10.90%,10.9
"Cherokee County, Alabama",12%,12
"Cherokee County, Georgia",8.70%,8.7
"Cherokee County, Iowa",10.80%,10.8
"Cherokee County, Kansas",12%,12
"Cherokee County, North Carolina",12.20%,12.2
"Cherokee County, Oklahoma",13%,13
"Cherokee County, South Carolina",10.90%,10.9
"Cherokee County, Texas",14.50%,14.5
"Cherry County, Nebraska",15.30%,15.3
"Chesapeake city, Virginia",9.20%,9.2
"Cheshire County, New Hampshire",9.60%,9.6
"Chester County, Pennsylvania",6.40%,6.4
"Chester County, South Carolina",9.80%,9.8
"Chester County, Tennessee",8.30%,8.3
"Chesterfield County, South Carolina",13.80%,13.8
"Chesterfield County, Virginia",8%,8
"Cheyenne County, Colorado",21%,21
"Cheyenne County, Kansas",12.40%,12.4
"Cheyenne County, Nebraska",13.90%,13.9
"Chickasaw County, Iowa",13.50%,13.5
"Chickasaw County, Mississippi",8.20%,8.2
"Chicot County, Arkansas",15.50%,15.5
"Childress County, Texas",20.60%,20.6
"Chilton County, Alabama",20.90%,20.9
"Chippewa County, Michigan",8.30%,8.3
"Chippewa County, Minnesota",10.10%,10.1
"Chippewa County, Wisconsin",10.80%,10.8
"Chisago County, Minnesota",13.20%,13.2
"Chittenden County, Vermont",6.10%,6.1
"Choctaw County, Alabama",15.80%,15.8
"Choctaw County, Mississippi",13.10%,13.1
"Choctaw County, Oklahoma",11.50%,11.5
"Chouteau County, Montana",13.80%,13.8
"Chowan County, North Carolina",8.60%,8.6
"Christian County, Illinois",10.30%,10.3
"Christian County, Kentucky",11.30%,11.3
"Christian County, Missouri",9.50%,9.5
"Chugach Census Area, Alaska",18%,18
"Churchill County, Nevada",15.50%,15.5
"Ciales Municipio, Puerto Rico",13.20%,13.2
"Cibola County, New Mexico",13.30%,13.3
"Cidra Municipio, Puerto Rico",10.50%,10.5
"Cimarron County, Oklahoma",15.50%,15.5
"Citrus County, Florida",11.60%,11.6
"Clackamas County, Oregon",9%,9
"Claiborne County, Mississippi",10.40%,10.4
"Claiborne County, Tennessee",12%,12
"Claiborne Parish, Louisiana",14.50%,14.5
"Clallam County, Washington",11.10%,11.1
"Clare County, Michigan",12.20%,12.2
"Clarendon County, South Carolina",12.70%,12.7
"Clarion County, Pennsylvania",11.90%,11.9
"Clark County, Arkansas",9.10%,9.1
"Clark County, Idaho",27.50%,27.5
"Clark County, Illinois",13.40%,13.4
"Clark County, Indiana",8.80%,8.8
"Clark County, Kansas",14%,14
"Clark County, Kentucky",9.50%,9.5
"Clark County, Missouri",12.50%,12.5
"Clark County, Nevada",8.30%,8.3
"Clark County, Ohio",9.40%,9.4
"Clark County, South Dakota",12.40%,12.4
"Clark County, Washington",9.40%,9.4
"Clark County, Wisconsin",15%,15
"Clarke County, Alabama",11.40%,11.4
"Clarke County, Georgia",5.20%,5.2
"Clarke County, Iowa",12%,12
"Clarke County, Mississippi",12.40%,12.4
"Clarke County, Virginia",10.20%,10.2
"Clatsop County, Oregon",9.80%,9.8
"Clay County, Alabama",11.60%,11.6
"Clay County, Arkansas",12.10%,12.1
"Clay County, Florida",8.90%,8.9
"Clay County, Georgia",19.50%,19.5
"Clay County, Illinois",14%,14
"Clay County, Indiana",11.70%,11.7
"Clay County, Iowa",10.40%,10.4
"Clay County, Kansas",12.90%,12.9
"Clay County, Kentucky",13.40%,13.4
"Clay County, Minnesota",9.10%,9.1
"Clay County, Mississippi",9.30%,9.3
"Clay County, Missouri",7.80%,7.8
"Clay County, Nebraska",15.50%,15.5
"Clay County, North Carolina",9.90%,9.9
"Clay County, South Dakota",7.10%,7.1
"Clay County, Tennessee",22.50%,22.5
"Clay County, Texas",12.80%,12.8
"Clay County, West Virginia",18.50%,18.5
"Clayton County, Georgia",8.40%,8.4
"Clayton County, Iowa",14.80%,14.8
"Clear Creek County, Colorado",8.60%,8.6
"Clearfield County, Pennsylvania",11.60%,11.6
"Clearwater County, Idaho",13.80%,13.8
"Clearwater County, Minnesota",14.40%,14.4
"Cleburne County, Alabama",16.60%,16.6
"Cleburne County, Arkansas",12.60%,12.6
"Clermont County, Ohio",9.10%,9.1
"Cleveland County, Arkansas",14.10%,14.1
"Cleveland County, North Carolina",9.70%,9.7
"Cleveland County, Oklahoma",8.90%,8.9
"Clinch County, Georgia",19.20%,19.2
"Clinton County, Illinois",11.60%,11.6
"Clinton County, Indiana",14.50%,14.5
"Clinton County, Iowa",10.30%,10.3
"Clinton County, Kentucky",12.50%,12.5
"Clinton County, Michigan",9.10%,9.1
"Clinton County, Missouri",10.90%,10.9
"Clinton County, New York",8.50%,8.5
"Clinton County, Ohio",9.50%,9.5
"Clinton County, Pennsylvania",12.10%,12.1
"Cloud County, Kansas",14.70%,14.7
"Coahoma County, Mississippi",10.20%,10.2
"Coal County, Oklahoma",16.10%,16.1
"Coamo Municipio, Puerto Rico",11.20%,11.2
"Cobb County, Georgia",7.30%,7.3
"Cochise County, Arizona",9.70%,9.7
"Cochran County, Texas",20.10%,20.1
"Cocke County, Tennessee",10.70%,10.7
"Coconino County, Arizona",7.90%,7.9
"Codington County, South Dakota",9.30%,9.3
"Coffee County, Alabama",14%,14
"Coffee County, Georgia",14.70%,14.7
"Coffee County, Tennessee",11.10%,11.1
"Coffey County, Kansas",12.70%,12.7
"Coke County, Texas",16.50%,16.5
"Colbert County, Alabama",9.80%,9.8
"Cole County, Missouri",9.20%,9.2
"Coleman County, Texas",11.60%,11.6
"Coles County, Illinois",8.30%,8.3
"Colfax County, Nebraska",18.30%,18.3
"Colfax County, New Mexico",11.60%,11.6
"Colleton County, South Carolina",17.80%,17.8
"Collier County, Florida",12.10%,12.1
"Collin County, Texas",4.90%,4.9
"Collingsworth County, Texas",15.10%,15.1
"Colonial Heights city, Virginia",9.40%,9.4
"Colorado County, Texas",15.70%,15.7
"Colquitt County, Georgia",16.60%,16.6
"Columbia County, Arkansas",9.40%,9.4
"Columbia County, Florida",11.40%,11.4
"Columbia County, Georgia",8.70%,8.7
"Columbia County, New York",9.30%,9.3
"Columbia County, Oregon",11%,11
"Columbia County, Pennsylvania",10.80%,10.8
"Columbia County, Washington",16.40%,16.4
"Columbia County, Wisconsin",11.40%,11.4
"Columbiana County, Ohio",10.30%,10.3
"Columbus County, North Carolina",12.30%,12.3
"Colusa County, California",23.70%,23.7
"Comal County, Texas",8.70%,8.7
"Comanche County, Kansas",15.50%,15.5
"Comanche County, Oklahoma",9%,9
"Comanche County, Texas",18.60%,18.6
"Comerío Municipio, Puerto Rico",13.90%,13.9
"Concho County, Texas",13.80%,13.8
"Concordia Parish, Louisiana",17.50%,17.5
"Conecuh County, Alabama",7.20%,7.2
"Conejos County, Colorado",16.10%,16.1
"Contra Costa County, California",7.50%,7.5
"Converse County, Wyoming",21.80%,21.8
"Conway County, Arkansas",14.90%,14.9
"Cook County, Georgia",14.30%,14.3
