Geographic Area,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,Over 65 yrs
"Baltimore County, Maryland",17.60%,17.6
"Bamberg County, South Carolina",22.60%,22.6
"Bandera County, Texas",27.90%,27.9
"Banks County, Georgia",16.90%,16.9
"Banner County, Nebraska",30.30%,30.3
"Bannock County, Idaho",14.70%,14.7
"Baraga County, Michigan",22.90%,22.9
"Barber County, Kansas",22.80%,22.8
"Barbour County, Alabama",19.80%,19.8
"Barbour County, West Virginia",20.80%,20.8
"Barceloneta Municipio, Puerto Rico",20.60%,20.6
"Barnes County, North Dakota",22.60%,22.6
"Barnstable County, Massachusetts",31.60%,31.6
"Barnwell County, South Carolina",18.70%,18.7
"Barranquitas Municipio, Puerto Rico",17.90%,17.9
"Barren County, Kentucky",17.80%,17.8
"Barron County, Wisconsin",22.70%,22.7
"Barrow County, Georgia",12.60%,12.6
"Barry County, Michigan",18.80%,18.8
"Barry County, Missouri",21.90%,21.9
"Bartholomew County, Indiana",16.40%,16.4
"Barton County, Kansas",20.70%,20.7
"Barton County, Missouri",20.60%,20.6
"Bartow County, Georgia",14.20%,14.2
"Bastrop County, Texas",15.40%,15.4
"Bates County, Missouri",19%,19
"Bath County, Kentucky",16.90%,16.9
"Bath County, Virginia",29%,29
"Baxter County, Arkansas",31.10%,31.1
"Bay County, Florida",18.10%,18.1
"Bay County, Michigan",20.80%,20.8
"Bayamón Municipio, Puerto Rico",23.20%,23.2
"Bayfield County, Wisconsin",29.20%,29.2
"Baylor County, Texas",23.90%,23.9
"Beadle County, South Dakota",18.80%,18.8
"Bear Lake County, Idaho",21.20%,21.2
"Beaufort County, North Carolina",24.40%,24.4
"Beaufort County, South Carolina",27.70%,27.7
"Beauregard Parish, Louisiana",15.70%,15.7
"Beaver County, Oklahoma",18.70%,18.7
"Beaver County, Pennsylvania",22%,22
"Beaver County, Utah",14.10%,14.1
"Beaverhead County, Montana",23%,23
"Becker County, Minnesota",21.40%,21.4
"Beckham County, Oklahoma",13.80%,13.8
"Bedford County, Pennsylvania",23%,23
"Bedford County, Tennessee",14.60%,14.6
"Bedford County, Virginia",22.20%,22.2
"Bee County, Texas",12.60%,12.6
"Belknap County, New Hampshire",22.80%,22.8
"Bell County, Kentucky",18.70%,18.7
"Bell County, Texas",11.30%,11.3
"Belmont County, Ohio",21.10%,21.1
"Beltrami County, Minnesota",16.60%,16.6
"Ben Hill County, Georgia",17.70%,17.7
"Benewah County, Idaho",23%,23
"Bennett County, South Dakota",12.70%,12.7
"Bennington County, Vermont",23.30%,23.3
"Benson County, North Dakota",14%,14
"Bent County, Colorado",18.40%,18.4
"Benton County, Arkansas",13.60%,13.6
"Benton County, Indiana",17.30%,17.3
"Benton County, Iowa",18.80%,18.8
"Benton County, Minnesota",13.60%,13.6
"Benton County, Mississippi",20.70%,20.7
"Benton County, Missouri",30.70%,30.7
"Benton County, Oregon",16.90%,16.9
"Benton County, Tennessee",23.60%,23.6
"Benton County, Washington",15.40%,15.4
"Benzie County, Michigan",27%,27
"Bergen County, New Jersey",17.50%,17.5
"Berkeley County, South Carolina",14.40%,14.4
"Berkeley County, West Virginia",15%,15
"Berks County, Pennsylvania",17.50%,17.5
"Berkshire County, Massachusetts",24.10%,24.1
"Bernalillo County, New Mexico",17.10%,17.1
"Berrien County, Georgia",17.70%,17.7
"Berrien County, Michigan",20.40%,20.4
"Bertie County, North Carolina",23.90%,23.9
"Bethel Census Area, Alaska",7.70%,7.7
"Bexar County, Texas",12.30%,12.3
"Bibb County, Alabama",16.80%,16.8
"Bibb County, Georgia",16.20%,16.2
"Bienville Parish, Louisiana",20.90%,20.9
"Big Horn County, Montana",13%,13
"Big Horn County, Wyoming",21.50%,21.5
"Big Stone County, Minnesota",25.80%,25.8
"Billings County, North Dakota",25.30%,25.3
"Bingham County, Idaho",14.50%,14.5
"Black Hawk County, Iowa",17.10%,17.1
"Blackford County, Indiana",21.40%,21.4
"Bladen County, North Carolina",22.80%,22.8
"Blaine County, Idaho",20.30%,20.3
"Blaine County, Montana",15.80%,15.8
"Blaine County, Nebraska",37.50%,37.5
"Blaine County, Oklahoma",18.80%,18.8
"Blair County, Pennsylvania",20.90%,20.9
"Blanco County, Texas",24.30%,24.3
"Bland County, Virginia",23.70%,23.7
"Bleckley County, Georgia",17.20%,17.2
"Bledsoe County, Tennessee",19.30%,19.3
"Blount County, Alabama",18.30%,18.3
"Blount County, Tennessee",20.60%,20.6
"Blue Earth County, Minnesota",14.50%,14.5
"Boise County, Idaho",26.90%,26.9
"Bolivar County, Mississippi",16.40%,16.4
"Bollinger County, Missouri",20.50%,20.5
"Bon Homme County, South Dakota",21.20%,21.2
"Bond County, Illinois",18.10%,18.1
"Bonner County, Idaho",25.70%,25.7
"Bonneville County, Idaho",13.40%,13.4
"Boone County, Arkansas",20.80%,20.8
"Boone County, Illinois",16.30%,16.3
"Boone County, Indiana",14.10%,14.1
"Boone County, Iowa",19.20%,19.2
"Boone County, Kentucky",14.20%,14.2
"Boone County, Missouri",12.90%,12.9
"Boone County, Nebraska",22.90%,22.9
"Boone County, West Virginia",21.10%,21.1
"Borden County, Texas",18.40%,18.4
"Bosque County, Texas",24.90%,24.9
"Bossier Parish, Louisiana",14.80%,14.8
"Botetourt County, Virginia",23.20%,23.2
"Bottineau County, North Dakota",24.60%,24.6
"Boulder County, Colorado",15.30%,15.3
"Boundary County, Idaho",23.60%,23.6
"Bourbon County, Kansas",19.30%,19.3
"Bourbon County, Kentucky",18.90%,18.9
"Bowie County, Texas",17.10%,17.1
"Bowman County, North Dakota",23%,23
"Box Butte County, Nebraska",19.10%,19.1
"Box Elder County, Utah",12.60%,12.6
"Boyd County, Kentucky",19.90%,19.9
"Boyd County, Nebraska",33.30%,33.3
"Boyle County, Kentucky",18.80%,18.8
"Bracken County, Kentucky",17%,17
"Bradford County, Florida",17.80%,17.8
"Bradford County, Pennsylvania",21.70%,21.7
"Bradley County, Arkansas",18.50%,18.5
"Bradley County, Tennessee",17.10%,17.1
"Branch County, Michigan",18.80%,18.8
"Brantley County, Georgia",16.50%,16.5
"Braxton County, West Virginia",24.10%,24.1
"Brazoria County, Texas",12.20%,12.2
"Brazos County, Texas",9.50%,9.5
"Breathitt County, Kentucky",17.90%,17.9
"Breckinridge County, Kentucky",19.30%,19.3
"Bremer County, Iowa",19.40%,19.4
"Brevard County, Florida",24%,24
"Brewster County, Texas",23.90%,23.9
"Briscoe County, Texas",30.10%,30.1
"Bristol Bay Borough, Alaska",12.60%,12.6
"Bristol city, Virginia",23.50%,23.5
"Bristol County, Massachusetts",17.20%,17.2
"Bristol County, Rhode Island",20%,20
"Broadwater County, Montana",24.30%,24.3
"Bronx County, New York",13.30%,13.3
"Brooke County, West Virginia",24.10%,24.1
"Brookings County, South Dakota",12.90%,12.9
"Brooks County, Georgia",19.70%,19.7
"Brooks County, Texas",19.80%,19.8
"Broome County, New York",19.70%,19.7
"Broomfield County, Colorado",14.70%,14.7
"Broward County, Florida",17.30%,17.3
"Brown County, Illinois",14.80%,14.8
"Brown County, Indiana",25.40%,25.4
"Brown County, Kansas",20.80%,20.8
"Brown County, Minnesota",21.40%,21.4
"Brown County, Nebraska",28.90%,28.9
"Brown County, Ohio",18.50%,18.5
"Brown County, South Dakota",17.70%,17.7
"Brown County, Texas",20.10%,20.1
"Brown County, Wisconsin",15.60%,15.6
"Brule County, South Dakota",19.10%,19.1
"Brunswick County, North Carolina",32.70%,32.7
"Brunswick County, Virginia",21.90%,21.9
"Bryan County, Georgia",10.50%,10.5
"Bryan County, Oklahoma",17.50%,17.5
"Buchanan County, Iowa",18.10%,18.1
"Buchanan County, Missouri",16.80%,16.8
"Buchanan County, Virginia",23%,23
"Buckingham County, Virginia",19.80%,19.8
"Bucks County, Pennsylvania",19.50%,19.5
"Buena Vista city, Virginia",17.90%,17.9
"Buena Vista County, Iowa",16.30%,16.3
"Buffalo County, Nebraska",15.60%,15.6
"Buffalo County, South Dakota",7.50%,7.5
"Buffalo County, Wisconsin",22.90%,22.9
"Bullitt County, Kentucky",16.50%,16.5
"Bulloch County, Georgia",11.80%,11.8
"Bullock County, Alabama",16.60%,16.6
"Buncombe County, North Carolina",20.60%,20.6
"Bureau County, Illinois",22.30%,22.3
"Burke County, Georgia",16.30%,16.3
"Burke County, North Carolina",21%,21
"Burke County, North Dakota",21.40%,21.4
"Burleigh County, North Dakota",17%,17
"Burleson County, Texas",21.70%,21.7
"Burlington County, New Jersey",17.60%,17.6
"Burnet County, Texas",23.10%,23.1
"Burnett County, Wisconsin",30.20%,30.2
"Burt County, Nebraska",24%,24
"Butler County, Alabama",21.20%,21.2
"Butler County, Iowa",22.70%,22.7
"Butler County, Kansas",15.60%,15.6
"Butler County, Kentucky",18.40%,18.4
"Butler County, Missouri",19%,19
"Butler County, Nebraska",20.50%,20.5
"Butler County, Ohio",15.40%,15.4
"Butler County, Pennsylvania",19.70%,19.7
"Butte County, California",18.20%,18.2
"Butte County, Idaho",22%,22
"Butte County, South Dakota",19.60%,19.6
"Butts County, Georgia",16%,16
"Cabarrus County, North Carolina",13.30%,13.3
"Cabell County, West Virginia",19.40%,19.4
"Cabo Rojo Municipio, Puerto Rico",24%,24
"Cache County, Utah",9.70%,9.7
"Caddo County, Oklahoma",15.70%,15.7
"Caddo Parish, Louisiana",17.90%,17.9
"Caguas Municipio, Puerto Rico",21.50%,21.5
"Calaveras County, California",28.80%,28.8
"Calcasieu Parish, Louisiana",15.30%,15.3
"Caldwell County, Kentucky",21%,21
"Caldwell County, Missouri",20%,20
"Caldwell County, North Carolina",20.70%,20.7
"Caldwell County, Texas",15.20%,15.2
"Caldwell Parish, Louisiana",18.20%,18.2
"Caledonia County, Vermont",22.20%,22.2
"Calhoun County, Alabama",17.90%,17.9
"Calhoun County, Arkansas",21.40%,21.4
"Calhoun County, Florida",18.30%,18.3
"Calhoun County, Georgia",15.90%,15.9
"Calhoun County, Illinois",24.20%,24.2
"Calhoun County, Iowa",23%,23
"Calhoun County, Michigan",18%,18
"Calhoun County, Mississippi",19.60%,19.6
"Calhoun County, South Carolina",23.60%,23.6
"Calhoun County, Texas",18.40%,18.4
"Calhoun County, West Virginia",25%,25
"Callahan County, Texas",20.60%,20.6
"Callaway County, Missouri",16.90%,16.9
"Calloway County, Kentucky",17.10%,17.1
"Calumet County, Wisconsin",15.80%,15.8
"Calvert County, Maryland",15.50%,15.5
"Camas County, Idaho",13.40%,13.4
"Cambria County, Pennsylvania",23.10%,23.1
"Camden County, Georgia",14.20%,14.2
"Camden County, Missouri",28.60%,28.6
"Camden County, New Jersey",16%,16
"Camden County, North Carolina",15.80%,15.8
"Cameron County, Pennsylvania",28%,28
"Cameron County, Texas",13.70%,13.7
"Cameron Parish, Louisiana",15.90%,15.9
"Camp County, Texas",18.20%,18.2
"Campbell County, Kentucky",16.60%,16.6
"Campbell County, South Dakota",27.30%,27.3
"Campbell County, Tennessee",20.60%,20.6
"Campbell County, Virginia",20.70%,20.7
"Campbell County, Wyoming",11.50%,11.5
"Camuy Municipio, Puerto Rico",21.70%,21.7
"Canadian County, Oklahoma",13.40%,13.4
"Candler County, Georgia",18.50%,18.5
"Cannon County, Tennessee",17.40%,17.4
"Canóvanas Municipio, Puerto Rico",18.40%,18.4
"Canyon County, Idaho",14.20%,14.2
"Cape Girardeau County, Missouri",17%,17
"Cape May County, New Jersey",27.80%,27.8
"Capitol Planning Region, Connecticut",17.10%,17.1
"Carbon County, Montana",26.70%,26.7
"Carbon County, Pennsylvania",21.60%,21.6
"Carbon County, Utah",18.40%,18.4
"Carbon County, Wyoming",18.30%,18.3
"Caribou County, Idaho",17%,17
"Carlisle County, Kentucky",20.10%,20.1
"Carlton County, Minnesota",17.90%,17.9
"Carolina Municipio, Puerto Rico",23.60%,23.6
"Caroline County, Maryland",16.90%,16.9
"Caroline County, Virginia",16.40%,16.4
"Carroll County, Arkansas",23.10%,23.1
"Carroll County, Georgia",13.90%,13.9
"Carroll County, Illinois",23.90%,23.9
"Carroll County, Indiana",20.20%,20.2
"Carroll County, Iowa",20.80%,20.8
"Carroll County, Kentucky",16.10%,16.1
"Carroll County, Maryland",17.40%,17.4
"Carroll County, Mississippi",24%,24
"Carroll County, Missouri",21.90%,21.9
"Carroll County, New Hampshire",29.20%,29.2
"Carroll County, Ohio",21.80%,21.8
"Carroll County, Tennessee",20.10%,20.1
"Carroll County, Virginia",25.10%,25.1
"Carson City, Nevada",20.60%,20.6
"Carson County, Texas",21%,21
"Carter County, Kentucky",19.60%,19.6
"Carter County, Missouri",20.20%,20.2
"Carter County, Montana",30.90%,30.9
"Carter County, Oklahoma",17%,17
"Carter County, Tennessee",22.10%,22.1
"Carteret County, North Carolina",25.80%,25.8
"Carver County, Minnesota",13.20%,13.2
"Cascade County, Montana",19%,19
"Casey County, Kentucky",20.60%,20.6
"Cass County, Illinois",18%,18
"Cass County, Indiana",18.10%,18.1
"Cass County, Iowa",23.10%,23.1
"Cass County, Michigan",21.50%,21.5
"Cass County, Minnesota",26.40%,26.4
"Cass County, Missouri",17.20%,17.2
"Cass County, Nebraska",18%,18
"Cass County, North Dakota",12.50%,12.5
"Cass County, Texas",22.20%,22.2
"Cassia County, Idaho",14.10%,14.1
"Castro County, Texas",16.40%,16.4
"Caswell County, North Carolina",22%,22
"Catahoula Parish, Louisiana",17%,17
"Cataño Municipio, Puerto Rico",22.40%,22.4
"Catawba County, North Carolina",18.30%,18.3
"Catoosa County, Georgia",18.10%,18.1
"Catron County, New Mexico",43.20%,43.2
"Cattaraugus County, New York",19.90%,19.9
"Cavalier County, North Dakota",28.20%,28.2
"Cayey Municipio, Puerto Rico",22.40%,22.4
"Cayuga County, New York",20%,20
"Cecil County, Maryland",16.40%,16.4
"Cedar County, Iowa",20%,20
"Cedar County, Missouri",23.40%,23.4
"Cedar County, Nebraska",21.60%,21.6
"Ceiba Municipio, Puerto Rico",24.90%,24.9
"Centre County, Pennsylvania",15.10%,15.1
"Cerro Gordo County, Iowa",22.40%,22.4
"Chaffee County, Colorado",26.30%,26.3
"Chambers County, Alabama",19.70%,19.7
"Chambers County, Texas",12.10%,12.1
"Champaign County, Illinois",13.40%,13.4
"Champaign County, Ohio",18.80%,18.8
"Chariton County, Missouri",25%,25
"Charles City County, Virginia",25.60%,25.6
"Charles County, Maryland",12.90%,12.9
"Charles Mix County, South Dakota",18.20%,18.2
"Charleston County, South Carolina",17.30%,17.3
"Charlevoix County, Michigan",25.40%,25.4
"Charlotte County, Florida",40.30%,40.3
"Charlotte County, Virginia",22.30%,22.3
"Charlottesville city, Virginia",12.60%,12.6
"Charlton County, Georgia",16.40%,16.4
"Chase County, Kansas",23.20%,23.2
"Chase County, Nebraska",24.90%,24.9
"Chatham County, Georgia",16.20%,16.2
"Chatham County, North Carolina",24.80%,24.8
"Chattahoochee County, Georgia",2.90%,2.9
"Chattooga County, Georgia",18%,18
"Chautauqua County, Kansas",24.30%,24.3
"Chautauqua County, New York",20.80%,20.8
"Chaves County, New Mexico",15.90%,15.9
"Cheatham County, Tennessee",15.50%,15.5
"Cheboygan County, Michigan",28.20%,28.2
"Chelan County, Washington",19.90%,19.9
"Chemung County, New York",19.60%,19.6
"Chenango County, New York",21.30%,21.3
"Cherokee County, Alabama",23.20%,23.2
"Cherokee County, Georgia",15%,15
"Cherokee County, Iowa",24.20%,24.2
"Cherokee County, Kansas",19.50%,19.5
"Cherokee County, North Carolina",30.70%,30.7
"Cherokee County, Oklahoma",17.20%,17.2
"Cherokee County, South Carolina",16.90%,16.9
"Cherokee County, Texas",17.70%,17.7
"Cherry County, Nebraska",20.80%,20.8
"Chesapeake city, Virginia",13.80%,13.8
"Cheshire County, New Hampshire",21.10%,21.1
"Chester County, Pennsylvania",17%,17
"Chester County, South Carolina",18.60%,18.6
"Chester County, Tennessee",17.30%,17.3
"Chesterfield County, South Carolina",18.90%,18.9
"Chesterfield County, Virginia",15.50%,15.5
"Cheyenne County, Colorado",20%,20
"Cheyenne County, Kansas",25.80%,25.8
"Cheyenne County, Nebraska",20.80%,20.8
"Chickasaw County, Iowa",21.80%,21.8
"Chickasaw County, Mississippi",18.50%,18.5
"Chicot County, Arkansas",21.30%,21.3
"Childress County, Texas",13.90%,13.9
"Chilton County, Alabama",16.80%,16.8
"Chippewa County, Michigan",18.80%,18.8
"Chippewa County, Minnesota",21.70%,21.7
"Chippewa County, Wisconsin",18.60%,18.6
"Chisago County, Minnesota",16%,16
"Chittenden County, Vermont",15.90%,15.9
"Choctaw County, Alabama",23.30%,23.3
"Choctaw County, Mississippi",22.20%,22.2
"Choctaw County, Oklahoma",20.40%,20.4
"Chouteau County, Montana",21.70%,21.7
"Chowan County, North Carolina",25.60%,25.6
"Christian County, Illinois",19.50%,19.5
"Christian County, Kentucky",12.40%,12.4
"Christian County, Missouri",16.10%,16.1
"Chugach Census Area, Alaska",13.20%,13.2
"Churchill County, Nevada",19.40%,19.4
"Ciales Municipio, Puerto Rico",22.40%,22.4
"Cibola County, New Mexico",16.90%,16.9
"Cidra Municipio, Puerto Rico",19.50%,19.5
"Cimarron County, Oklahoma",24.10%,24.1
"Citrus County, Florida",36.40%,36.4
"Clackamas County, Oregon",18.90%,18.9
"Claiborne County, Mississippi",18.10%,18.1
"Claiborne County, Tennessee",19.70%,19.7
"Claiborne Parish, Louisiana",21%,21
"Clallam County, Washington",30.70%,30.7
"Clare County, Michigan",24.40%,24.4
"Clarendon County, South Carolina",24.10%,24.1
"Clarion County, Pennsylvania",20%,20
"Clark County, Arkansas",16.20%,16.2
"Clark County, Idaho",16.50%,16.5
"Clark County, Illinois",19.50%,19.5
"Clark County, Indiana",16.30%,16.3
"Clark County, Kansas",23.30%,23.3
"Clark County, Kentucky",18.10%,18.1
"Clark County, Missouri",20.60%,20.6
"Clark County, Nevada",15.20%,15.2
"Clark County, Ohio",19.90%,19.9
"Clark County, South Dakota",23.40%,23.4
"Clark County, Washington",16.10%,16.1
"Clark County, Wisconsin",16.80%,16.8
"Clarke County, Alabama",20.40%,20.4
"Clarke County, Georgia",11.50%,11.5
"Clarke County, Iowa",19.70%,19.7
"Clarke County, Mississippi",20.70%,20.7
"Clarke County, Virginia",21.50%,21.5
"Clatsop County, Oregon",23.60%,23.6
"Clay County, Alabama",20.80%,20.8
"Clay County, Arkansas",22.10%,22.1
"Clay County, Florida",16.50%,16.5
"Clay County, Georgia",24.90%,24.9
"Clay County, Illinois",20.60%,20.6
"Clay County, Indiana",18.20%,18.2
"Clay County, Iowa",21.60%,21.6
"Clay County, Kansas",24.30%,24.3
"Clay County, Kentucky",15.80%,15.8
"Clay County, Minnesota",13.50%,13.5
"Clay County, Mississippi",19%,19
"Clay County, Missouri",14.60%,14.6
"Clay County, Nebraska",20.30%,20.3
"Clay County, North Carolina",31.90%,31.9
"Clay County, South Dakota",11.90%,11.9
"Clay County, Tennessee",24.20%,24.2
"Clay County, Texas",22.30%,22.3
"Clay County, West Virginia",21.20%,21.2
"Clayton County, Georgia",10%,10
"Clayton County, Iowa",24.10%,24.1
"Clear Creek County, Colorado",21.10%,21.1
"Clearfield County, Pennsylvania",21.10%,21.1
"Clearwater County, Idaho",28.40%,28.4
"Clearwater County, Minnesota",20.70%,20.7
"Cleburne County, Alabama",19.60%,19.6
"Cleburne County, Arkansas",27.40%,27.4
"Clermont County, Ohio",17.40%,17.4
"Cleveland County, Arkansas",20.80%,20.8
"Cleveland County, North Carolina",18.70%,18.7
"Cleveland County, Oklahoma",14.10%,14.1
"Clinch County, Georgia",15.50%,15.5
"Clinton County, Illinois",17.70%,17.7
"Clinton County, Indiana",16.40%,16.4
"Clinton County, Iowa",19.80%,19.8
"Clinton County, Kentucky",20%,20
"Clinton County, Michigan",17.80%,17.8
"Clinton County, Missouri",18%,18
"Clinton County, New York",17.80%,17.8
"Clinton County, Ohio",17.70%,17.7
"Clinton County, Pennsylvania",19.30%,19.3
"Cloud County, Kansas",20.90%,20.9
"Coahoma County, Mississippi",15.80%,15.8
"Coal County, Oklahoma",20.70%,20.7
"Coamo Municipio, Puerto Rico",19.70%,19.7
"Cobb County, Georgia",13%,13
"Cochise County, Arizona",23.20%,23.2
"Cochran County, Texas",16.80%,16.8
"Cocke County, Tennessee",21.70%,21.7
"Coconino County, Arizona",13.40%,13.4
"Codington County, South Dakota",18.40%,18.4
"Coffee County, Alabama",17.10%,17.1
"Coffee County, Georgia",14.70%,14.7
"Coffee County, Tennessee",17.40%,17.4
"Coffey County, Kansas",21.70%,21.7
"Coke County, Texas",27.20%,27.2
"Colbert County, Alabama",20%,20
"Cole County, Missouri",17.30%,17.3
"Coleman County, Texas",25.50%,25.5
"Coles County, Illinois",18%,18
"Colfax County, Nebraska",13.30%,13.3
"Colfax County, New Mexico",27.50%,27.5
"Colleton County, South Carolina",19.90%,19.9
"Collier County, Florida",32.80%,32.8
"Collin County, Texas",11.20%,11.2
"Collingsworth County, Texas",20.40%,20.4
"Colonial Heights city, Virginia",18.80%,18.8
"Colorado County, Texas",22.30%,22.3
"Colquitt County, Georgia",15.30%,15.3
"Columbia County, Arkansas",17.20%,17.2
"Columbia County, Florida",19.60%,19.6
"Columbia County, Georgia",14.60%,14.6
"Columbia County, New York",24.80%,24.8
"Columbia County, Oregon",19.40%,19.4
"Columbia County, Pennsylvania",19.90%,19.9
"Columbia County, Washington",28.90%,28.9
"Columbia County, Wisconsin",18.70%,18.7
"Columbiana County, Ohio",20.90%,20.9
"Columbus County, North Carolina",20.10%,20.1
"Colusa County, California",15.10%,15.1
"Comal County, Texas",18.30%,18.3
"Comanche County, Kansas",26.70%,26.7
"Comanche County, Oklahoma",13.10%,13.1
"Comanche County, Texas",23.50%,23.5
"Comerío Municipio, Puerto Rico",20%,20
"Concho County, Texas",24.50%,24.5
"Concordia Parish, Louisiana",18.60%,18.6
"Conecuh County, Alabama",23.40%,23.4
"Conejos County, Colorado",19.50%,19.5
"Contra Costa County, California",16.40%,16.4
"Converse County, Wyoming",17.50%,17.5
"Conway County, Arkansas",19.50%,19.5
"Cook County, Georgia",16.20%,16.2
