Geographic Area,"9th to 12th grade, no diploma—Estimate",No diploma
"Blaine County, Montana",6.90%,6.9
"Blaine County, Nebraska",9%,9
"Blaine County, Oklahoma",10.20%,10.2
"Blair County, Pennsylvania",5.20%,5.2
"Blanco County, Texas",4.70%,4.7
"Bland County, Virginia",6%,6
"Bleckley County, Georgia",7.40%,7.4
"Bledsoe County, Tennessee",14.80%,14.8
"Blount County, Alabama",11.10%,11.1
"Blount County, Tennessee",6.30%,6.3
"Blue Earth County, Minnesota",3.10%,3.1
"Boise County, Idaho",3.70%,3.7
"Bolivar County, Mississippi",11.30%,11.3
"Bollinger County, Missouri",12%,12
"Bon Homme County, South Dakota",7.30%,7.3
"Bond County, Illinois",8.80%,8.8
"Bonner County, Idaho",6.50%,6.5
"Bonneville County, Idaho",5.10%,5.1
"Boone County, Arkansas",6.30%,6.3
"Boone County, Illinois",6.40%,6.4
"Boone County, Indiana",3.20%,3.2
"Boone County, Iowa",4%,4
"Boone County, Kentucky",3.80%,3.8
"Boone County, Missouri",3.20%,3.2
"Boone County, Nebraska",4.10%,4.1
"Boone County, West Virginia",10.30%,10.3
"Borden County, Texas",3.20%,3.2
"Bosque County, Texas",7.80%,7.8
"Bossier Parish, Louisiana",6.90%,6.9
"Botetourt County, Virginia",4%,4
"Bottineau County, North Dakota",5.60%,5.6
"Boulder County, Colorado",2.30%,2.3
"Boundary County, Idaho",8.50%,8.5
"Bourbon County, Kansas",7.30%,7.3
"Bourbon County, Kentucky",8.20%,8.2
"Bowie County, Texas",6.60%,6.6
"Bowman County, North Dakota",8.70%,8.7
"Box Butte County, Nebraska",5.10%,5.1
"Box Elder County, Utah",4.50%,4.5
"Boyd County, Kentucky",8.50%,8.5
"Boyd County, Nebraska",3.40%,3.4
"Boyle County, Kentucky",6.80%,6.8
"Bracken County, Kentucky",7.80%,7.8
"Bradford County, Florida",12.10%,12.1
"Bradford County, Pennsylvania",6.90%,6.9
"Bradley County, Arkansas",9.10%,9.1
"Bradley County, Tennessee",7.60%,7.6
"Branch County, Michigan",5.60%,5.6
"Brantley County, Georgia",14.80%,14.8
"Braxton County, West Virginia",11.20%,11.2
"Brazoria County, Texas",6.20%,6.2
"Brazos County, Texas",5.60%,5.6
"Breathitt County, Kentucky",13%,13
"Breckinridge County, Kentucky",10.40%,10.4
"Bremer County, Iowa",2.80%,2.8
"Brevard County, Florida",5.10%,5.1
"Brewster County, Texas",6.90%,6.9
"Briscoe County, Texas",7.70%,7.7
"Bristol Bay Borough, Alaska",3%,3
"Bristol city, Virginia",11.10%,11.1
"Bristol County, Massachusetts",6.90%,6.9
"Bristol County, Rhode Island",4.30%,4.3
"Broadwater County, Montana",4.30%,4.3
"Bronx County, New York",12.90%,12.9
"Brooke County, West Virginia",5.60%,5.6
"Brookings County, South Dakota",2.70%,2.7
"Brooks County, Georgia",11%,11
"Brooks County, Texas",17.30%,17.3
"Broome County, New York",6.50%,6.5
"Broomfield County, Colorado",2.70%,2.7
"Broward County, Florida",5.70%,5.7
"Brown County, Illinois",16%,16
"Brown County, Indiana",5.60%,5.6
"Brown County, Kansas",5.20%,5.2
"Brown County, Minnesota",4.80%,4.8
"Brown County, Nebraska",6.10%,6.1
"Brown County, Ohio",9.70%,9.7
"Brown County, South Dakota",4.10%,4.1
"Brown County, Texas",8.70%,8.7
"Brown County, Wisconsin",4.10%,4.1
"Brule County, South Dakota",4.80%,4.8
"Brunswick County, North Carolina",4.70%,4.7
"Brunswick County, Virginia",16.90%,16.9
"Bryan County, Georgia",5.40%,5.4
"Bryan County, Oklahoma",9%,9
"Buchanan County, Iowa",3.60%,3.6
"Buchanan County, Missouri",7.10%,7.1
"Buchanan County, Virginia",15.50%,15.5
"Buckingham County, Virginia",9.20%,9.2
"Bucks County, Pennsylvania",3.50%,3.5
"Buena Vista city, Virginia",13.20%,13.2
"Buena Vista County, Iowa",9.30%,9.3
"Buffalo County, Nebraska",4.90%,4.9
"Buffalo County, South Dakota",16.50%,16.5
"Buffalo County, Wisconsin",6.10%,6.1
"Bullitt County, Kentucky",7.70%,7.7
"Bulloch County, Georgia",8.90%,8.9
"Bullock County, Alabama",16.70%,16.7
"Buncombe County, North Carolina",4.90%,4.9
"Bureau County, Illinois",6.70%,6.7
"Burke County, Georgia",9.40%,9.4
"Burke County, North Carolina",9.20%,9.2
"Burke County, North Dakota",5.90%,5.9
"Burleigh County, North Dakota",2.90%,2.9
"Burleson County, Texas",10.90%,10.9
"Burlington County, New Jersey",4%,4
"Burnet County, Texas",5.10%,5.1
"Burnett County, Wisconsin",5.70%,5.7
"Burt County, Nebraska",7.30%,7.3
"Butler County, Alabama",8.50%,8.5
"Butler County, Iowa",5.10%,5.1
"Butler County, Kansas",4.20%,4.2
"Butler County, Kentucky",10.70%,10.7
"Butler County, Missouri",12%,12
"Butler County, Nebraska",3.90%,3.9
"Butler County, Ohio",5.90%,5.9
"Butler County, Pennsylvania",3.30%,3.3
"Butte County, California",6.20%,6.2
"Butte County, Idaho",6.40%,6.4
"Butte County, South Dakota",6.60%,6.6
"Butts County, Georgia",12.50%,12.5
"Cabarrus County, North Carolina",5.30%,5.3
"Cabell County, West Virginia",7%,7
"Cabo Rojo Municipio, Puerto Rico",8.50%,8.5
"Cache County, Utah",3.40%,3.4
"Caddo County, Oklahoma",8.80%,8.8
"Caddo Parish, Louisiana",9.30%,9.3
"Caguas Municipio, Puerto Rico",6.20%,6.2
"Calaveras County, California",5.90%,5.9
"Calcasieu Parish, Louisiana",8.10%,8.1
"Caldwell County, Kentucky",9.90%,9.9
"Caldwell County, Missouri",6.90%,6.9
"Caldwell County, North Carolina",12.10%,12.1
"Caldwell County, Texas",12.30%,12.3
"Caldwell Parish, Louisiana",13.70%,13.7
"Caledonia County, Vermont",4.40%,4.4
"Calhoun County, Alabama",10.50%,10.5
"Calhoun County, Arkansas",12.40%,12.4
"Calhoun County, Florida",13.80%,13.8
"Calhoun County, Georgia",16.20%,16.2
"Calhoun County, Illinois",6.30%,6.3
"Calhoun County, Iowa",5%,5
"Calhoun County, Michigan",6.40%,6.4
"Calhoun County, Mississippi",15%,15
"Calhoun County, South Carolina",7.60%,7.6
"Calhoun County, Texas",8.10%,8.1
"Calhoun County, West Virginia",8.20%,8.2
"Callahan County, Texas",6%,6
"Callaway County, Missouri",8.10%,8.1
"Calloway County, Kentucky",6.30%,6.3
"Calumet County, Wisconsin",3.50%,3.5
"Calvert County, Maryland",4.40%,4.4
"Camas County, Idaho",1.80%,1.8
"Cambria County, Pennsylvania",5.20%,5.2
"Camden County, Georgia",6%,6
"Camden County, Missouri",6.60%,6.6
"Camden County, New Jersey",6.20%,6.2
"Camden County, North Carolina",4.30%,4.3
"Cameron County, Pennsylvania",5.80%,5.8
"Cameron County, Texas",12.60%,12.6
"Cameron Parish, Louisiana",7.40%,7.4
"Camp County, Texas",6%,6
"Campbell County, Kentucky",4.60%,4.6
"Campbell County, South Dakota",7.40%,7.4
"Campbell County, Tennessee",12.20%,12.2
"Campbell County, Virginia",6.10%,6.1
"Campbell County, Wyoming",4.80%,4.8
"Camuy Municipio, Puerto Rico",9.40%,9.4
"Canadian County, Oklahoma",5.10%,5.1
"Candler County, Georgia",11.80%,11.8
"Cannon County, Tennessee",9.80%,9.8
"Canóvanas Municipio, Puerto Rico",7.90%,7.9
"Canyon County, Idaho",7.50%,7.5
"Cape Girardeau County, Missouri",5.50%,5.5
"Cape May County, New Jersey",3.70%,3.7
"Capitol Planning Region, Connecticut",5.20%,5.2
"Carbon County, Montana",2.40%,2.4
"Carbon County, Pennsylvania",7.20%,7.2
"Carbon County, Utah",5.60%,5.6
"Carbon County, Wyoming",6.70%,6.7
"Caribou County, Idaho",6%,6
"Carlisle County, Kentucky",8%,8
"Carlton County, Minnesota",3.90%,3.9
"Carolina Municipio, Puerto Rico",5.10%,5.1
"Caroline County, Maryland",10.20%,10.2
"Caroline County, Virginia",7.90%,7.9
"Carroll County, Arkansas",5.90%,5.9
"Carroll County, Georgia",10.50%,10.5
"Carroll County, Illinois",7.80%,7.8
"Carroll County, Indiana",7.20%,7.2
"Carroll County, Iowa",2.90%,2.9
"Carroll County, Kentucky",11.40%,11.4
"Carroll County, Maryland",4.10%,4.1
"Carroll County, Mississippi",14.60%,14.6
"Carroll County, Missouri",6.40%,6.4
"Carroll County, New Hampshire",3.40%,3.4
"Carroll County, Ohio",6.40%,6.4
"Carroll County, Tennessee",6.70%,6.7
"Carroll County, Virginia",10.10%,10.1
"Carson City, Nevada",7.40%,7.4
"Carson County, Texas",5.60%,5.6
"Carter County, Kentucky",10.80%,10.8
"Carter County, Missouri",13.70%,13.7
"Carter County, Montana",4.80%,4.8
"Carter County, Oklahoma",9.20%,9.2
"Carter County, Tennessee",8.30%,8.3
"Carteret County, North Carolina",6%,6
"Carver County, Minnesota",1.80%,1.8
"Cascade County, Montana",4.30%,4.3
"Casey County, Kentucky",9.20%,9.2
"Cass County, Illinois",7.20%,7.2
"Cass County, Indiana",8.10%,8.1
"Cass County, Iowa",6.90%,6.9
"Cass County, Michigan",7.70%,7.7
"Cass County, Minnesota",4.50%,4.5
"Cass County, Missouri",3.80%,3.8
"Cass County, Nebraska",3.30%,3.3
"Cass County, North Dakota",2.40%,2.4
"Cass County, Texas",8.90%,8.9
"Cassia County, Idaho",7.70%,7.7
"Castro County, Texas",6.50%,6.5
"Caswell County, North Carolina",11.60%,11.6
"Catahoula Parish, Louisiana",16.90%,16.9
"Cataño Municipio, Puerto Rico",8.30%,8.3
"Catawba County, North Carolina",8.40%,8.4
"Catoosa County, Georgia",7.40%,7.4
"Catron County, New Mexico",1.40%,1.4
"Cattaraugus County, New York",6.50%,6.5
"Cavalier County, North Dakota",3.50%,3.5
"Cayey Municipio, Puerto Rico",5.90%,5.9
"Cayuga County, New York",8.10%,8.1
"Cecil County, Maryland",6.20%,6.2
"Cedar County, Iowa",2.80%,2.8
"Cedar County, Missouri",8%,8
"Cedar County, Nebraska",3.50%,3.5
"Ceiba Municipio, Puerto Rico",8%,8
"Centre County, Pennsylvania",3.10%,3.1
"Cerro Gordo County, Iowa",4.10%,4.1
"Chaffee County, Colorado",4.50%,4.5
"Chambers County, Alabama",10.80%,10.8
"Chambers County, Texas",5.20%,5.2
"Champaign County, Illinois",3.70%,3.7
"Champaign County, Ohio",6.60%,6.6
"Chariton County, Missouri",5.80%,5.8
"Charles City County, Virginia",11.60%,11.6
"Charles County, Maryland",3.40%,3.4
"Charles Mix County, South Dakota",6.10%,6.1
"Charleston County, South Carolina",5%,5
"Charlevoix County, Michigan",4.10%,4.1
"Charlotte County, Florida",5.70%,5.7
"Charlotte County, Virginia",11%,11
"Charlottesville city, Virginia",4.90%,4.9
"Charlton County, Georgia",8.80%,8.8
"Chase County, Kansas",4.90%,4.9
"Chase County, Nebraska",6.30%,6.3
"Chatham County, Georgia",6%,6
"Chatham County, North Carolina",5.90%,5.9
"Chattahoochee County, Georgia",3.50%,3.5
"Chattooga County, Georgia",17%,17
"Chautauqua County, Kansas",7.60%,7.6
"Chautauqua County, New York",6.60%,6.6
"Chaves County, New Mexico",9.90%,9.9
"Cheatham County, Tennessee",6.70%,6.7
"Cheboygan County, Michigan",8.40%,8.4
"Chelan County, Washington",6.50%,6.5
"Chemung County, New York",7.20%,7.2
"Chenango County, New York",8.50%,8.5
"Cherokee County, Alabama",11.50%,11.5
"Cherokee County, Georgia",4.40%,4.4
"Cherokee County, Iowa",4.70%,4.7
"Cherokee County, Kansas",7.30%,7.3
"Cherokee County, North Carolina",6.10%,6.1
"Cherokee County, Oklahoma",7.90%,7.9
"Cherokee County, South Carolina",10.80%,10.8
"Cherokee County, Texas",11.90%,11.9
"Cherry County, Nebraska",1.50%,1.5
"Chesapeake city, Virginia",4.20%,4.2
"Cheshire County, New Hampshire",4.20%,4.2
"Chester County, Pennsylvania",2.80%,2.8
"Chester County, South Carolina",11.30%,11.3
"Chester County, Tennessee",11.10%,11.1
"Chesterfield County, South Carolina",12.50%,12.5
"Chesterfield County, Virginia",4.30%,4.3
"Cheyenne County, Colorado",4.80%,4.8
"Cheyenne County, Kansas",7.80%,7.8
"Cheyenne County, Nebraska",5.70%,5.7
"Chickasaw County, Iowa",3.40%,3.4
"Chickasaw County, Mississippi",16%,16
"Chicot County, Arkansas",14.50%,14.5
"Childress County, Texas",11.90%,11.9
"Chilton County, Alabama",11.90%,11.9
"Chippewa County, Michigan",5.80%,5.8
"Chippewa County, Minnesota",5.80%,5.8
"Chippewa County, Wisconsin",5.20%,5.2
"Chisago County, Minnesota",3.80%,3.8
"Chittenden County, Vermont",3.10%,3.1
"Choctaw County, Alabama",11.20%,11.2
"Choctaw County, Mississippi",11.10%,11.1
"Choctaw County, Oklahoma",10.50%,10.5
"Chouteau County, Montana",6%,6
"Chowan County, North Carolina",9.20%,9.2
"Christian County, Illinois",7.50%,7.5
"Christian County, Kentucky",8.40%,8.4
"Christian County, Missouri",5.70%,5.7
"Chugach Census Area, Alaska",3.70%,3.7
"Churchill County, Nevada",5.30%,5.3
"Ciales Municipio, Puerto Rico",11%,11
"Cibola County, New Mexico",11.90%,11.9
"Cidra Municipio, Puerto Rico",5.50%,5.5
"Cimarron County, Oklahoma",6.50%,6.5
"Citrus County, Florida",6.80%,6.8
"Clackamas County, Oregon",3.60%,3.6
"Claiborne County, Mississippi",13.10%,13.1
"Claiborne County, Tennessee",9.70%,9.7
"Claiborne Parish, Louisiana",17%,17
"Clallam County, Washington",5%,5
"Clare County, Michigan",8.40%,8.4
"Clarendon County, South Carolina",14.70%,14.7
"Clarion County, Pennsylvania",6.10%,6.1
"Clark County, Arkansas",7%,7
"Clark County, Idaho",23.10%,23.1
"Clark County, Illinois",5.50%,5.5
"Clark County, Indiana",6.90%,6.9
"Clark County, Kansas",3.90%,3.9
"Clark County, Kentucky",7%,7
"Clark County, Missouri",8.20%,8.2
"Clark County, Nevada",7.80%,7.8
"Clark County, Ohio",8.60%,8.6
"Clark County, South Dakota",3.20%,3.2
"Clark County, Washington",4.70%,4.7
"Clark County, Wisconsin",6.40%,6.4
"Clarke County, Alabama",13.70%,13.7
"Clarke County, Georgia",6.50%,6.5
"Clarke County, Iowa",11.90%,11.9
"Clarke County, Mississippi",10.50%,10.5
"Clarke County, Virginia",4.50%,4.5
"Clatsop County, Oregon",6.40%,6.4
"Clay County, Alabama",11.60%,11.6
"Clay County, Arkansas",9.80%,9.8
"Clay County, Florida",5%,5
"Clay County, Georgia",13.20%,13.2
"Clay County, Illinois",7.40%,7.4
"Clay County, Indiana",6.40%,6.4
"Clay County, Iowa",3.90%,3.9
"Clay County, Kansas",3.20%,3.2
"Clay County, Kentucky",13.60%,13.6
"Clay County, Minnesota",3.70%,3.7
"Clay County, Mississippi",13%,13
"Clay County, Missouri",4.20%,4.2
"Clay County, Nebraska",4.40%,4.4
"Clay County, North Carolina",8.20%,8.2
"Clay County, South Dakota",4.70%,4.7
"Clay County, Tennessee",7.60%,7.6
"Clay County, Texas",4.30%,4.3
"Clay County, West Virginia",9.60%,9.6
"Clayton County, Georgia",8.50%,8.5
"Clayton County, Iowa",5.90%,5.9
"Clear Creek County, Colorado",2.30%,2.3
"Clearfield County, Pennsylvania",7%,7
"Clearwater County, Idaho",6.70%,6.7
"Clearwater County, Minnesota",8.90%,8.9
"Cleburne County, Alabama",12.30%,12.3
"Cleburne County, Arkansas",7.70%,7.7
"Clermont County, Ohio",6.30%,6.3
"Cleveland County, Arkansas",7.20%,7.2
"Cleveland County, North Carolina",9%,9
"Cleveland County, Oklahoma",5.60%,5.6
"Clinch County, Georgia",15.90%,15.9
"Clinton County, Illinois",5%,5
"Clinton County, Indiana",8.20%,8.2
"Clinton County, Iowa",6.40%,6.4
"Clinton County, Kentucky",9.90%,9.9
"Clinton County, Michigan",3.10%,3.1
"Clinton County, Missouri",5%,5
"Clinton County, New York",8.70%,8.7
"Clinton County, Ohio",6.60%,6.6
"Clinton County, Pennsylvania",7.30%,7.3
"Cloud County, Kansas",1.90%,1.9
"Coahoma County, Mississippi",10.30%,10.3
"Coal County, Oklahoma",11.20%,11.2
"Coamo Municipio, Puerto Rico",5.50%,5.5
"Cobb County, Georgia",3.20%,3.2
"Cochise County, Arizona",6.50%,6.5
"Cochran County, Texas",10.20%,10.2
"Cocke County, Tennessee",8.90%,8.9
"Coconino County, Arizona",5.30%,5.3
"Codington County, South Dakota",4.80%,4.8
"Coffee County, Alabama",8.90%,8.9
"Coffee County, Georgia",13.70%,13.7
"Coffee County, Tennessee",8.80%,8.8
"Coffey County, Kansas",3.80%,3.8
"Coke County, Texas",8.40%,8.4
"Colbert County, Alabama",10.10%,10.1
"Cole County, Missouri",5.10%,5.1
"Coleman County, Texas",4.70%,4.7
"Coles County, Illinois",5.90%,5.9
"Colfax County, Nebraska",9.70%,9.7
"Colfax County, New Mexico",7.50%,7.5
"Colleton County, South Carolina",10.10%,10.1
"Collier County, Florida",4.60%,4.6
"Collin County, Texas",2.70%,2.7
"Collingsworth County, Texas",13.60%,13.6
"Colonial Heights city, Virginia",4.30%,4.3
"Colorado County, Texas",7.30%,7.3
"Colquitt County, Georgia",14%,14
"Columbia County, Arkansas",8.20%,8.2
"Columbia County, Florida",10.60%,10.6
"Columbia County, Georgia",5%,5
"Columbia County, New York",5.20%,5.2
"Columbia County, Oregon",7.60%,7.6
"Columbia County, Pennsylvania",6.10%,6.1
"Columbia County, Washington",6.90%,6.9
"Columbia County, Wisconsin",4.10%,4.1
"Columbiana County, Ohio",7.40%,7.4
"Columbus County, North Carolina",9.40%,9.4
"Colusa County, California",8.70%,8.7
"Comal County, Texas",3.90%,3.9
"Comanche County, Kansas",1.80%,1.8
"Comanche County, Oklahoma",6.90%,6.9
"Comanche County, Texas",8.50%,8.5
"Comerío Municipio, Puerto Rico",9.20%,9.2
"Concho County, Texas",11.10%,11.1
"Concordia Parish, Louisiana",9%,9
"Conecuh County, Alabama",7.70%,7.7
"Conejos County, Colorado",5.50%,5.5
"Contra Costa County, California",5%,5
"Converse County, Wyoming",4.80%,4.8
"Conway County, Arkansas",7%,7
"Cook County, Georgia",12%,12
"Cook County, Illinois",5.70%,5.7
"Cook County, Minnesota",2.30%,2.3
"Cooke County, Texas",6.30%,6.3
