Geographic Area,Nursing facilities/Skilled-nursing facilities ,Total,Nurs Hom
"Assumption Parish, Louisiana",63,"21,039",0.3
"Atascosa County, Texas",323,"48,981",0.66
"Atchison County, Kansas",184,"16,348",1.13
"Atchison County, Missouri",68,"5,305",1.28
"Athens County, Ohio",285,"62,431",0.46
"Atkinson County, Georgia",0,"8,286",0
"Atlantic County, New Jersey","1,280","274,534",0.47
"Atoka County, Oklahoma",55,"14,143",0.39
"Attala County, Mississippi",231,"17,889",1.29
"Audrain County, Missouri",225,"24,962",0.9
"Audubon County, Iowa",98,"5,674",1.73
"Auglaize County, Ohio",433,"46,422",0.93
"Augusta County, Virginia",207,"77,487",0.27
"Aurora County, South Dakota",46,"2,747",1.67
"Austin County, Texas",97,"30,167",0.32
"Autauga County, Alabama",260,"58,805",0.44
"Avery County, North Carolina",133,"17,806",0.75
"Avoyelles Parish, Louisiana",597,"39,693",1.5
"Baca County, Colorado",36,"3,506",1.03
"Bacon County, Georgia",71,"11,140",0.64
"Bailey County, Texas",50,"6,904",0.72
"Baker County, Florida",389,"28,259",1.38
"Baker County, Georgia",0,"2,876",0
"Baker County, Oregon",0,"16,668",0
"Baldwin County, Alabama","1,212","231,767",0.52
"Baldwin County, Georgia",459,"43,799",1.05
"Ballard County, Kentucky",53,"7,728",0.69
"Baltimore city, Maryland","3,067","585,708",0.52
"Baltimore County, Maryland","5,689","854,535",0.67
"Bamberg County, South Carolina",81,"13,311",0.61
"Bandera County, Texas",31,"20,851",0.15
"Banks County, Georgia",0,"18,035",0
"Banner County, Nebraska",0,674,0
"Bannock County, Idaho",312,"87,018",0.36
"Baraga County, Michigan",44,"8,158",0.54
"Barber County, Kansas",21,"4,228",0.5
"Barbour County, Alabama",155,"25,223",0.61
"Barbour County, West Virginia",103,"15,465",0.67
"Barceloneta Municipio, Puerto Rico",34,"22,657",0.15
"Barnes County, North Dakota",165,"10,853",1.52
"Barnstable County, Massachusetts","1,875","228,996",0.82
"Barnwell County, South Carolina",159,"20,589",0.77
"Barranquitas Municipio, Puerto Rico",27,"28,983",0.09
"Barren County, Kentucky",451,"44,485",1.01
"Barron County, Wisconsin",420,"46,711",0.9
"Barrow County, Georgia",141,"83,505",0.17
"Barry County, Michigan",130,"62,423",0.21
"Barry County, Missouri",192,"34,534",0.56
"Bartholomew County, Indiana",495,"82,208",0.6
"Barton County, Kansas",249,"25,493",0.98
"Barton County, Missouri",0,"11,637",0
"Bartow County, Georgia",320,"108,901",0.29
"Bastrop County, Texas",469,"97,216",0.48
"Bates County, Missouri",150,"16,042",0.94
"Bath County, Kentucky",93,"12,750",0.73
"Bath County, Virginia",40,"4,209",0.95
"Baxter County, Arkansas",401,"41,627",0.96
"Bay County, Florida",901,"175,216",0.51
"Bay County, Michigan",486,"103,856",0.47
"Bayamón Municipio, Puerto Rico",812,"185,187",0.44
"Bayfield County, Wisconsin",65,"16,220",0.4
"Baylor County, Texas",54,"3,465",1.56
"Beadle County, South Dakota",216,"19,149",1.13
"Bear Lake County, Idaho",53,"6,372",0.83
"Beaufort County, North Carolina",261,"44,652",0.58
"Beaufort County, South Carolina",515,"187,117",0.28
"Beauregard Parish, Louisiana",158,"36,549",0.43
"Beaver County, Oklahoma",45,"5,049",0.89
"Beaver County, Pennsylvania","1,138","168,215",0.68
"Beaver County, Utah",23,"7,072",0.33
"Beaverhead County, Montana",80,"9,371",0.85
"Becker County, Minnesota",301,"35,183",0.86
"Beckham County, Oklahoma",133,"22,410",0.59
"Bedford County, Pennsylvania",186,"47,577",0.39
"Bedford County, Tennessee",142,"50,237",0.28
"Bedford County, Virginia",377,"79,462",0.47
"Bee County, Texas",130,"31,047",0.42
"Belknap County, New Hampshire",658,"63,705",1.03
"Bell County, Kentucky",165,"24,097",0.68
"Bell County, Texas","1,440","370,647",0.39
"Belmont County, Ohio",717,"66,497",1.08
"Beltrami County, Minnesota",395,"46,228",0.85
"Ben Hill County, Georgia",172,"17,194",1
"Benewah County, Idaho",61,"9,530",0.64
"Bennett County, South Dakota",42,"3,381",1.24
"Bennington County, Vermont",477,"37,347",1.28
"Benson County, North Dakota",10,"5,964",0.17
"Bent County, Colorado",59,"5,650",1.04
"Benton County, Arkansas",960,"284,333",0.34
"Benton County, Indiana",44,"8,719",0.5
"Benton County, Iowa",254,"25,575",0.99
"Benton County, Minnesota",407,"41,379",0.98
"Benton County, Mississippi",54,"7,646",0.71
"Benton County, Missouri",173,"19,394",0.89
"Benton County, Oregon",165,"95,184",0.17
"Benton County, Tennessee",48,"15,864",0.3
"Benton County, Washington",472,"206,873",0.23
"Benzie County, Michigan",128,"17,970",0.71
"Bergen County, New Jersey","3,408","955,732",0.36
"Berkeley County, South Carolina",239,"229,861",0.1
"Berkeley County, West Virginia",213,"122,076",0.17
"Berks County, Pennsylvania","2,468","428,849",0.58
"Berkshire County, Massachusetts","1,296","129,026",1
"Bernalillo County, New Mexico","2,592","676,444",0.38
"Berrien County, Georgia",90,"18,160",0.5
"Berrien County, Michigan",801,"154,316",0.52
"Bertie County, North Carolina",113,"17,934",0.63
"Bethel Census Area, Alaska",0,"18,666",0
"Bexar County, Texas","7,065","2,009,324",0.35
"Bibb County, Alabama",235,"22,293",1.05
"Bibb County, Georgia","1,178","157,346",0.75
"Bienville Parish, Louisiana",274,"12,981",2.11
"Big Horn County, Montana",66,"13,124",0.5
"Big Horn County, Wyoming",169,"11,521",1.47
"Big Stone County, Minnesota",104,"5,166",2.01
"Billings County, North Dakota",0,945,0
"Bingham County, Idaho",213,"47,992",0.44
"Black Hawk County, Iowa","1,079","131,144",0.82
"Blackford County, Indiana",72,"12,112",0.59
"Bladen County, North Carolina",160,"29,606",0.54
"Blaine County, Idaho",101,"24,272",0.42
"Blaine County, Montana",33,"7,044",0.47
"Blaine County, Nebraska",0,431,0
"Blaine County, Oklahoma",66,"8,735",0.76
"Blair County, Pennsylvania","1,462","122,822",1.19
"Blanco County, Texas",40,"11,374",0.35
"Bland County, Virginia",49,"6,270",0.78
"Bleckley County, Georgia",112,"12,583",0.89
"Bledsoe County, Tennessee",110,"14,913",0.74
"Blount County, Alabama",320,"59,134",0.54
"Blount County, Tennessee",580,"135,280",0.43
"Blue Earth County, Minnesota",484,"69,112",0.7
"Boise County, Idaho",0,"7,610",0
"Bolivar County, Mississippi",434,"30,985",1.4
"Bollinger County, Missouri",84,"10,567",0.79
"Bon Homme County, South Dakota",138,"7,003",1.97
"Bond County, Illinois",74,"16,725",0.44
"Bonner County, Idaho",302,"47,110",0.64
"Bonneville County, Idaho",513,"123,964",0.41
"Boone County, Arkansas",196,"37,373",0.52
"Boone County, Illinois",213,"53,448",0.4
"Boone County, Indiana",536,"70,812",0.76
"Boone County, Iowa",341,"26,715",1.28
"Boone County, Kentucky",528,"135,968",0.39
"Boone County, Missouri",924,"183,610",0.5
"Boone County, Nebraska",87,"5,379",1.62
"Boone County, West Virginia",99,"21,809",0.45
"Borden County, Texas",0,631,0
"Bosque County, Texas",233,"18,235",1.28
"Bossier Parish, Louisiana",663,"128,746",0.51
"Botetourt County, Virginia",253,"33,596",0.75
"Bottineau County, North Dakota",60,"6,379",0.94
"Boulder County, Colorado","1,479","330,758",0.45
"Boundary County, Idaho",71,"12,056",0.59
"Bourbon County, Kansas",121,"14,360",0.84
"Bourbon County, Kentucky",92,"20,252",0.45
"Bowie County, Texas",610,"92,893",0.66
"Bowman County, North Dakota",49,"2,993",1.64
"Box Butte County, Nebraska",95,"10,842",0.88
"Box Elder County, Utah",117,"57,666",0.2
"Boyd County, Kentucky",302,"48,261",0.63
"Boyd County, Nebraska",26,"1,810",1.44
"Boyle County, Kentucky",181,"30,614",0.59
"Bracken County, Kentucky",28,"8,400",0.33
"Bradford County, Florida",270,"28,303",0.95
"Bradford County, Pennsylvania",257,"59,967",0.43
"Bradley County, Arkansas",82,"10,545",0.78
"Bradley County, Tennessee",383,"108,620",0.35
"Branch County, Michigan",261,"44,862",0.58
"Brantley County, Georgia",62,"18,021",0.34
"Braxton County, West Virginia",66,"12,447",0.53
"Brazoria County, Texas","1,124","372,031",0.3
"Brazos County, Texas",535,"233,849",0.23
"Breathitt County, Kentucky",78,"13,718",0.57
"Breckinridge County, Kentucky",66,"20,432",0.32
"Bremer County, Iowa",232,"24,988",0.93
"Brevard County, Florida","3,181","606,612",0.52
"Brewster County, Texas",0,"9,546",0
"Briscoe County, Texas",0,"1,435",0
"Bristol Bay Borough, Alaska",0,844,0
"Bristol city, Virginia",101,"17,219",0.59
"Bristol County, Massachusetts","3,530","579,200",0.61
"Bristol County, Rhode Island",669,"50,793",1.32
"Broadwater County, Montana",13,"6,774",0.19
"Bronx County, New York","10,485","1,472,654",0.71
"Brooke County, West Virginia",191,"22,559",0.85
"Brookings County, South Dakota",239,"34,375",0.7
"Brooks County, Georgia",212,"16,301",1.3
"Brooks County, Texas",61,"7,076",0.86
"Broome County, New York","2,889","198,683",1.45
"Broomfield County, Colorado",391,"74,112",0.53
"Broward County, Florida","6,487","1,944,375",0.33
"Brown County, Illinois",53,"6,244",0.85
"Brown County, Indiana",99,"15,475",0.64
"Brown County, Kansas",78,"9,508",0.82
"Brown County, Minnesota",305,"25,912",1.18
"Brown County, Nebraska",20,"2,903",0.69
"Brown County, Ohio",418,"43,676",0.96
"Brown County, South Dakota",342,"38,301",0.89
"Brown County, Texas",504,"38,095",1.32
"Brown County, Wisconsin",819,"268,740",0.3
"Brule County, South Dakota",139,"5,247",2.65
"Brunswick County, North Carolina",610,"136,693",0.45
"Brunswick County, Virginia",72,"15,849",0.45
"Bryan County, Georgia",82,"44,738",0.18
"Bryan County, Oklahoma",294,"46,067",0.64
"Buchanan County, Iowa",65,"20,565",0.32
"Buchanan County, Missouri",536,"84,793",0.63
"Buchanan County, Virginia",134,"20,355",0.66
"Buckingham County, Virginia",53,"16,824",0.32
"Bucks County, Pennsylvania","4,429","646,538",0.69
"Buena Vista city, Virginia",89,"6,641",1.34
"Buena Vista County, Iowa",218,"20,823",1.05
"Buffalo County, Nebraska",580,"50,084",1.16
"Buffalo County, South Dakota",0,"1,948",0
"Buffalo County, Wisconsin",28,"13,317",0.21
"Bullitt County, Kentucky",86,"82,217",0.1
"Bulloch County, Georgia",320,"81,099",0.39
"Bullock County, Alabama",103,"10,357",0.99
"Buncombe County, North Carolina","2,269","269,452",0.84
"Bureau County, Illinois",318,"33,244",0.96
"Burke County, Georgia",123,"24,596",0.5
"Burke County, North Carolina",768,"87,570",0.88
"Burke County, North Dakota",0,"2,201",0
"Burleigh County, North Dakota","1,184","98,458",1.2
"Burleson County, Texas",135,"17,642",0.77
"Burlington County, New Jersey","2,480","461,860",0.54
"Burnet County, Texas",261,"49,130",0.53
"Burnett County, Wisconsin",74,"16,526",0.45
"Burt County, Nebraska",70,"6,722",1.04
"Butler County, Alabama",198,"19,051",1.04
"Butler County, Iowa",205,"14,334",1.43
"Butler County, Kansas",355,"67,380",0.53
"Butler County, Kentucky",101,"12,371",0.82
"Butler County, Missouri",228,"42,130",0.54
"Butler County, Nebraska",135,"8,369",1.61
"Butler County, Ohio","2,543","390,357",0.65
"Butler County, Pennsylvania","1,438","193,763",0.74
"Butte County, California",902,"211,632",0.43
"Butte County, Idaho",1,"2,574",0.04
"Butte County, South Dakota",83,"10,243",0.81
"Butts County, Georgia",204,"25,434",0.8
"Cabarrus County, North Carolina",713,"225,804",0.32
"Cabell County, West Virginia","1,004","94,350",1.06
"Cabo Rojo Municipio, Puerto Rico",115,"47,158",0.24
"Cache County, Utah",256,"133,154",0.19
"Caddo County, Oklahoma",155,"26,945",0.58
"Caddo Parish, Louisiana","2,130","237,848",0.9
"Caguas Municipio, Puerto Rico",543,"127,244",0.43
"Calaveras County, California",101,"45,292",0.22
"Calcasieu Parish, Louisiana",829,"216,785",0.38
"Caldwell County, Kentucky",67,"12,649",0.53
"Caldwell County, Missouri",98,"8,815",1.11
"Caldwell County, North Carolina",417,"80,652",0.52
"Caldwell County, Texas",322,"45,883",0.7
"Caldwell Parish, Louisiana",77,"9,645",0.8
"Caledonia County, Vermont",120,"30,233",0.4
"Calhoun County, Alabama",862,"116,441",0.74
"Calhoun County, Arkansas",0,"4,739",0
"Calhoun County, Florida",243,"13,648",1.78
"Calhoun County, Georgia",74,"5,573",1.33
"Calhoun County, Illinois",73,"4,437",1.65
"Calhoun County, Iowa",143,"9,927",1.44
"Calhoun County, Michigan",572,"134,310",0.43
"Calhoun County, Mississippi",209,"13,266",1.58
"Calhoun County, South Carolina",115,"14,119",0.81
"Calhoun County, Texas",140,"20,106",0.7
"Calhoun County, West Virginia",26,"6,229",0.42
"Callahan County, Texas",74,"13,708",0.54
"Callaway County, Missouri",340,"44,283",0.77
"Calloway County, Kentucky",219,"37,103",0.59
"Calumet County, Wisconsin",130,"52,442",0.25
"Calvert County, Maryland",261,"92,783",0.28
"Camas County, Idaho",0,"1,077",0
"Cambria County, Pennsylvania",933,"133,472",0.7
"Camden County, Georgia",72,"54,768",0.13
"Camden County, Missouri",171,"42,745",0.4
"Camden County, New Jersey","2,947","523,485",0.56
"Camden County, North Carolina",0,"10,355",0
"Cameron County, Pennsylvania",18,"4,547",0.4
"Cameron County, Texas",997,"421,017",0.24
"Cameron Parish, Louisiana",0,"5,617",0
"Camp County, Texas",69,"12,464",0.55
"Campbell County, Kentucky",474,"93,076",0.51
"Campbell County, South Dakota",0,"1,377",0
"Campbell County, Tennessee",261,"39,272",0.66
"Campbell County, Virginia",400,"55,696",0.72
"Campbell County, Wyoming",132,"47,026",0.28
"Camuy Municipio, Puerto Rico",131,"32,827",0.4
"Canadian County, Oklahoma",437,"154,405",0.28
"Candler County, Georgia",285,"10,981",2.6
"Cannon County, Tennessee",66,"14,506",0.45
"Canóvanas Municipio, Puerto Rico",13,"42,337",0.03
"Canyon County, Idaho",984,"231,105",0.43
"Cape Girardeau County, Missouri","1,097","81,710",1.34
"Cape May County, New Jersey",683,"95,263",0.72
"Carbon County, Montana",64,"10,473",0.61
"Carbon County, Pennsylvania",501,"64,749",0.77
"Carbon County, Utah",78,"20,412",0.38
"Carbon County, Wyoming",61,"14,537",0.42
"Caribou County, Idaho",48,"7,027",0.68
"Carlisle County, Kentucky",56,"4,826",1.16
"Carlton County, Minnesota",403,"36,207",1.11
"Carolina Municipio, Puerto Rico",412,"154,815",0.27
"Caroline County, Maryland",230,"33,293",0.69
"Caroline County, Virginia",93,"30,887",0.3
"Carroll County, Arkansas",140,"28,260",0.5
"Carroll County, Georgia",382,"119,148",0.32
"Carroll County, Illinois",124,"15,702",0.79
"Carroll County, Indiana",96,"20,306",0.47
"Carroll County, Iowa",337,"20,760",1.62
"Carroll County, Kentucky",124,"10,810",1.15
"Carroll County, Maryland","1,276","172,891",0.74
"Carroll County, Mississippi",51,"9,998",0.51
"Carroll County, Missouri",93,"8,495",1.09
"Carroll County, New Hampshire",299,"50,107",0.6
"Carroll County, Ohio",182,"26,721",0.68
"Carroll County, Tennessee",258,"28,440",0.91
"Carroll County, Virginia",106,"29,155",0.36
"Carson City, Nevada",396,"58,639",0.68
"Carson County, Texas",0,"5,807",0
"Carter County, Kentucky",117,"26,627",0.44
"Carter County, Missouri",30,"5,202",0.58
"Carter County, Montana",20,"1,415",1.41
"Carter County, Oklahoma",250,"48,003",0.52
"Carter County, Tennessee",407,"56,356",0.72
"Carteret County, North Carolina",278,"67,686",0.41
"Carver County, Minnesota",284,"106,922",0.27
"Cascade County, Montana",563,"84,414",0.67
"Casey County, Kentucky",76,"15,941",0.48
"Cass County, Illinois",94,"13,042",0.72
"Cass County, Indiana",323,"37,870",0.85
"Cass County, Iowa",174,"13,127",1.33
"Cass County, Michigan",149,"51,589",0.29
"Cass County, Minnesota",163,"30,066",0.54
"Cass County, Missouri",694,"107,824",0.64
"Cass County, Nebraska",162,"26,598",0.61
"Cass County, North Dakota","1,154","184,525",0.63
"Cass County, Texas",265,"28,454",0.93
"Cassia County, Idaho",143,"24,655",0.58
"Castro County, Texas",84,"7,371",1.14
"Caswell County, North Carolina",135,"22,736",0.59
"Catahoula Parish, Louisiana",0,"8,906",0
"Cataño Municipio, Puerto Rico",0,"23,155",0
"Catawba County, North Carolina","1,023","160,610",0.64
"Catoosa County, Georgia",235,"67,872",0.35
"Catron County, New Mexico",0,"3,579",0
"Cattaraugus County, New York",480,"77,042",0.62
"Cavalier County, North Dakota",45,"3,704",1.21
"Cayey Municipio, Puerto Rico",25,"41,652",0.06
"Cayuga County, New York",527,"76,248",0.69
"Cecil County, Maryland",584,"103,725",0.56
"Cedar County, Iowa",234,"18,505",1.26
"Cedar County, Missouri",179,"14,188",1.26
"Cedar County, Nebraska",96,"8,380",1.15
"Ceiba Municipio, Puerto Rico",44,"11,307",0.39
"Centre County, Pennsylvania",748,"158,172",0.47
"Cerro Gordo County, Iowa",499,"43,127",1.16
"Chaffee County, Colorado",69,"19,476",0.35
"Chambers County, Alabama",378,"34,772",1.09
"Chambers County, Texas",136,"46,571",0.29
"Champaign County, Illinois",923,"205,865",0.45
"Champaign County, Ohio",282,"38,714",0.73
"Chariton County, Missouri",203,"7,408",2.74
"Charles City County, Virginia",0,"6,773",0
"Charles County, Maryland",553,"166,617",0.33
"Charles Mix County, South Dakota",114,"9,373",1.22
"Charleston County, South Carolina","1,922","408,235",0.47
"Charlevoix County, Michigan",173,"26,054",0.66
"Charlotte County, Florida","1,595","186,847",0.85
"Charlotte County, Virginia",67,"11,529",0.58
"Charlottesville city, Virginia",197,"46,553",0.42
"Charlton County, Georgia",80,"12,518",0.64
"Chase County, Kansas",27,"2,572",1.05
"Chase County, Nebraska",110,"3,893",2.83
"Chatham County, Georgia","1,492","295,291",0.51
"Chatham County, North Carolina",617,"76,285",0.81
"Chattahoochee County, Georgia",0,"9,565",0
"Chattooga County, Georgia",130,"24,965",0.52
"Chautauqua County, Kansas",44,"3,379",1.3
"Chautauqua County, New York",879,"127,657",0.69
"Chaves County, New Mexico",229,"65,157",0.35
"Cheatham County, Tennessee",144,"41,072",0.35
"Cheboygan County, Michigan",75,"25,579",0.29
"Chelan County, Washington",563,"79,074",0.71
"Chemung County, New York",749,"84,148",0.89
"Chenango County, New York",524,"47,220",1.11
"Cherokee County, Alabama",163,"24,971",0.65
"Cherokee County, Georgia",623,"266,620",0.23
"Cherokee County, Iowa",216,"11,658",1.85
"Cherokee County, Kansas",146,"19,362",0.75
"Cherokee County, North Carolina",140,"28,774",0.49
"Cherokee County, Oklahoma",439,"47,078",0.93
"Cherokee County, South Carolina",247,"56,216",0.44
"Cherokee County, Texas",307,"50,412",0.61
"Cherry County, Nebraska",35,"5,455",0.64
"Chesapeake city, Virginia",613,"249,422",0.25
"Cheshire County, New Hampshire",595,"76,458",0.78
"Chester County, Pennsylvania","3,072","534,413",0.57
"Chester County, South Carolina",51,"32,294",0.16
"Chester County, Tennessee",94,"17,341",0.54
"Chesterfield County, South Carolina",304,"43,273",0.7
"Chesterfield County, Virginia",976,"364,548",0.27
"Cheyenne County, Colorado",27,"1,748",1.54
"Cheyenne County, Kansas",26,"2,616",0.99
"Cheyenne County, Nebraska",60,"9,468",0.63
"Chickasaw County, Iowa",152,"12,012",1.27
"Chickasaw County, Mississippi",151,"17,106",0.88
"Chicot County, Arkansas",47,"10,208",0.46
"Childress County, Texas",39,"6,664",0.59
"Chilton County, Alabama",134,"45,014",0.3
"Chippewa County, Michigan",191,"36,785",0.52
"Chippewa County, Minnesota",237,"12,598",1.88
"Chippewa County, Wisconsin",457,"66,297",0.69
"Chisago County, Minnesota",208,"56,621",0.37
"Chittenden County, Vermont",718,"168,323",0.43
"Choctaw County, Alabama",66,"12,665",0.52
"Choctaw County, Mississippi",82,"8,246",0.99
"Choctaw County, Oklahoma",105,"14,204",0.74
"Chouteau County, Montana",11,"5,895",0.19
"Chowan County, North Carolina",220,"13,708",1.6
"Christian County, Illinois",279,"34,032",0.82
"Christian County, Kentucky",428,"72,748",0.59
"Christian County, Missouri",375,"88,842",0.42
"Chugach Census Area, Alaska",28,"7,102",0.39
"Churchill County, Nevada",134,"25,516",0.53
"Ciales Municipio, Puerto Rico",18,"16,984",0.11
"Cibola County, New Mexico",129,"27,172",0.47
"Cidra Municipio, Puerto Rico",118,"39,970",0.3
"Cimarron County, Oklahoma",0,"2,296",0
"Citrus County, Florida","1,589","153,843",1.03
"Clackamas County, Oregon","1,852","421,401",0.44
"Claiborne County, Mississippi",51,"9,135",0.56
"Claiborne County, Tennessee",253,"32,043",0.79
"Claiborne Parish, Louisiana",160,"14,170",1.13
"Clallam County, Washington",355,"77,155",0.46
"Clare County, Michigan",153,"30,856",0.5
"Clarendon County, South Carolina",121,"31,144",0.39
"Clarion County, Pennsylvania",248,"37,241",0.67
"Clark County, Arkansas",164,"21,446",0.76
"Clark County, Idaho",0,790,0
"Clark County, Illinois",124,"15,455",0.8
"Clark County, Indiana",837,"121,093",0.69
"Clark County, Kansas",28,"1,991",1.41
"Clark County, Kentucky",136,"36,972",0.37
"Clark County, Missouri",56,"6,634",0.84
"Clark County, Nevada","3,424","2,265,461",0.15
"Clark County, Ohio","1,258","136,001",0.92
"Clark County, South Dakota",56,"3,837",1.46
"Clark County, Washington",948,"503,311",0.19
"Clark County, Wisconsin",322,"34,659",0.93
"Clarke County, Alabama",252,"23,087",1.09
"Clarke County, Georgia",485,"128,671",0.38
"Clarke County, Iowa",122,"9,748",1.25
"Clarke County, Mississippi",127,"15,615",0.81
"Clarke County, Virginia",171,"14,783",1.16
"Clatsop County, Oregon",59,"41,072",0.14
"Clay County, Alabama",167,"14,236",1.17
"Clay County, Arkansas",138,"14,552",0.95
"Clay County, Florida","1,551","218,245",0.71
"Clay County, Georgia",55,"2,848",1.93
"Clay County, Illinois",139,"13,288",1.05
"Clay County, Indiana",146,"26,466",0.55
"Clay County, Iowa",201,"16,384",1.23
"Clay County, Kansas",110,"8,117",1.36
"Clay County, Kentucky",103,"20,345",0.51
"Clay County, Minnesota",393,"65,318",0.6
"Clay County, Mississippi",151,"18,636",0.81
"Clay County, Missouri",944,"253,335",0.37
"Clay County, Nebraska",55,"6,104",0.9
"Clay County, North Carolina",78,"11,089",0.7
"Clay County, South Dakota",204,"14,967",1.36
"Clay County, Tennessee",56,"7,581",0.74
"Clay County, Texas",56,"10,218",0.55
"Clay County, West Virginia",54,"8,051",0.67
"Clayton County, Georgia",540,"297,595",0.18
"Clayton County, Iowa",191,"17,043",1.12
"Clear Creek County, Colorado",0,"9,397",0
"Clearfield County, Pennsylvania",579,"80,562",0.72
"Clearwater County, Idaho",98,"8,734",1.12
"Clearwater County, Minnesota",70,"8,524",0.82
"Cleburne County, Alabama",84,"15,056",0.56
"Cleburne County, Arkansas",219,"24,711",0.89
"Clermont County, Ohio","1,400","208,601",0.67
