Geographic Area,Service occupations,Service job
"Big Stone County, Minnesota",14.90%,14.9
"Billings County, North Dakota",20.60%,20.6
"Bingham County, Idaho",17.30%,17.3
"Black Hawk County, Iowa",18.40%,18.4
"Blackford County, Indiana",16.60%,16.6
"Bladen County, North Carolina",17.40%,17.4
"Blaine County, Idaho",16.90%,16.9
"Blaine County, Montana",11.60%,11.6
"Blaine County, Nebraska",5.80%,5.8
"Blaine County, Oklahoma",15%,15
"Blair County, Pennsylvania",18%,18
"Blanco County, Texas",17.80%,17.8
"Bland County, Virginia",11.80%,11.8
"Bleckley County, Georgia",25.30%,25.3
"Bledsoe County, Tennessee",20.60%,20.6
"Blount County, Alabama",13%,13
"Blount County, Tennessee",17.20%,17.2
"Blue Earth County, Minnesota",21.10%,21.1
"Boise County, Idaho",16%,16
"Bolivar County, Mississippi",20.50%,20.5
"Bollinger County, Missouri",13.80%,13.8
"Bon Homme County, South Dakota",17.30%,17.3
"Bond County, Illinois",22.40%,22.4
"Bonner County, Idaho",17.70%,17.7
"Bonneville County, Idaho",18%,18
"Boone County, Arkansas",16.10%,16.1
"Boone County, Illinois",18.90%,18.9
"Boone County, Indiana",11%,11
"Boone County, Iowa",16.60%,16.6
"Boone County, Kentucky",13.50%,13.5
"Boone County, Missouri",17.50%,17.5
"Boone County, Nebraska",15.20%,15.2
"Boone County, West Virginia",16.60%,16.6
"Borden County, Texas",17.20%,17.2
"Bosque County, Texas",19.30%,19.3
"Bossier Parish, Louisiana",18.70%,18.7
"Botetourt County, Virginia",17.30%,17.3
"Bottineau County, North Dakota",13.60%,13.6
"Boulder County, Colorado",13.70%,13.7
"Boundary County, Idaho",13.50%,13.5
"Bourbon County, Kansas",14.50%,14.5
"Bourbon County, Kentucky",17.80%,17.8
"Bowie County, Texas",20.50%,20.5
"Bowman County, North Dakota",15.90%,15.9
"Box Butte County, Nebraska",17%,17
"Box Elder County, Utah",15.70%,15.7
"Boyd County, Kentucky",15.50%,15.5
"Boyd County, Nebraska",16.70%,16.7
"Boyle County, Kentucky",13.40%,13.4
"Bracken County, Kentucky",12.50%,12.5
"Bradford County, Florida",20.50%,20.5
"Bradford County, Pennsylvania",13.20%,13.2
"Bradley County, Arkansas",13.40%,13.4
"Bradley County, Tennessee",16.30%,16.3
"Branch County, Michigan",14.90%,14.9
"Brantley County, Georgia",16.70%,16.7
"Braxton County, West Virginia",22.20%,22.2
"Brazoria County, Texas",13.80%,13.8
"Brazos County, Texas",17.10%,17.1
"Breathitt County, Kentucky",16.70%,16.7
"Breckinridge County, Kentucky",12.90%,12.9
"Bremer County, Iowa",16.60%,16.6
"Brevard County, Florida",17.10%,17.1
"Brewster County, Texas",23.20%,23.2
"Briscoe County, Texas",11.30%,11.3
"Bristol Bay Borough, Alaska",13.60%,13.6
"Bristol city, Virginia",20.50%,20.5
"Bristol County, Massachusetts",17.70%,17.7
"Bristol County, Rhode Island",17.20%,17.2
"Broadwater County, Montana",14.10%,14.1
"Bronx County, New York",33.80%,33.8
"Brooke County, West Virginia",20.90%,20.9
"Brookings County, South Dakota",14.70%,14.7
"Brooks County, Georgia",22.90%,22.9
"Brooks County, Texas",32.60%,32.6
"Broome County, New York",20.30%,20.3
"Broomfield County, Colorado",11.70%,11.7
"Broward County, Florida",18.90%,18.9
"Brown County, Illinois",21%,21
"Brown County, Indiana",19.70%,19.7
"Brown County, Kansas",17.90%,17.9
"Brown County, Minnesota",16.20%,16.2
"Brown County, Nebraska",19.80%,19.8
"Brown County, Ohio",19.60%,19.6
"Brown County, South Dakota",17.20%,17.2
"Brown County, Texas",18.60%,18.6
"Brown County, Wisconsin",15.90%,15.9
"Brule County, South Dakota",19.90%,19.9
"Brunswick County, North Carolina",18.40%,18.4
"Brunswick County, Virginia",22.30%,22.3
"Bryan County, Georgia",14%,14
"Bryan County, Oklahoma",18.90%,18.9
"Buchanan County, Iowa",16.30%,16.3
"Buchanan County, Missouri",16.60%,16.6
"Buchanan County, Virginia",14.80%,14.8
"Buckingham County, Virginia",17.20%,17.2
"Bucks County, Pennsylvania",12.60%,12.6
"Buena Vista city, Virginia",35.50%,35.5
"Buena Vista County, Iowa",12.20%,12.2
"Buffalo County, Nebraska",17.30%,17.3
"Buffalo County, South Dakota",29.10%,29.1
"Buffalo County, Wisconsin",15.10%,15.1
"Bullitt County, Kentucky",12.30%,12.3
"Bulloch County, Georgia",17.70%,17.7
"Bullock County, Alabama",18.20%,18.2
"Buncombe County, North Carolina",18.60%,18.6
"Bureau County, Illinois",17.20%,17.2
"Burke County, Georgia",21.60%,21.6
"Burke County, North Carolina",18.60%,18.6
"Burke County, North Dakota",18.50%,18.5
"Burleigh County, North Dakota",16.20%,16.2
"Burleson County, Texas",11.70%,11.7
"Burlington County, New Jersey",13.40%,13.4
"Burnet County, Texas",19.40%,19.4
"Burnett County, Wisconsin",17%,17
"Burt County, Nebraska",15.40%,15.4
"Butler County, Alabama",15.30%,15.3
"Butler County, Iowa",15.60%,15.6
"Butler County, Kansas",15.30%,15.3
"Butler County, Kentucky",13%,13
"Butler County, Missouri",16.60%,16.6
"Butler County, Nebraska",15.30%,15.3
"Butler County, Ohio",17.20%,17.2
"Butler County, Pennsylvania",14.40%,14.4
"Butte County, California",21%,21
"Butte County, Idaho",21.20%,21.2
"Butte County, South Dakota",17.50%,17.5
"Butts County, Georgia",14.60%,14.6
"Cabarrus County, North Carolina",14%,14
"Cabell County, West Virginia",20%,20
"Cabo Rojo Municipio, Puerto Rico",19.70%,19.7
"Cache County, Utah",15.90%,15.9
"Caddo County, Oklahoma",16.70%,16.7
"Caddo Parish, Louisiana",22%,22
"Caguas Municipio, Puerto Rico",18.90%,18.9
"Calaveras County, California",26.20%,26.2
"Calcasieu Parish, Louisiana",19.80%,19.8
"Caldwell County, Kentucky",20.40%,20.4
"Caldwell County, Missouri",16.80%,16.8
"Caldwell County, North Carolina",15.80%,15.8
"Caldwell County, Texas",19.60%,19.6
"Caldwell Parish, Louisiana",12.90%,12.9
"Caledonia County, Vermont",16.80%,16.8
"Calhoun County, Alabama",18.20%,18.2
"Calhoun County, Arkansas",14.60%,14.6
"Calhoun County, Florida",31.40%,31.4
"Calhoun County, Georgia",20.60%,20.6
"Calhoun County, Illinois",14.30%,14.3
"Calhoun County, Iowa",17.90%,17.9
"Calhoun County, Michigan",18.20%,18.2
"Calhoun County, Mississippi",17.90%,17.9
"Calhoun County, South Carolina",16.30%,16.3
"Calhoun County, Texas",15%,15
"Calhoun County, West Virginia",14.20%,14.2
"Callahan County, Texas",14.10%,14.1
"Callaway County, Missouri",17.30%,17.3
"Calloway County, Kentucky",19.70%,19.7
"Calumet County, Wisconsin",12.20%,12.2
"Calvert County, Maryland",15.30%,15.3
"Camas County, Idaho",17.10%,17.1
"Cambria County, Pennsylvania",18.90%,18.9
"Camden County, Georgia",19.20%,19.2
"Camden County, Missouri",18.50%,18.5
"Camden County, New Jersey",16.20%,16.2
"Camden County, North Carolina",15.10%,15.1
"Cameron County, Pennsylvania",17.10%,17.1
"Cameron County, Texas",25.80%,25.8
"Cameron Parish, Louisiana",18.70%,18.7
"Camp County, Texas",18.70%,18.7
"Campbell County, Kentucky",13.50%,13.5
"Campbell County, South Dakota",12.20%,12.2
"Campbell County, Tennessee",16.90%,16.9
"Campbell County, Virginia",16.20%,16.2
"Campbell County, Wyoming",13.40%,13.4
"Camuy Municipio, Puerto Rico",16.70%,16.7
"Canadian County, Oklahoma",13.70%,13.7
"Candler County, Georgia",18.40%,18.4
"Cannon County, Tennessee",14.60%,14.6
"Canóvanas Municipio, Puerto Rico",21.30%,21.3
"Canyon County, Idaho",17.80%,17.8
"Cape Girardeau County, Missouri",17.60%,17.6
"Cape May County, New Jersey",20.90%,20.9
"Capitol Planning Region, Connecticut",15.40%,15.4
"Carbon County, Montana",16.90%,16.9
"Carbon County, Pennsylvania",17.90%,17.9
"Carbon County, Utah",14.10%,14.1
"Carbon County, Wyoming",18.70%,18.7
"Caribou County, Idaho",19.10%,19.1
"Carlisle County, Kentucky",17.50%,17.5
"Carlton County, Minnesota",20.20%,20.2
"Carolina Municipio, Puerto Rico",20%,20
"Caroline County, Maryland",20.20%,20.2
"Caroline County, Virginia",14.30%,14.3
"Carroll County, Arkansas",14.10%,14.1
"Carroll County, Georgia",15.90%,15.9
"Carroll County, Illinois",13.60%,13.6
"Carroll County, Indiana",14.80%,14.8
"Carroll County, Iowa",16.30%,16.3
"Carroll County, Kentucky",21.50%,21.5
"Carroll County, Maryland",13.60%,13.6
"Carroll County, Mississippi",12.50%,12.5
"Carroll County, Missouri",20.40%,20.4
"Carroll County, New Hampshire",17.60%,17.6
"Carroll County, Ohio",15%,15
"Carroll County, Tennessee",16.70%,16.7
"Carroll County, Virginia",16.70%,16.7
"Carson City, Nevada",21.50%,21.5
"Carson County, Texas",12.70%,12.7
"Carter County, Kentucky",20.30%,20.3
"Carter County, Missouri",16.30%,16.3
"Carter County, Montana",7.70%,7.7
"Carter County, Oklahoma",18.40%,18.4
"Carter County, Tennessee",18.30%,18.3
"Carteret County, North Carolina",19.30%,19.3
"Carver County, Minnesota",11.40%,11.4
"Cascade County, Montana",18.60%,18.6
"Casey County, Kentucky",14.70%,14.7
"Cass County, Illinois",17.10%,17.1
"Cass County, Indiana",16.70%,16.7
"Cass County, Iowa",15.60%,15.6
"Cass County, Michigan",15.50%,15.5
"Cass County, Minnesota",19.80%,19.8
"Cass County, Missouri",15.90%,15.9
"Cass County, Nebraska",14%,14
"Cass County, North Dakota",17%,17
"Cass County, Texas",18.70%,18.7
"Cassia County, Idaho",16.10%,16.1
"Castro County, Texas",19.70%,19.7
"Caswell County, North Carolina",17.50%,17.5
"Catahoula Parish, Louisiana",18.20%,18.2
"Cataño Municipio, Puerto Rico",21.20%,21.2
"Catawba County, North Carolina",13.90%,13.9
"Catoosa County, Georgia",14.50%,14.5
"Catron County, New Mexico",11.30%,11.3
"Cattaraugus County, New York",19.60%,19.6
"Cavalier County, North Dakota",11.10%,11.1
"Cayey Municipio, Puerto Rico",17.10%,17.1
"Cayuga County, New York",18.90%,18.9
"Cecil County, Maryland",14.80%,14.8
"Cedar County, Iowa",16.60%,16.6
"Cedar County, Missouri",15.30%,15.3
"Cedar County, Nebraska",16.50%,16.5
"Ceiba Municipio, Puerto Rico",31%,31
"Centre County, Pennsylvania",16.50%,16.5
"Cerro Gordo County, Iowa",19%,19
"Chaffee County, Colorado",19.60%,19.6
"Chambers County, Alabama",17.70%,17.7
"Chambers County, Texas",13%,13
"Champaign County, Illinois",16.60%,16.6
"Champaign County, Ohio",15.90%,15.9
"Chariton County, Missouri",14.90%,14.9
"Charles City County, Virginia",17.50%,17.5
"Charles County, Maryland",16.70%,16.7
"Charles Mix County, South Dakota",18.70%,18.7
"Charleston County, South Carolina",16.30%,16.3
"Charlevoix County, Michigan",19.70%,19.7
"Charlotte County, Florida",20.20%,20.2
"Charlotte County, Virginia",16.60%,16.6
"Charlottesville city, Virginia",15.80%,15.8
"Charlton County, Georgia",20%,20
"Chase County, Kansas",14.20%,14.2
"Chase County, Nebraska",17.60%,17.6
"Chatham County, Georgia",19.50%,19.5
"Chatham County, North Carolina",14.80%,14.8
"Chattahoochee County, Georgia",30.30%,30.3
"Chattooga County, Georgia",13.80%,13.8
"Chautauqua County, Kansas",23.10%,23.1
"Chautauqua County, New York",19.90%,19.9
"Chaves County, New Mexico",20.30%,20.3
"Cheatham County, Tennessee",17.20%,17.2
"Cheboygan County, Michigan",19.70%,19.7
"Chelan County, Washington",18.20%,18.2
"Chemung County, New York",18.30%,18.3
"Chenango County, New York",15.90%,15.9
"Cherokee County, Alabama",16.40%,16.4
"Cherokee County, Georgia",14.50%,14.5
"Cherokee County, Iowa",15.20%,15.2
"Cherokee County, Kansas",19%,19
"Cherokee County, North Carolina",18.40%,18.4
"Cherokee County, Oklahoma",18%,18
"Cherokee County, South Carolina",19.20%,19.2
"Cherokee County, Texas",17.50%,17.5
"Cherry County, Nebraska",21.80%,21.8
"Chesapeake city, Virginia",16%,16
"Cheshire County, New Hampshire",15.40%,15.4
"Chester County, Pennsylvania",12.20%,12.2
"Chester County, South Carolina",20.70%,20.7
"Chester County, Tennessee",18.20%,18.2
"Chesterfield County, South Carolina",18.20%,18.2
"Chesterfield County, Virginia",13.80%,13.8
"Cheyenne County, Colorado",11.30%,11.3
"Cheyenne County, Kansas",18.10%,18.1
"Cheyenne County, Nebraska",15.80%,15.8
"Chickasaw County, Iowa",12.80%,12.8
"Chickasaw County, Mississippi",12.90%,12.9
"Chicot County, Arkansas",15.10%,15.1
"Childress County, Texas",12.80%,12.8
"Chilton County, Alabama",14.90%,14.9
"Chippewa County, Michigan",25.20%,25.2
"Chippewa County, Minnesota",14.60%,14.6
"Chippewa County, Wisconsin",16%,16
"Chisago County, Minnesota",16.50%,16.5
"Chittenden County, Vermont",14.90%,14.9
"Choctaw County, Alabama",16.10%,16.1
"Choctaw County, Mississippi",18%,18
"Choctaw County, Oklahoma",18.80%,18.8
"Chouteau County, Montana",17%,17
"Chowan County, North Carolina",24.40%,24.4
"Christian County, Illinois",20.60%,20.6
"Christian County, Kentucky",19.50%,19.5
"Christian County, Missouri",16.10%,16.1
"Chugach Census Area, Alaska",15%,15
"Churchill County, Nevada",15.70%,15.7
"Ciales Municipio, Puerto Rico",28.70%,28.7
"Cibola County, New Mexico",28.60%,28.6
"Cidra Municipio, Puerto Rico",19.80%,19.8
"Cimarron County, Oklahoma",10.10%,10.1
"Citrus County, Florida",18.50%,18.5
"Clackamas County, Oregon",13.70%,13.7
"Claiborne County, Mississippi",17.90%,17.9
"Claiborne County, Tennessee",15.60%,15.6
"Claiborne Parish, Louisiana",28.70%,28.7
"Clallam County, Washington",21.70%,21.7
"Clare County, Michigan",20.10%,20.1
"Clarendon County, South Carolina",19.20%,19.2
"Clarion County, Pennsylvania",19.80%,19.8
"Clark County, Arkansas",24.90%,24.9
"Clark County, Idaho",19.30%,19.3
"Clark County, Illinois",15.50%,15.5
"Clark County, Indiana",15.20%,15.2
"Clark County, Kansas",16%,16
"Clark County, Kentucky",13.50%,13.5
"Clark County, Missouri",12.20%,12.2
"Clark County, Nevada",25.70%,25.7
"Clark County, Ohio",18.60%,18.6
"Clark County, South Dakota",16.40%,16.4
"Clark County, Washington",16%,16
"Clark County, Wisconsin",13.80%,13.8
"Clarke County, Alabama",15.20%,15.2
"Clarke County, Georgia",19.40%,19.4
"Clarke County, Iowa",16.20%,16.2
"Clarke County, Mississippi",17.70%,17.7
"Clarke County, Virginia",13.20%,13.2
"Clatsop County, Oregon",23.70%,23.7
"Clay County, Alabama",10.80%,10.8
"Clay County, Arkansas",15.40%,15.4
"Clay County, Florida",15.70%,15.7
"Clay County, Georgia",16.10%,16.1
"Clay County, Illinois",15.50%,15.5
"Clay County, Indiana",17.50%,17.5
"Clay County, Iowa",14.30%,14.3
"Clay County, Kansas",14.40%,14.4
"Clay County, Kentucky",19.80%,19.8
"Clay County, Minnesota",17.40%,17.4
"Clay County, Mississippi",17.30%,17.3
"Clay County, Missouri",14%,14
"Clay County, Nebraska",14.90%,14.9
"Clay County, North Carolina",18.60%,18.6
"Clay County, South Dakota",22.60%,22.6
"Clay County, Tennessee",13.80%,13.8
"Clay County, Texas",10.10%,10.1
"Clay County, West Virginia",14.30%,14.3
"Clayton County, Georgia",20.60%,20.6
"Clayton County, Iowa",16.50%,16.5
"Clear Creek County, Colorado",19.30%,19.3
"Clearfield County, Pennsylvania",17.90%,17.9
"Clearwater County, Idaho",20.60%,20.6
"Clearwater County, Minnesota",17.70%,17.7
"Cleburne County, Alabama",15%,15
"Cleburne County, Arkansas",16.60%,16.6
"Clermont County, Ohio",14.60%,14.6
"Cleveland County, Arkansas",10.70%,10.7
"Cleveland County, North Carolina",16.80%,16.8
"Cleveland County, Oklahoma",15.10%,15.1
"Clinch County, Georgia",8.80%,8.8
"Clinton County, Illinois",16.10%,16.1
"Clinton County, Indiana",16.60%,16.6
"Clinton County, Iowa",14.20%,14.2
"Clinton County, Kentucky",20%,20
"Clinton County, Michigan",14.90%,14.9
"Clinton County, Missouri",14.60%,14.6
"Clinton County, New York",19.90%,19.9
"Clinton County, Ohio",17.20%,17.2
"Clinton County, Pennsylvania",19.20%,19.2
"Cloud County, Kansas",16.90%,16.9
"Coahoma County, Mississippi",25.50%,25.5
"Coal County, Oklahoma",18.30%,18.3
"Coamo Municipio, Puerto Rico",25.50%,25.5
"Cobb County, Georgia",13.50%,13.5
"Cochise County, Arizona",23%,23
"Cochran County, Texas",12.80%,12.8
"Cocke County, Tennessee",24.50%,24.5
"Coconino County, Arizona",22.20%,22.2
"Codington County, South Dakota",14.30%,14.3
"Coffee County, Alabama",18.80%,18.8
"Coffee County, Georgia",14.80%,14.8
"Coffee County, Tennessee",15.70%,15.7
"Coffey County, Kansas",18.20%,18.2
"Coke County, Texas",27.40%,27.4
"Colbert County, Alabama",17.10%,17.1
"Cole County, Missouri",15%,15
"Coleman County, Texas",24.60%,24.6
"Coles County, Illinois",20.40%,20.4
"Colfax County, Nebraska",16.50%,16.5
"Colfax County, New Mexico",27.70%,27.7
"Colleton County, South Carolina",16.70%,16.7
"Collier County, Florida",22.60%,22.6
"Collin County, Texas",12%,12
"Collingsworth County, Texas",24.30%,24.3
"Colonial Heights city, Virginia",15.20%,15.2
"Colorado County, Texas",15.10%,15.1
"Colquitt County, Georgia",14.20%,14.2
"Columbia County, Arkansas",16.30%,16.3
"Columbia County, Florida",19.40%,19.4
"Columbia County, Georgia",16.30%,16.3
"Columbia County, New York",15.90%,15.9
"Columbia County, Oregon",16.50%,16.5
"Columbia County, Pennsylvania",18.40%,18.4
"Columbia County, Washington",16.60%,16.6
"Columbia County, Wisconsin",14.60%,14.6
"Columbiana County, Ohio",20.20%,20.2
"Columbus County, North Carolina",21.70%,21.7
"Colusa County, California",15.40%,15.4
"Comal County, Texas",14.60%,14.6
"Comanche County, Kansas",13.60%,13.6
"Comanche County, Oklahoma",19.80%,19.8
"Comanche County, Texas",14.80%,14.8
"Comerío Municipio, Puerto Rico",19.60%,19.6
"Concho County, Texas",18.20%,18.2
"Concordia Parish, Louisiana",23.40%,23.4
"Conecuh County, Alabama",13.30%,13.3
"Conejos County, Colorado",16%,16
"Contra Costa County, California",16.70%,16.7
"Converse County, Wyoming",12.70%,12.7
"Conway County, Arkansas",17.90%,17.9
"Cook County, Georgia",15%,15
"Cook County, Illinois",16.50%,16.5
"Cook County, Minnesota",13.70%,13.7
