Geographic Area,"Production, transportation, and material moving occupations",Production job
"Attala County, Mississippi",24.90%,24.9
"Audrain County, Missouri",24.30%,24.3
"Audubon County, Iowa",15.90%,15.9
"Auglaize County, Ohio",26.60%,26.6
"Augusta County, Virginia",18.30%,18.3
"Aurora County, South Dakota",17.30%,17.3
"Austin County, Texas",15%,15
"Autauga County, Alabama",17.40%,17.4
"Avery County, North Carolina",8.60%,8.6
"Avoyelles Parish, Louisiana",10.10%,10.1
"Baca County, Colorado",10.40%,10.4
"Bacon County, Georgia",20.50%,20.5
"Bailey County, Texas",31.30%,31.3
"Baker County, Florida",18.40%,18.4
"Baker County, Georgia",13%,13
"Baker County, Oregon",11.60%,11.6
"Baldwin County, Alabama",13.10%,13.1
"Baldwin County, Georgia",14.90%,14.9
"Ballard County, Kentucky",14.70%,14.7
"Baltimore city, Maryland",11.60%,11.6
"Baltimore County, Maryland",10.60%,10.6
"Bamberg County, South Carolina",31.90%,31.9
"Bandera County, Texas",9%,9
"Banks County, Georgia",20.50%,20.5
"Banner County, Nebraska",3.40%,3.4
"Bannock County, Idaho",13.50%,13.5
"Baraga County, Michigan",16.20%,16.2
"Barber County, Kansas",16%,16
"Barbour County, Alabama",20.10%,20.1
"Barbour County, West Virginia",14.60%,14.6
"Barceloneta Municipio, Puerto Rico",11.70%,11.7
"Barnes County, North Dakota",12.70%,12.7
"Barnstable County, Massachusetts",8.20%,8.2
"Barnwell County, South Carolina",23.70%,23.7
"Barranquitas Municipio, Puerto Rico",16.40%,16.4
"Barren County, Kentucky",23%,23
"Barron County, Wisconsin",22.30%,22.3
"Barrow County, Georgia",17.30%,17.3
"Barry County, Michigan",21.90%,21.9
"Barry County, Missouri",26.70%,26.7
"Bartholomew County, Indiana",18.30%,18.3
"Barton County, Kansas",17.30%,17.3
"Barton County, Missouri",13.30%,13.3
"Bartow County, Georgia",18.20%,18.2
"Bastrop County, Texas",15%,15
"Bates County, Missouri",18.50%,18.5
"Bath County, Kentucky",30.30%,30.3
"Bath County, Virginia",8%,8
"Baxter County, Arkansas",23.70%,23.7
"Bay County, Florida",10.60%,10.6
"Bay County, Michigan",16.80%,16.8
"Bayamón Municipio, Puerto Rico",9.70%,9.7
"Bayfield County, Wisconsin",13.80%,13.8
"Baylor County, Texas",14%,14
"Beadle County, South Dakota",27.90%,27.9
"Bear Lake County, Idaho",14.30%,14.3
"Beaufort County, North Carolina",16.30%,16.3
"Beaufort County, South Carolina",10.20%,10.2
"Beauregard Parish, Louisiana",17.90%,17.9
"Beaver County, Oklahoma",12.20%,12.2
"Beaver County, Pennsylvania",15.40%,15.4
"Beaver County, Utah",16.60%,16.6
"Beaverhead County, Montana",8.60%,8.6
"Becker County, Minnesota",15.50%,15.5
"Beckham County, Oklahoma",9.40%,9.4
"Bedford County, Pennsylvania",21.20%,21.2
"Bedford County, Tennessee",23.60%,23.6
"Bedford County, Virginia",14.20%,14.2
"Bee County, Texas",15.60%,15.6
"Belknap County, New Hampshire",11.90%,11.9
"Bell County, Kentucky",22.20%,22.2
"Bell County, Texas",13.20%,13.2
"Belmont County, Ohio",17.50%,17.5
"Beltrami County, Minnesota",11.60%,11.6
"Ben Hill County, Georgia",24.40%,24.4
"Benewah County, Idaho",16%,16
"Bennett County, South Dakota",16.40%,16.4
"Bennington County, Vermont",11%,11
"Benson County, North Dakota",12.20%,12.2
"Bent County, Colorado",15.10%,15.1
"Benton County, Arkansas",14.80%,14.8
"Benton County, Indiana",23.30%,23.3
"Benton County, Iowa",17.30%,17.3
"Benton County, Minnesota",17.10%,17.1
"Benton County, Mississippi",30%,30
"Benton County, Missouri",15.80%,15.8
"Benton County, Oregon",8.30%,8.3
"Benton County, Tennessee",25%,25
"Benton County, Washington",12.10%,12.1
"Benzie County, Michigan",15.10%,15.1
"Bergen County, New Jersey",8.80%,8.8
"Berkeley County, South Carolina",14.70%,14.7
"Berkeley County, West Virginia",21.80%,21.8
"Berks County, Pennsylvania",20.40%,20.4
"Berkshire County, Massachusetts",10.30%,10.3
"Bernalillo County, New Mexico",8.70%,8.7
"Berrien County, Georgia",21.50%,21.5
"Berrien County, Michigan",16.50%,16.5
"Bertie County, North Carolina",22.60%,22.6
"Bethel Census Area, Alaska",14.40%,14.4
"Bexar County, Texas",11.30%,11.3
"Bibb County, Alabama",25.50%,25.5
"Bibb County, Georgia",15.20%,15.2
"Bienville Parish, Louisiana",23.60%,23.6
"Big Horn County, Montana",9.50%,9.5
"Big Horn County, Wyoming",14%,14
"Big Stone County, Minnesota",15.30%,15.3
"Billings County, North Dakota",5.90%,5.9
"Bingham County, Idaho",18%,18
"Black Hawk County, Iowa",19.50%,19.5
"Blackford County, Indiana",25.10%,25.1
"Bladen County, North Carolina",21.10%,21.1
"Blaine County, Idaho",11.80%,11.8
"Blaine County, Montana",5.60%,5.6
"Blaine County, Nebraska",8.30%,8.3
"Blaine County, Oklahoma",15.90%,15.9
"Blair County, Pennsylvania",16.70%,16.7
"Blanco County, Texas",7.60%,7.6
"Bland County, Virginia",21.60%,21.6
"Bleckley County, Georgia",14.10%,14.1
"Bledsoe County, Tennessee",16.30%,16.3
"Blount County, Alabama",21.70%,21.7
"Blount County, Tennessee",16.90%,16.9
"Blue Earth County, Minnesota",16.60%,16.6
"Boise County, Idaho",6.50%,6.5
"Bolivar County, Mississippi",14%,14
"Bollinger County, Missouri",19.40%,19.4
"Bon Homme County, South Dakota",18.60%,18.6
"Bond County, Illinois",18.80%,18.8
"Bonner County, Idaho",15%,15
"Bonneville County, Idaho",12.80%,12.8
"Boone County, Arkansas",18.80%,18.8
"Boone County, Illinois",20.50%,20.5
"Boone County, Indiana",13.10%,13.1
"Boone County, Iowa",17.40%,17.4
"Boone County, Kentucky",18%,18
"Boone County, Missouri",9.60%,9.6
"Boone County, Nebraska",15.60%,15.6
"Boone County, West Virginia",12.20%,12.2
"Borden County, Texas",10%,10
"Bosque County, Texas",14.70%,14.7
"Bossier Parish, Louisiana",11.50%,11.5
"Botetourt County, Virginia",14.50%,14.5
"Bottineau County, North Dakota",11.70%,11.7
"Boulder County, Colorado",7.50%,7.5
"Boundary County, Idaho",14.80%,14.8
"Bourbon County, Kansas",26.60%,26.6
"Bourbon County, Kentucky",14.40%,14.4
"Bowie County, Texas",14%,14
"Bowman County, North Dakota",11.10%,11.1
"Box Butte County, Nebraska",20.40%,20.4
"Box Elder County, Utah",21.90%,21.9
"Boyd County, Kentucky",14.20%,14.2
"Boyd County, Nebraska",19.50%,19.5
"Boyle County, Kentucky",21.90%,21.9
"Bracken County, Kentucky",27.70%,27.7
"Bradford County, Florida",15.40%,15.4
"Bradford County, Pennsylvania",25.50%,25.5
"Bradley County, Arkansas",23.30%,23.3
"Bradley County, Tennessee",21.30%,21.3
"Branch County, Michigan",29.30%,29.3
"Brantley County, Georgia",24.10%,24.1
"Braxton County, West Virginia",20.80%,20.8
"Brazoria County, Texas",12.50%,12.5
"Brazos County, Texas",9.50%,9.5
"Breathitt County, Kentucky",17.60%,17.6
"Breckinridge County, Kentucky",29.60%,29.6
"Bremer County, Iowa",19.50%,19.5
"Brevard County, Florida",10.40%,10.4
"Brewster County, Texas",8.50%,8.5
"Briscoe County, Texas",11.30%,11.3
"Bristol Bay Borough, Alaska",14.10%,14.1
"Bristol city, Virginia",16.30%,16.3
"Bristol County, Massachusetts",13.50%,13.5
"Bristol County, Rhode Island",4.90%,4.9
"Broadwater County, Montana",15%,15
"Bronx County, New York",12.40%,12.4
"Brooke County, West Virginia",18.90%,18.9
"Brookings County, South Dakota",16.50%,16.5
"Brooks County, Georgia",19%,19
"Brooks County, Texas",14.20%,14.2
"Broome County, New York",12%,12
"Broomfield County, Colorado",6.60%,6.6
"Broward County, Florida",10.10%,10.1
"Brown County, Illinois",18.70%,18.7
"Brown County, Indiana",12.40%,12.4
"Brown County, Kansas",18.50%,18.5
"Brown County, Minnesota",20.40%,20.4
"Brown County, Nebraska",12.80%,12.8
"Brown County, Ohio",22.70%,22.7
"Brown County, South Dakota",16.10%,16.1
"Brown County, Texas",19.40%,19.4
"Brown County, Wisconsin",17.80%,17.8
"Brule County, South Dakota",13.10%,13.1
"Brunswick County, North Carolina",11.10%,11.1
"Brunswick County, Virginia",26%,26
"Bryan County, Georgia",11.80%,11.8
"Bryan County, Oklahoma",15.40%,15.4
"Buchanan County, Iowa",21.60%,21.6
"Buchanan County, Missouri",23.60%,23.6
"Buchanan County, Virginia",14.60%,14.6
"Buckingham County, Virginia",20.10%,20.1
"Bucks County, Pennsylvania",10.70%,10.7
"Buena Vista city, Virginia",11.40%,11.4
"Buena Vista County, Iowa",35.50%,35.5
"Buffalo County, Nebraska",15.10%,15.1
"Buffalo County, South Dakota",10%,10
"Buffalo County, Wisconsin",22.50%,22.5
"Bullitt County, Kentucky",23.50%,23.5
"Bulloch County, Georgia",16.60%,16.6
"Bullock County, Alabama",34.40%,34.4
"Buncombe County, North Carolina",10.70%,10.7
"Bureau County, Illinois",23.10%,23.1
"Burke County, Georgia",22.70%,22.7
"Burke County, North Carolina",22%,22
"Burke County, North Dakota",13%,13
"Burleigh County, North Dakota",10.60%,10.6
"Burleson County, Texas",15.80%,15.8
"Burlington County, New Jersey",10.20%,10.2
"Burnet County, Texas",9.70%,9.7
"Burnett County, Wisconsin",20.70%,20.7
"Burt County, Nebraska",14.10%,14.1
"Butler County, Alabama",26.60%,26.6
"Butler County, Iowa",20.40%,20.4
"Butler County, Kansas",13.30%,13.3
"Butler County, Kentucky",21.50%,21.5
"Butler County, Missouri",22.70%,22.7
"Butler County, Nebraska",21.70%,21.7
"Butler County, Ohio",16.10%,16.1
"Butler County, Pennsylvania",12.40%,12.4
"Butte County, California",10.40%,10.4
"Butte County, Idaho",17.20%,17.2
"Butte County, South Dakota",15.50%,15.5
"Butts County, Georgia",20.60%,20.6
"Cabarrus County, North Carolina",12.50%,12.5
"Cabell County, West Virginia",10.90%,10.9
"Cabo Rojo Municipio, Puerto Rico",12.90%,12.9
"Cache County, Utah",17.20%,17.2
"Caddo County, Oklahoma",15.70%,15.7
"Caddo Parish, Louisiana",12.60%,12.6
"Caguas Municipio, Puerto Rico",10.70%,10.7
"Calaveras County, California",8.80%,8.8
"Calcasieu Parish, Louisiana",12.50%,12.5
"Caldwell County, Kentucky",25.30%,25.3
"Caldwell County, Missouri",23.10%,23.1
"Caldwell County, North Carolina",24.10%,24.1
"Caldwell County, Texas",13.60%,13.6
"Caldwell Parish, Louisiana",20.20%,20.2
"Caledonia County, Vermont",14.60%,14.6
"Calhoun County, Alabama",21.10%,21.1
"Calhoun County, Arkansas",18.80%,18.8
"Calhoun County, Florida",12.40%,12.4
"Calhoun County, Georgia",18.70%,18.7
"Calhoun County, Illinois",11.30%,11.3
"Calhoun County, Iowa",14.30%,14.3
"Calhoun County, Michigan",22.60%,22.6
"Calhoun County, Mississippi",30.20%,30.2
"Calhoun County, South Carolina",17.80%,17.8
"Calhoun County, Texas",17.30%,17.3
"Calhoun County, West Virginia",21.80%,21.8
"Callahan County, Texas",15.80%,15.8
"Callaway County, Missouri",14.50%,14.5
"Calloway County, Kentucky",17.10%,17.1
"Calumet County, Wisconsin",20.50%,20.5
"Calvert County, Maryland",6.80%,6.8
"Camas County, Idaho",6%,6
"Cambria County, Pennsylvania",16.70%,16.7
"Camden County, Georgia",14.80%,14.8
"Camden County, Missouri",14.60%,14.6
"Camden County, New Jersey",13.40%,13.4
"Camden County, North Carolina",8.40%,8.4
"Cameron County, Pennsylvania",27.10%,27.1
"Cameron County, Texas",12.50%,12.5
"Cameron Parish, Louisiana",23.40%,23.4
"Camp County, Texas",21%,21
"Campbell County, Kentucky",11.60%,11.6
"Campbell County, South Dakota",13.80%,13.8
"Campbell County, Tennessee",20.30%,20.3
"Campbell County, Virginia",19.80%,19.8
"Campbell County, Wyoming",15.60%,15.6
"Camuy Municipio, Puerto Rico",15.60%,15.6
"Canadian County, Oklahoma",11.40%,11.4
"Candler County, Georgia",20.30%,20.3
"Cannon County, Tennessee",20.60%,20.6
"Canóvanas Municipio, Puerto Rico",12.20%,12.2
"Canyon County, Idaho",15.50%,15.5
"Cape Girardeau County, Missouri",13%,13
"Cape May County, New Jersey",7.90%,7.9
"Capitol Planning Region, Connecticut",11.40%,11.4
"Carbon County, Montana",13.30%,13.3
"Carbon County, Pennsylvania",20.20%,20.2
"Carbon County, Utah",17.10%,17.1
"Carbon County, Wyoming",16.90%,16.9
"Caribou County, Idaho",11.80%,11.8
"Carlisle County, Kentucky",21.60%,21.6
"Carlton County, Minnesota",15.10%,15.1
"Carolina Municipio, Puerto Rico",9.70%,9.7
"Caroline County, Maryland",13.40%,13.4
"Caroline County, Virginia",14.20%,14.2
"Carroll County, Arkansas",19.80%,19.8
"Carroll County, Georgia",18.70%,18.7
"Carroll County, Illinois",28.60%,28.6
"Carroll County, Indiana",25.10%,25.1
"Carroll County, Iowa",20.20%,20.2
"Carroll County, Kentucky",27.80%,27.8
"Carroll County, Maryland",8.50%,8.5
"Carroll County, Mississippi",13.70%,13.7
"Carroll County, Missouri",16.30%,16.3
"Carroll County, New Hampshire",11.40%,11.4
"Carroll County, Ohio",22.40%,22.4
"Carroll County, Tennessee",22.10%,22.1
"Carroll County, Virginia",21.20%,21.2
"Carson City, Nevada",14.50%,14.5
"Carson County, Texas",12.40%,12.4
"Carter County, Kentucky",21.30%,21.3
"Carter County, Missouri",24.20%,24.2
"Carter County, Montana",7.40%,7.4
"Carter County, Oklahoma",20.20%,20.2
"Carter County, Tennessee",16.30%,16.3
"Carteret County, North Carolina",11.40%,11.4
"Carver County, Minnesota",10.20%,10.2
"Cascade County, Montana",11.60%,11.6
"Casey County, Kentucky",24.20%,24.2
"Cass County, Illinois",27.40%,27.4
"Cass County, Indiana",30%,30
"Cass County, Iowa",17.10%,17.1
"Cass County, Michigan",23%,23
"Cass County, Minnesota",14.30%,14.3
"Cass County, Missouri",13.10%,13.1
"Cass County, Nebraska",14.50%,14.5
"Cass County, North Dakota",11.10%,11.1
"Cass County, Texas",20.90%,20.9
"Cassia County, Idaho",20.40%,20.4
"Castro County, Texas",14.10%,14.1
"Caswell County, North Carolina",21.10%,21.1
"Catahoula Parish, Louisiana",16.30%,16.3
"Cataño Municipio, Puerto Rico",14.70%,14.7
"Catawba County, North Carolina",25.10%,25.1
"Catoosa County, Georgia",16.40%,16.4
"Catron County, New Mexico",4.90%,4.9
"Cattaraugus County, New York",17.40%,17.4
"Cavalier County, North Dakota",8.90%,8.9
"Cayey Municipio, Puerto Rico",12%,12
"Cayuga County, New York",15.90%,15.9
"Cecil County, Maryland",14.60%,14.6
"Cedar County, Iowa",15.90%,15.9
"Cedar County, Missouri",17.90%,17.9
"Cedar County, Nebraska",14.80%,14.8
"Ceiba Municipio, Puerto Rico",13.20%,13.2
"Centre County, Pennsylvania",9.40%,9.4
"Cerro Gordo County, Iowa",21.40%,21.4
"Chaffee County, Colorado",5.30%,5.3
"Chambers County, Alabama",28.50%,28.5
"Chambers County, Texas",17%,17
"Champaign County, Illinois",11%,11
"Champaign County, Ohio",26%,26
"Chariton County, Missouri",17.10%,17.1
"Charles City County, Virginia",18.60%,18.6
"Charles County, Maryland",9.70%,9.7
"Charles Mix County, South Dakota",8.10%,8.1
"Charleston County, South Carolina",8.80%,8.8
"Charlevoix County, Michigan",17.20%,17.2
"Charlotte County, Florida",11.20%,11.2
"Charlotte County, Virginia",17%,17
"Charlottesville city, Virginia",6%,6
"Charlton County, Georgia",29.70%,29.7
"Chase County, Kansas",23%,23
"Chase County, Nebraska",9%,9
"Chatham County, Georgia",14.90%,14.9
"Chatham County, North Carolina",9.90%,9.9
"Chattahoochee County, Georgia",12.80%,12.8
"Chattooga County, Georgia",31.60%,31.6
"Chautauqua County, Kansas",15.50%,15.5
"Chautauqua County, New York",18.10%,18.1
"Chaves County, New Mexico",17%,17
"Cheatham County, Tennessee",14.30%,14.3
"Cheboygan County, Michigan",16.90%,16.9
"Chelan County, Washington",13.30%,13.3
"Chemung County, New York",16.40%,16.4
"Chenango County, New York",20.90%,20.9
"Cherokee County, Alabama",20.20%,20.2
"Cherokee County, Georgia",9.40%,9.4
"Cherokee County, Iowa",20.90%,20.9
"Cherokee County, Kansas",21.90%,21.9
"Cherokee County, North Carolina",12.90%,12.9
"Cherokee County, Oklahoma",11.80%,11.8
"Cherokee County, South Carolina",24.40%,24.4
"Cherokee County, Texas",17.80%,17.8
"Cherry County, Nebraska",10.90%,10.9
"Chesapeake city, Virginia",11.10%,11.1
"Cheshire County, New Hampshire",14.70%,14.7
"Chester County, Pennsylvania",7.10%,7.1
"Chester County, South Carolina",27.50%,27.5
"Chester County, Tennessee",25.20%,25.2
"Chesterfield County, South Carolina",28.30%,28.3
"Chesterfield County, Virginia",10.80%,10.8
"Cheyenne County, Colorado",9.40%,9.4
"Cheyenne County, Kansas",11.70%,11.7
"Cheyenne County, Nebraska",14.70%,14.7
"Chickasaw County, Iowa",27.60%,27.6
"Chickasaw County, Mississippi",33.60%,33.6
"Chicot County, Arkansas",17.90%,17.9
"Childress County, Texas",12.30%,12.3
"Chilton County, Alabama",21.80%,21.8
"Chippewa County, Michigan",12.90%,12.9
"Chippewa County, Minnesota",17.60%,17.6
"Chippewa County, Wisconsin",19.60%,19.6
"Chisago County, Minnesota",16%,16
"Chittenden County, Vermont",7.30%,7.3
"Choctaw County, Alabama",20.40%,20.4
"Choctaw County, Mississippi",22.40%,22.4
"Choctaw County, Oklahoma",17.40%,17.4
"Chouteau County, Montana",10.30%,10.3
"Chowan County, North Carolina",13.80%,13.8
"Christian County, Illinois",16.50%,16.5
"Christian County, Kentucky",21.70%,21.7
"Christian County, Missouri",12.20%,12.2
"Chugach Census Area, Alaska",12.40%,12.4
"Churchill County, Nevada",16.30%,16.3
"Ciales Municipio, Puerto Rico",21.90%,21.9
"Cibola County, New Mexico",7.10%,7.1
"Cidra Municipio, Puerto Rico",12.30%,12.3
"Cimarron County, Oklahoma",14.70%,14.7
"Citrus County, Florida",11.90%,11.9
"Clackamas County, Oregon",12.40%,12.4
"Claiborne County, Mississippi",17.70%,17.7
"Claiborne County, Tennessee",27.80%,27.8
"Claiborne Parish, Louisiana",14.20%,14.2
"Clallam County, Washington",10.70%,10.7
"Clare County, Michigan",19.60%,19.6
"Clarendon County, South Carolina",17.50%,17.5
"Clarion County, Pennsylvania",16.90%,16.9
"Clark County, Arkansas",17.20%,17.2
"Clark County, Idaho",11.90%,11.9
"Clark County, Illinois",19.60%,19.6
"Clark County, Indiana",19.50%,19.5
"Clark County, Kansas",15.20%,15.2
"Clark County, Kentucky",18.10%,18.1
"Clark County, Missouri",31.60%,31.6
"Clark County, Nevada",11.70%,11.7
"Clark County, Ohio",21.90%,21.9
"Clark County, South Dakota",10.60%,10.6
"Clark County, Washington",14.90%,14.9
"Clark County, Wisconsin",26%,26
"Clarke County, Alabama",21.80%,21.8
"Clarke County, Georgia",12.80%,12.8
"Clarke County, Iowa",26.20%,26.2
"Clarke County, Mississippi",21.10%,21.1
"Clarke County, Virginia",9.30%,9.3
"Clatsop County, Oregon",11.30%,11.3
"Clay County, Alabama",28.80%,28.8
"Clay County, Arkansas",22.20%,22.2
"Clay County, Florida",12.10%,12.1
"Clay County, Georgia",29.20%,29.2
"Clay County, Illinois",18.80%,18.8
"Clay County, Indiana",25.50%,25.5
"Clay County, Iowa",16.80%,16.8
"Clay County, Kansas",18.10%,18.1
"Clay County, Kentucky",15.50%,15.5
"Clay County, Minnesota",11.80%,11.8
"Clay County, Mississippi",27.40%,27.4
"Clay County, Missouri",15.90%,15.9
"Clay County, Nebraska",15%,15
"Clay County, North Carolina",11.50%,11.5
"Clay County, South Dakota",10.60%,10.6
"Clay County, Tennessee",14.30%,14.3
"Clay County, Texas",17.90%,17.9
"Clay County, West Virginia",15.90%,15.9
"Clayton County, Georgia",22.70%,22.7
"Clayton County, Iowa",21.10%,21.1
"Clear Creek County, Colorado",6.60%,6.6
"Clearfield County, Pennsylvania",19.50%,19.5
"Clearwater County, Idaho",16%,16
"Clearwater County, Minnesota",16.30%,16.3
"Cleburne County, Alabama",22.10%,22.1
"Cleburne County, Arkansas",19.80%,19.8
"Clermont County, Ohio",14.60%,14.6
"Cleveland County, Arkansas",20.70%,20.7
"Cleveland County, North Carolina",22.30%,22.3
"Cleveland County, Oklahoma",11.20%,11.2
"Clinch County, Georgia",21.90%,21.9
"Clinton County, Illinois",16.50%,16.5
"Clinton County, Indiana",29.60%,29.6
"Clinton County, Iowa",22.30%,22.3
"Clinton County, Kentucky",19.40%,19.4
"Clinton County, Michigan",13.70%,13.7
"Clinton County, Missouri",20.50%,20.5
"Clinton County, New York",15.40%,15.4
"Clinton County, Ohio",22.10%,22.1
"Clinton County, Pennsylvania",19.40%,19.4
"Cloud County, Kansas",13.60%,13.6
"Coahoma County, Mississippi",12.40%,12.4
"Coal County, Oklahoma",18.20%,18.2
"Coamo Municipio, Puerto Rico",15.10%,15.1
"Cobb County, Georgia",9.90%,9.9
"Cochise County, Arizona",9.50%,9.5
"Cochran County, Texas",19.50%,19.5
"Cocke County, Tennessee",22.80%,22.8
"Coconino County, Arizona",9.90%,9.9
"Codington County, South Dakota",19.30%,19.3
"Coffee County, Alabama",17.30%,17.3
"Coffee County, Georgia",22.50%,22.5
"Coffee County, Tennessee",22.50%,22.5
"Coffey County, Kansas",16.60%,16.6
"Coke County, Texas",13.30%,13.3
"Colbert County, Alabama",20.60%,20.6
"Cole County, Missouri",10.40%,10.4
"Coleman County, Texas",12.50%,12.5
"Coles County, Illinois",17.30%,17.3
"Colfax County, Nebraska",32.90%,32.9
"Colfax County, New Mexico",11%,11
"Colleton County, South Carolina",16.90%,16.9
"Collier County, Florida",8.30%,8.3
"Collin County, Texas",6.80%,6.8
"Collingsworth County, Texas",6.90%,6.9
"Colonial Heights city, Virginia",14.20%,14.2
"Colorado County, Texas",13.60%,13.6
"Colquitt County, Georgia",20.70%,20.7
"Columbia County, Arkansas",25.20%,25.2
"Columbia County, Florida",13.30%,13.3
"Columbia County, Georgia",10.10%,10.1
"Columbia County, New York",12.40%,12.4
"Columbia County, Oregon",19.40%,19.4
"Columbia County, Pennsylvania",18.10%,18.1
"Columbia County, Washington",13.40%,13.4
"Columbia County, Wisconsin",17.60%,17.6
"Columbiana County, Ohio",23.50%,23.5
"Columbus County, North Carolina",18.10%,18.1
"Colusa County, California",20.80%,20.8
"Comal County, Texas",9.80%,9.8
"Comanche County, Kansas",13%,13
"Comanche County, Oklahoma",13%,13
"Comanche County, Texas",17.90%,17.9
"Comerío Municipio, Puerto Rico",15.40%,15.4
"Concho County, Texas",5%,5
"Concordia Parish, Louisiana",8.20%,8.2
"Conecuh County, Alabama",32.50%,32.5
"Conejos County, Colorado",14.40%,14.4
"Contra Costa County, California",8.90%,8.9
"Converse County, Wyoming",14.30%,14.3
"Conway County, Arkansas",18.80%,18.8
"Cook County, Georgia",21%,21
