Geographic Area,"Educational instruction, and library occupations",Total,Educ job
"Benton County, Indiana",202,"4,081",4.9
"Benton County, Iowa",780,"13,194",5.9
"Benton County, Minnesota","1,403","22,406",6.3
"Benton County, Mississippi",115,"3,253",3.5
"Benton County, Missouri",434,"7,062",6.1
"Benton County, Oregon","5,549","46,601",11.9
"Benton County, Tennessee",201,"6,071",3.3
"Benton County, Washington","6,215","94,424",6.6
"Benzie County, Michigan",418,"8,029",5.2
"Bergen County, New Jersey","37,798","492,359",7.7
"Berkeley County, South Carolina","6,249","108,726",5.7
"Berkeley County, West Virginia","4,147","61,928",6.7
"Berks County, Pennsylvania","11,035","211,422",5.2
"Berkshire County, Massachusetts","6,034","64,150",9.4
"Bernalillo County, New Mexico","23,197","321,945",7.2
"Berrien County, Georgia",492,"7,257",6.8
"Berrien County, Michigan","4,115","71,098",5.8
"Bertie County, North Carolina",456,"6,308",7.2
"Bethel Census Area, Alaska",490,"6,562",7.5
"Bexar County, Texas","58,493","957,948",6.1
"Bibb County, Alabama",378,"8,242",4.6
"Bibb County, Georgia","4,071","64,934",6.3
"Bienville Parish, Louisiana",127,"4,501",2.8
"Big Horn County, Montana",343,"4,740",7.2
"Big Horn County, Wyoming",342,"4,960",6.9
"Big Stone County, Minnesota",221,"2,360",9.4
"Billings County, North Dakota",34,422,8.1
"Bingham County, Idaho","1,196","21,636",5.5
"Black Hawk County, Iowa","4,314","66,619",6.5
"Blackford County, Indiana",193,"5,151",3.7
"Bladen County, North Carolina",693,"10,949",6.3
"Blaine County, Idaho",578,"13,615",4.2
"Blaine County, Montana",208,"2,679",7.8
"Blaine County, Nebraska",17,206,8.3
"Blaine County, Oklahoma",169,"3,084",5.5
"Blair County, Pennsylvania","3,044","57,506",5.3
"Blanco County, Texas",332,"5,502",6
"Bland County, Virginia",136,"2,280",6
"Bleckley County, Georgia",462,"5,005",9.2
"Bledsoe County, Tennessee",308,"5,617",5.5
"Blount County, Alabama","1,406","24,856",5.7
"Blount County, Tennessee","3,177","65,081",4.9
"Blue Earth County, Minnesota","2,785","38,801",7.2
"Boise County, Idaho",120,"3,375",3.6
"Bolivar County, Mississippi","1,075","11,008",9.8
"Bollinger County, Missouri",232,"4,664",5
"Bon Homme County, South Dakota",208,"2,642",7.9
"Bond County, Illinois",732,"7,146",10.2
"Bonner County, Idaho",701,"19,991",3.5
"Bonneville County, Idaho","3,494","56,015",6.2
"Boone County, Arkansas",987,"16,224",6.1
"Boone County, Illinois","1,066","25,874",4.1
"Boone County, Indiana","2,277","36,952",6.2
"Boone County, Iowa",825,"14,186",5.8
"Boone County, Kentucky","3,488","70,514",4.9
"Boone County, Missouri","9,235","96,815",9.5
"Boone County, Nebraska",96,"2,792",3.4
"Boone County, West Virginia",489,"7,033",7
"Borden County, Texas",32,279,11.5
"Bosque County, Texas",480,"7,683",6.2
"Bossier Parish, Louisiana","3,054","53,983",5.7
"Botetourt County, Virginia",839,"16,237",5.2
"Bottineau County, North Dakota",174,"3,051",5.7
"Boulder County, Colorado","15,113","178,057",8.5
"Boundary County, Idaho",165,"4,810",3.4
"Bourbon County, Kansas",527,"6,500",8.1
"Bourbon County, Kentucky",401,"9,098",4.4
"Bowie County, Texas","2,640","38,137",6.9
"Bowman County, North Dakota",103,"1,432",7.2
"Box Butte County, Nebraska",162,"5,245",3.1
"Box Elder County, Utah","1,547","26,993",5.7
"Boyd County, Kentucky",894,"19,119",4.7
"Boyd County, Nebraska",47,861,5.5
"Boyle County, Kentucky",679,"12,717",5.3
"Bracken County, Kentucky",177,"3,706",4.8
"Bradford County, Florida",492,"10,645",4.6
"Bradford County, Pennsylvania","1,436","25,961",5.5
"Bradley County, Arkansas",238,"3,745",6.4
"Bradley County, Tennessee","3,840","51,057",7.5
"Branch County, Michigan",693,"19,239",3.6
"Brantley County, Georgia",353,"6,986",5.1
"Braxton County, West Virginia",147,"3,812",3.9
"Brazoria County, Texas","11,738","174,330",6.7
"Brazos County, Texas","15,106","114,256",13.2
"Breathitt County, Kentucky",569,"4,553",12.5
"Breckinridge County, Kentucky",484,"7,803",6.2
"Bremer County, Iowa",787,"12,928",6.1
"Brevard County, Florida","14,865","272,451",5.5
"Brewster County, Texas",338,"4,772",7.1
"Briscoe County, Texas",25,496,5
"Bristol Bay Borough, Alaska",26,425,6.1
"Bristol city, Virginia",385,"7,430",5.2
"Bristol County, Massachusetts","17,636","290,854",6.1
"Bristol County, Rhode Island","2,404","26,005",9.2
"Broadwater County, Montana",130,"3,182",4.1
"Bronx County, New York","32,263","583,452",5.5
"Brooke County, West Virginia",632,"9,592",6.6
"Brookings County, South Dakota","1,801","19,168",9.4
"Brooks County, Georgia",327,"6,627",4.9
"Brooks County, Texas",398,"3,009",13.2
"Broome County, New York","8,443","87,302",9.7
"Broomfield County, Colorado","2,517","41,879",6
"Broward County, Florida","46,607","985,363",4.7
"Brown County, Illinois",53,"2,418",2.2
"Brown County, Indiana",126,"7,329",1.7
"Brown County, Kansas",329,"4,506",7.3
"Brown County, Minnesota",872,"13,487",6.5
"Brown County, Nebraska",74,"1,285",5.8
"Brown County, Ohio",877,"19,080",4.6
"Brown County, South Dakota","1,187","20,760",5.7
"Brown County, Texas",829,"17,303",4.8
"Brown County, Wisconsin","7,677","141,720",5.4
"Brule County, South Dakota",186,"2,650",7
"Brunswick County, North Carolina","2,912","56,463",5.2
"Brunswick County, Virginia",447,"6,485",6.9
"Bryan County, Georgia","1,304","20,236",6.4
"Bryan County, Oklahoma","1,668","20,502",8.1
"Buchanan County, Iowa",597,"10,443",5.7
"Buchanan County, Missouri","2,182","38,722",5.6
"Buchanan County, Virginia",420,"5,990",7
"Buckingham County, Virginia",205,"6,801",3
"Bucks County, Pennsylvania","21,721","339,862",6.4
"Buena Vista city, Virginia",145,"3,117",4.7
"Buena Vista County, Iowa",693,"10,361",6.7
"Buffalo County, Nebraska","1,696","27,501",6.2
"Buffalo County, South Dakota",19,592,3.2
"Buffalo County, Wisconsin",260,"6,930",3.8
"Bullitt County, Kentucky","1,444","41,100",3.5
"Bulloch County, Georgia","2,937","36,155",8.1
"Bullock County, Alabama",138,"3,744",3.7
"Buncombe County, North Carolina","7,753","131,883",5.9
"Bureau County, Illinois",923,"15,906",5.8
"Burke County, Georgia",366,"10,558",3.5
"Burke County, North Carolina","2,004","39,539",5.1
"Burke County, North Dakota",55,"1,054",5.2
"Burleigh County, North Dakota","3,054","50,965",6
"Burleson County, Texas",613,"7,840",7.8
"Burlington County, New Jersey","17,729","233,289",7.6
"Burnet County, Texas","1,227","23,128",5.3
"Burnett County, Wisconsin",372,"6,854",5.4
"Burt County, Nebraska",184,"3,048",6
"Butler County, Alabama",385,"7,495",5.1
"Butler County, Iowa",351,"6,880",5.1
"Butler County, Kansas","2,935","31,636",9.3
"Butler County, Kentucky",357,"4,673",7.6
"Butler County, Missouri","1,024","17,433",5.9
"Butler County, Nebraska",266,"4,470",6
"Butler County, Ohio","10,290","186,002",5.5
"Butler County, Pennsylvania","5,475","96,617",5.7
"Butte County, California","7,208","95,378",7.6
"Butte County, Idaho",43,"1,050",4.1
"Butte County, South Dakota",253,"5,109",5
"Butts County, Georgia",480,"10,251",4.7
"Cabarrus County, North Carolina","6,832","113,579",6
"Cabell County, West Virginia","3,299","40,146",8.2
"Cabo Rojo Municipio, Puerto Rico","1,056","15,402",6.9
"Cache County, Utah","5,605","67,546",8.3
"Caddo County, Oklahoma",705,"10,794",6.5
"Caddo Parish, Louisiana","6,792","96,578",7
"Caguas Municipio, Puerto Rico","3,068","47,611",6.4
"Calaveras County, California",818,"17,362",4.7
"Calcasieu Parish, Louisiana","6,495","91,987",7.1
"Caldwell County, Kentucky",215,"5,434",4
"Caldwell County, Missouri",198,"3,778",5.2
"Caldwell County, North Carolina","2,049","36,435",5.6
"Caldwell County, Texas",956,"20,563",4.6
"Caldwell Parish, Louisiana",123,"3,157",3.9
"Caledonia County, Vermont","1,446","15,786",9.2
"Calhoun County, Alabama","2,582","49,455",5.2
"Calhoun County, Arkansas",110,"1,643",6.7
"Calhoun County, Florida",220,"4,518",4.9
"Calhoun County, Georgia",122,"1,603",7.6
"Calhoun County, Illinois",86,"1,770",4.9
"Calhoun County, Iowa",248,"4,237",5.9
"Calhoun County, Michigan","3,015","59,548",5.1
"Calhoun County, Mississippi",245,"5,673",4.3
"Calhoun County, South Carolina",448,"6,185",7.2
"Calhoun County, Texas",734,"9,691",7.6
"Calhoun County, West Virginia",59,"1,927",3.1
"Callahan County, Texas",404,"6,237",6.5
"Callaway County, Missouri","1,063","20,583",5.2
"Calloway County, Kentucky","1,203","17,388",6.9
"Calumet County, Wisconsin","1,385","28,969",4.8
"Calvert County, Maryland","3,639","47,275",7.7
"Camas County, Idaho",30,498,6
"Cambria County, Pennsylvania","3,551","57,707",6.2
"Camden County, Georgia","1,179","21,987",5.4
"Camden County, Missouri","1,052","18,069",5.8
"Camden County, New Jersey","15,709","256,795",6.1
"Camden County, North Carolina",531,"4,793",11.1
"Cameron County, Pennsylvania",53,"1,810",2.9
"Cameron County, Texas","13,922","168,550",8.3
"Cameron Parish, Louisiana",84,"2,584",3.3
"Camp County, Texas",438,"5,211",8.4
"Campbell County, Kentucky","2,816","47,628",5.9
"Campbell County, South Dakota",58,763,7.6
"Campbell County, Tennessee",748,"15,272",4.9
"Campbell County, Virginia","1,457","26,222",5.6
"Campbell County, Wyoming","1,992","24,282",8.2
"Camuy Municipio, Puerto Rico",907,"10,870",8.3
"Canadian County, Oklahoma","5,126","79,112",6.5
"Candler County, Georgia",537,"4,464",12
"Cannon County, Tennessee",450,"6,445",7
"Canóvanas Municipio, Puerto Rico",791,"15,299",5.2
"Canyon County, Idaho","5,016","108,514",4.6
"Cape Girardeau County, Missouri","3,303","41,353",8
"Cape May County, New Jersey","3,457","42,214",8.2
"Capitol Planning Region, Connecticut","37,217","496,708",7.5
"Carbon County, Montana",362,"5,215",6.9
"Carbon County, Pennsylvania","1,664","30,774",5.4
"Carbon County, Utah",524,"8,256",6.3
"Carbon County, Wyoming",418,"6,623",6.3
"Caribou County, Idaho",227,"3,366",6.7
"Carlisle County, Kentucky",66,"1,817",3.6
"Carlton County, Minnesota","1,198","16,701",7.2
"Carolina Municipio, Puerto Rico","3,567","59,924",6
"Caroline County, Maryland",992,"16,020",6.2
"Caroline County, Virginia","1,064","15,171",7
"Carroll County, Arkansas",688,"11,794",5.8
"Carroll County, Georgia","3,881","56,102",6.9
"Carroll County, Illinois",379,"6,794",5.6
"Carroll County, Indiana",415,"9,599",4.3
"Carroll County, Iowa",524,"10,755",4.9
"Carroll County, Kentucky",93,"4,487",2.1
"Carroll County, Maryland","6,868","91,143",7.5
"Carroll County, Mississippi",122,"3,655",3.3
"Carroll County, Missouri",342,"3,840",8.9
"Carroll County, New Hampshire","1,684","24,833",6.8
"Carroll County, Ohio",521,"11,916",4.4
"Carroll County, Tennessee",911,"11,911",7.6
"Carroll County, Virginia",756,"12,303",6.1
"Carson City, Nevada","1,533","27,340",5.6
"Carson County, Texas",285,"2,833",10.1
"Carter County, Kentucky",606,"9,177",6.6
"Carter County, Missouri",97,"2,315",4.2
"Carter County, Montana",41,663,6.2
"Carter County, Oklahoma","1,215","21,366",5.7
"Carter County, Tennessee","1,535","23,155",6.6
"Carteret County, North Carolina","1,811","30,029",6
"Carver County, Minnesota","3,698","58,541",6.3
"Cascade County, Montana","2,315","38,310",6
"Casey County, Kentucky",386,"5,490",7
"Cass County, Illinois",292,"5,896",5
"Cass County, Indiana",814,"18,269",4.5
"Cass County, Iowa",610,"6,520",9.4
"Cass County, Michigan","1,247","23,921",5.2
"Cass County, Minnesota",777,"12,987",6
"Cass County, Missouri","2,866","54,445",5.3
"Cass County, Nebraska",923,"13,850",6.7
"Cass County, North Dakota","6,936","109,301",6.3
"Cass County, Texas",691,"10,920",6.3
"Cassia County, Idaho",810,"11,500",7
"Castro County, Texas",322,"3,467",9.3
"Caswell County, North Carolina",608,"9,556",6.4
"Catahoula Parish, Louisiana",289,"2,928",9.9
"Cataño Municipio, Puerto Rico",537,"7,247",7.4
"Catawba County, North Carolina","3,718","75,895",4.9
"Catoosa County, Georgia","2,283","32,689",7
"Catron County, New Mexico",42,961,4.4
"Cattaraugus County, New York","2,439","33,221",7.3
"Cavalier County, North Dakota",60,"1,699",3.5
"Cayey Municipio, Puerto Rico","1,090","13,834",7.9
"Cayuga County, New York","2,574","34,744",7.4
"Cecil County, Maryland","3,327","50,196",6.6
"Cedar County, Iowa",523,"9,710",5.4
"Cedar County, Missouri",327,"5,354",6.1
"Cedar County, Nebraska",359,"4,303",8.3
"Ceiba Municipio, Puerto Rico",68,"3,673",1.9
"Centre County, Pennsylvania","12,101","74,670",16.2
"Cerro Gordo County, Iowa","1,142","21,989",5.2
"Chaffee County, Colorado",790,"8,752",9
"Chambers County, Alabama",787,"15,072",5.2
"Chambers County, Texas","1,288","21,916",5.9
"Champaign County, Illinois","14,290","101,124",14.1
"Champaign County, Ohio","1,075","18,909",5.7
"Chariton County, Missouri",267,"3,199",8.3
"Charles City County, Virginia",126,"3,275",3.8
"Charles County, Maryland","4,638","84,642",5.5
"Charles Mix County, South Dakota",353,"3,849",9.2
"Charleston County, South Carolina","12,382","211,159",5.9
"Charlevoix County, Michigan",585,"12,615",4.6
"Charlotte County, Florida","3,052","67,994",4.5
"Charlotte County, Virginia",313,"4,689",6.7
"Charlottesville city, Virginia","3,785","23,975",15.8
"Charlton County, Georgia",251,"4,993",5
"Chase County, Kansas",85,"1,166",7.3
"Chase County, Nebraska",86,"1,729",5
"Chatham County, Georgia","9,406","142,627",6.6
"Chatham County, North Carolina","2,347","35,458",6.6
"Chattahoochee County, Georgia",147,"1,494",9.8
"Chattooga County, Georgia",419,"9,156",4.6
"Chautauqua County, Kansas",180,"1,325",13.6
"Chautauqua County, New York","3,976","55,176",7.2
"Chaves County, New Mexico","1,889","26,612",7.1
"Cheatham County, Tennessee","1,080","20,813",5.2
"Cheboygan County, Michigan",474,"10,380",4.6
"Chelan County, Washington","1,800","37,236",4.8
"Chemung County, New York","2,315","36,664",6.3
"Chenango County, New York","1,302","21,234",6.1
"Cherokee County, Alabama",788,"10,288",7.7
"Cherokee County, Georgia","9,155","141,191",6.5
"Cherokee County, Iowa",496,"5,954",8.3
"Cherokee County, Kansas",564,"8,711",6.5
"Cherokee County, North Carolina",571,"11,391",5
"Cherokee County, Oklahoma","1,598","20,388",7.8
"Cherokee County, South Carolina","1,390","24,212",5.7
"Cherokee County, Texas","1,458","20,080",7.3
"Cherry County, Nebraska",175,"2,925",6
"Chesapeake city, Virginia","7,769","117,682",6.6
"Cheshire County, New Hampshire","3,090","39,109",7.9
"Chester County, Pennsylvania","20,289","282,948",7.2
"Chester County, South Carolina",647,"13,708",4.7
"Chester County, Tennessee",357,"7,039",5.1
"Chesterfield County, South Carolina",790,"18,142",4.4
"Chesterfield County, Virginia","13,076","186,171",7
"Cheyenne County, Colorado",60,886,6.8
"Cheyenne County, Kansas",92,"1,284",7.2
"Cheyenne County, Nebraska",444,"4,626",9.6
"Chickasaw County, Iowa",257,"6,239",4.1
"Chickasaw County, Mississippi",491,"6,743",7.3
"Chicot County, Arkansas",258,"3,312",7.8
"Childress County, Texas",149,"2,853",5.2
"Chilton County, Alabama","1,064","18,865",5.6
"Chippewa County, Michigan","1,007","15,711",6.4
"Chippewa County, Minnesota",448,"6,048",7.4
"Chippewa County, Wisconsin","1,864","33,052",5.6
"Chisago County, Minnesota","1,640","30,092",5.4
"Chittenden County, Vermont","8,782","95,273",9.2
"Choctaw County, Alabama",250,"4,532",5.5
"Choctaw County, Mississippi",315,"3,153",10
"Choctaw County, Oklahoma",343,"5,540",6.2
"Chouteau County, Montana",125,"2,486",5
"Chowan County, North Carolina",426,"5,922",7.2
"Christian County, Illinois",636,"14,721",4.3
"Christian County, Kentucky","1,097","24,053",4.6
"Christian County, Missouri","3,412","43,789",7.8
"Chugach Census Area, Alaska",213,"3,438",6.2
"Churchill County, Nevada",786,"10,794",7.3
"Ciales Municipio, Puerto Rico",192,"4,156",4.6
"Cibola County, New Mexico",583,"8,912",6.5
"Cidra Municipio, Puerto Rico",581,"12,847",4.5
"Cimarron County, Oklahoma",21,"1,085",1.9
"Citrus County, Florida","2,549","49,315",5.2
"Clackamas County, Oregon","10,534","206,612",5.1
"Claiborne County, Mississippi",226,"2,578",8.8
"Claiborne County, Tennessee",807,"12,931",6.2
"Claiborne Parish, Louisiana",208,"4,251",4.9
"Clallam County, Washington","1,745","30,216",5.8
"Clare County, Michigan",553,"11,041",5
"Clarendon County, South Carolina",628,"11,104",5.7
"Clarion County, Pennsylvania","1,006","17,376",5.8
"Clark County, Arkansas",833,"9,869",8.4
"Clark County, Idaho",32,404,7.9
"Clark County, Illinois",554,"7,194",7.7
"Clark County, Indiana","2,614","62,265",4.2
"Clark County, Kansas",25,946,2.6
"Clark County, Kentucky",875,"16,821",5.2
"Clark County, Missouri",127,"2,874",4.4
"Clark County, Nevada","49,008","1,057,265",4.6
"Clark County, Ohio","2,988","60,332",5
"Clark County, South Dakota",93,"1,575",5.9
"Clark County, Washington","12,315","242,552",5.1
"Clark County, Wisconsin",805,"16,074",5
"Clarke County, Alabama",478,"7,841",6.1
"Clarke County, Georgia","8,552","63,458",13.5
"Clarke County, Iowa",353,"4,561",7.7
"Clarke County, Mississippi",350,"6,258",5.6
"Clarke County, Virginia",421,"7,396",5.7
"Clatsop County, Oregon",796,"18,558",4.3
"Clay County, Alabama",209,"5,165",4
"Clay County, Arkansas",416,"6,367",6.5
"Clay County, Florida","5,724","103,623",5.5
"Clay County, Georgia",41,"1,132",3.6
"Clay County, Illinois",387,"5,789",6.7
"Clay County, Indiana",563,"11,741",4.8
"Clay County, Iowa",522,"8,420",6.2
"Clay County, Kansas",312,"3,794",8.2
"Clay County, Kentucky",429,"6,202",6.9
"Clay County, Minnesota","2,923","34,404",8.5
"Clay County, Mississippi",354,"7,086",5
"Clay County, Missouri","6,928","133,662",5.2
"Clay County, Nebraska",236,"3,115",7.6
"Clay County, North Carolina",156,"4,386",3.6
"Clay County, South Dakota",945,"7,809",12.1
"Clay County, Tennessee",136,"2,638",5.2
"Clay County, Texas",408,"4,791",8.5
"Clay County, West Virginia",315,"2,572",12.2
"Clayton County, Georgia","6,145","138,006",4.5
"Clayton County, Iowa",367,"8,611",4.3
"Clear Creek County, Colorado",433,"5,590",7.7
"Clearfield County, Pennsylvania","1,579","34,861",4.5
"Clearwater County, Idaho",135,"3,332",4.1
