Geographic Area,Healthcare practitioners and technical occupations,Total,Health job
"Big Stone County, Minnesota",192,"2,360",8.1
"Billings County, North Dakota",20,422,4.7
"Bingham County, Idaho","1,521","21,636",7
"Black Hawk County, Iowa","4,274","66,619",6.4
"Blackford County, Indiana",225,"5,151",4.4
"Bladen County, North Carolina",653,"10,949",6
"Blaine County, Idaho",497,"13,615",3.7
"Blaine County, Montana",215,"2,679",8
"Blaine County, Nebraska",8,206,3.9
"Blaine County, Oklahoma",105,"3,084",3.4
"Blair County, Pennsylvania","4,521","57,506",7.9
"Blanco County, Texas",201,"5,502",3.7
"Bland County, Virginia",145,"2,280",6.4
"Bleckley County, Georgia",470,"5,005",9.4
"Bledsoe County, Tennessee",218,"5,617",3.9
"Blount County, Alabama","1,811","24,856",7.3
"Blount County, Tennessee","4,998","65,081",7.7
"Blue Earth County, Minnesota","2,312","38,801",6
"Boise County, Idaho",217,"3,375",6.4
"Bolivar County, Mississippi",835,"11,008",7.6
"Bollinger County, Missouri",250,"4,664",5.4
"Bon Homme County, South Dakota",203,"2,642",7.7
"Bond County, Illinois",374,"7,146",5.2
"Bonner County, Idaho",834,"19,991",4.2
"Bonneville County, Idaho","3,472","56,015",6.2
"Boone County, Arkansas","1,157","16,224",7.1
"Boone County, Illinois","1,256","25,874",4.9
"Boone County, Indiana","3,583","36,952",9.7
"Boone County, Iowa",662,"14,186",4.7
"Boone County, Kentucky","4,189","70,514",5.9
"Boone County, Missouri","9,512","96,815",9.8
"Boone County, Nebraska",179,"2,792",6.4
"Boone County, West Virginia",609,"7,033",8.7
"Borden County, Texas",0,279,0
"Bosque County, Texas",341,"7,683",4.4
"Bossier Parish, Louisiana","4,929","53,983",9.1
"Botetourt County, Virginia","1,117","16,237",6.9
"Bottineau County, North Dakota",221,"3,051",7.2
"Boulder County, Colorado","8,912","178,057",5
"Boundary County, Idaho",304,"4,810",6.3
"Bourbon County, Kansas",306,"6,500",4.7
"Bourbon County, Kentucky",682,"9,098",7.5
"Bowie County, Texas","2,686","38,137",7
"Bowman County, North Dakota",85,"1,432",5.9
"Box Butte County, Nebraska",481,"5,245",9.2
"Box Elder County, Utah",930,"26,993",3.4
"Boyd County, Kentucky","2,200","19,119",11.5
"Boyd County, Nebraska",44,861,5.1
"Boyle County, Kentucky",950,"12,717",7.5
"Bracken County, Kentucky",180,"3,706",4.9
"Bradford County, Florida",677,"10,645",6.4
"Bradford County, Pennsylvania","1,716","25,961",6.6
"Bradley County, Arkansas",409,"3,745",10.9
"Bradley County, Tennessee","2,512","51,057",4.9
"Branch County, Michigan",975,"19,239",5.1
"Brantley County, Georgia",680,"6,986",9.7
"Braxton County, West Virginia",51,"3,812",1.3
"Brazoria County, Texas","13,922","174,330",8
"Brazos County, Texas","7,099","114,256",6.2
"Breathitt County, Kentucky",356,"4,553",7.8
"Breckinridge County, Kentucky",517,"7,803",6.6
"Bremer County, Iowa",978,"12,928",7.6
"Brevard County, Florida","18,888","272,451",6.9
"Brewster County, Texas",196,"4,772",4.1
"Briscoe County, Texas",28,496,5.6
"Bristol Bay Borough, Alaska",20,425,4.7
"Bristol city, Virginia",347,"7,430",4.7
"Bristol County, Massachusetts","19,365","290,854",6.7
"Bristol County, Rhode Island","1,765","26,005",6.8
"Broadwater County, Montana",96,"3,182",3
"Bronx County, New York","27,000","583,452",4.6
"Brooke County, West Virginia",776,"9,592",8.1
"Brookings County, South Dakota",907,"19,168",4.7
"Brooks County, Georgia",302,"6,627",4.6
"Brooks County, Texas",9,"3,009",0.3
"Broome County, New York","5,765","87,302",6.6
"Broomfield County, Colorado","3,025","41,879",7.2
"Broward County, Florida","60,574","985,363",6.1
"Brown County, Illinois",129,"2,418",5.3
"Brown County, Indiana",522,"7,329",7.1
"Brown County, Kansas",189,"4,506",4.2
"Brown County, Minnesota",828,"13,487",6.1
"Brown County, Nebraska",92,"1,285",7.2
"Brown County, Ohio","1,100","19,080",5.8
"Brown County, South Dakota","1,564","20,760",7.5
"Brown County, Texas",828,"17,303",4.8
"Brown County, Wisconsin","9,362","141,720",6.6
"Brule County, South Dakota",96,"2,650",3.6
"Brunswick County, North Carolina","3,889","56,463",6.9
"Brunswick County, Virginia",298,"6,485",4.6
"Bryan County, Georgia","1,720","20,236",8.5
"Bryan County, Oklahoma","1,329","20,502",6.5
"Buchanan County, Iowa",637,"10,443",6.1
"Buchanan County, Missouri","2,642","38,722",6.8
"Buchanan County, Virginia",300,"5,990",5
"Buckingham County, Virginia",220,"6,801",3.2
"Bucks County, Pennsylvania","26,690","339,862",7.9
"Buena Vista city, Virginia",128,"3,117",4.1
"Buena Vista County, Iowa",441,"10,361",4.3
"Buffalo County, Nebraska","1,959","27,501",7.1
"Buffalo County, South Dakota",31,592,5.2
"Buffalo County, Wisconsin",402,"6,930",5.8
"Bullitt County, Kentucky","2,819","41,100",6.9
"Bulloch County, Georgia","2,070","36,155",5.7
"Bullock County, Alabama",134,"3,744",3.6
"Buncombe County, North Carolina","10,341","131,883",7.8
"Bureau County, Illinois",756,"15,906",4.8
"Burke County, Georgia",346,"10,558",3.3
"Burke County, North Carolina","2,902","39,539",7.3
"Burke County, North Dakota",77,"1,054",7.3
"Burleigh County, North Dakota","5,033","50,965",9.9
"Burleson County, Texas",315,"7,840",4
"Burlington County, New Jersey","17,743","233,289",7.6
"Burnet County, Texas",684,"23,128",3
"Burnett County, Wisconsin",361,"6,854",5.3
"Burt County, Nebraska",159,"3,048",5.2
"Butler County, Alabama",365,"7,495",4.9
"Butler County, Iowa",453,"6,880",6.6
"Butler County, Kansas","2,167","31,636",6.8
"Butler County, Kentucky",221,"4,673",4.7
"Butler County, Missouri",918,"17,433",5.3
"Butler County, Nebraska",218,"4,470",4.9
"Butler County, Ohio","13,250","186,002",7.1
"Butler County, Pennsylvania","8,163","96,617",8.4
"Butte County, California","5,953","95,378",6.2
"Butte County, Idaho",36,"1,050",3.4
"Butte County, South Dakota",252,"5,109",4.9
"Butts County, Georgia",735,"10,251",7.2
"Cabarrus County, North Carolina","8,177","113,579",7.2
"Cabell County, West Virginia","3,880","40,146",9.7
"Cabo Rojo Municipio, Puerto Rico","1,041","15,402",6.8
"Cache County, Utah","2,661","67,546",3.9
"Caddo County, Oklahoma",461,"10,794",4.3
"Caddo Parish, Louisiana","7,867","96,578",8.1
"Caguas Municipio, Puerto Rico","4,130","47,611",8.7
"Calaveras County, California",550,"17,362",3.2
"Calcasieu Parish, Louisiana","6,783","91,987",7.4
"Caldwell County, Kentucky",428,"5,434",7.9
"Caldwell County, Missouri",194,"3,778",5.1
"Caldwell County, North Carolina","1,739","36,435",4.8
"Caldwell County, Texas",675,"20,563",3.3
"Caldwell Parish, Louisiana",353,"3,157",11.2
"Caledonia County, Vermont","1,057","15,786",6.7
"Calhoun County, Alabama","3,411","49,455",6.9
"Calhoun County, Arkansas",78,"1,643",4.7
"Calhoun County, Florida",408,"4,518",9
"Calhoun County, Georgia",75,"1,603",4.7
"Calhoun County, Illinois",245,"1,770",13.8
"Calhoun County, Iowa",356,"4,237",8.4
"Calhoun County, Michigan","3,420","59,548",5.7
"Calhoun County, Mississippi",247,"5,673",4.4
"Calhoun County, South Carolina",543,"6,185",8.8
"Calhoun County, Texas",524,"9,691",5.4
"Calhoun County, West Virginia",179,"1,927",9.3
"Callahan County, Texas",333,"6,237",5.3
"Callaway County, Missouri","1,463","20,583",7.1
"Calloway County, Kentucky","1,149","17,388",6.6
"Calumet County, Wisconsin","1,867","28,969",6.4
"Calvert County, Maryland","2,082","47,275",4.4
"Camas County, Idaho",17,498,3.4
"Cambria County, Pennsylvania","5,243","57,707",9.1
"Camden County, Georgia","1,241","21,987",5.6
"Camden County, Missouri",998,"18,069",5.5
"Camden County, New Jersey","20,050","256,795",7.8
"Camden County, North Carolina",214,"4,793",4.5
"Cameron County, Pennsylvania",49,"1,810",2.7
"Cameron County, Texas","8,327","168,550",4.9
"Cameron Parish, Louisiana",115,"2,584",4.5
"Camp County, Texas",332,"5,211",6.4
"Campbell County, Kentucky","3,826","47,628",8
"Campbell County, South Dakota",22,763,2.9
"Campbell County, Tennessee","1,120","15,272",7.3
"Campbell County, Virginia","1,304","26,222",5
"Campbell County, Wyoming","1,136","24,282",4.7
"Camuy Municipio, Puerto Rico",936,"10,870",8.6
"Canadian County, Oklahoma","5,341","79,112",6.8
"Candler County, Georgia",227,"4,464",5.1
"Cannon County, Tennessee",497,"6,445",7.7
"Canóvanas Municipio, Puerto Rico",878,"15,299",5.7
"Canyon County, Idaho","4,283","108,514",3.9
"Cape Girardeau County, Missouri","3,180","41,353",7.7
"Cape May County, New Jersey","2,704","42,214",6.4
"Capitol Planning Region, Connecticut","34,187","496,708",6.9
"Carbon County, Montana",269,"5,215",5.2
"Carbon County, Pennsylvania","2,202","30,774",7.2
"Carbon County, Utah",340,"8,256",4.1
"Carbon County, Wyoming",140,"6,623",2.1
"Caribou County, Idaho",132,"3,366",3.9
"Carlisle County, Kentucky",110,"1,817",6.1
"Carlton County, Minnesota","1,503","16,701",9
"Carolina Municipio, Puerto Rico","3,389","59,924",5.7
"Caroline County, Maryland",857,"16,020",5.3
"Caroline County, Virginia",535,"15,171",3.5
"Carroll County, Arkansas",411,"11,794",3.5
"Carroll County, Georgia","2,612","56,102",4.7
"Carroll County, Illinois",337,"6,794",5
"Carroll County, Indiana",501,"9,599",5.2
"Carroll County, Iowa",570,"10,755",5.3
"Carroll County, Kentucky",61,"4,487",1.4
"Carroll County, Maryland","6,066","91,143",6.7
"Carroll County, Mississippi",357,"3,655",9.8
"Carroll County, Missouri",318,"3,840",8.3
"Carroll County, New Hampshire","1,613","24,833",6.5
"Carroll County, Ohio",800,"11,916",6.7
"Carroll County, Tennessee",771,"11,911",6.5
"Carroll County, Virginia","1,329","12,303",10.8
"Carson City, Nevada","1,353","27,340",4.9
"Carson County, Texas",210,"2,833",7.4
"Carter County, Kentucky",767,"9,177",8.4
"Carter County, Missouri",66,"2,315",2.9
"Carter County, Montana",12,663,1.8
"Carter County, Oklahoma","1,300","21,366",6.1
"Carter County, Tennessee","1,831","23,155",7.9
"Carteret County, North Carolina","2,052","30,029",6.8
"Carver County, Minnesota","3,861","58,541",6.6
"Cascade County, Montana","2,939","38,310",7.7
"Casey County, Kentucky",402,"5,490",7.3
"Cass County, Illinois",248,"5,896",4.2
"Cass County, Indiana",999,"18,269",5.5
"Cass County, Iowa",347,"6,520",5.3
"Cass County, Michigan","1,392","23,921",5.8
"Cass County, Minnesota",570,"12,987",4.4
"Cass County, Missouri","3,419","54,445",6.3
"Cass County, Nebraska",878,"13,850",6.3
"Cass County, North Dakota","10,431","109,301",9.5
"Cass County, Texas",657,"10,920",6
"Cassia County, Idaho",405,"11,500",3.5
"Castro County, Texas",85,"3,467",2.5
"Caswell County, North Carolina",790,"9,556",8.3
"Catahoula Parish, Louisiana",212,"2,928",7.2
"Cataño Municipio, Puerto Rico",415,"7,247",5.7
"Catawba County, North Carolina","4,440","75,895",5.9
"Catoosa County, Georgia","1,912","32,689",5.8
"Catron County, New Mexico",23,961,2.4
"Cattaraugus County, New York","1,773","33,221",5.3
"Cavalier County, North Dakota",75,"1,699",4.4
"Cayey Municipio, Puerto Rico","1,173","13,834",8.5
"Cayuga County, New York","2,249","34,744",6.5
"Cecil County, Maryland","2,860","50,196",5.7
"Cedar County, Iowa",510,"9,710",5.3
"Cedar County, Missouri",515,"5,354",9.6
"Cedar County, Nebraska",276,"4,303",6.4
"Ceiba Municipio, Puerto Rico",207,"3,673",5.6
"Centre County, Pennsylvania","4,786","74,670",6.4
"Cerro Gordo County, Iowa","1,415","21,989",6.4
"Chaffee County, Colorado",695,"8,752",7.9
"Chambers County, Alabama","1,094","15,072",7.3
"Chambers County, Texas","1,092","21,916",5
"Champaign County, Illinois","6,555","101,124",6.5
"Champaign County, Ohio","1,119","18,909",5.9
"Chariton County, Missouri",185,"3,199",5.8
"Charles City County, Virginia",184,"3,275",5.6
"Charles County, Maryland","4,175","84,642",4.9
"Charles Mix County, South Dakota",188,"3,849",4.9
"Charleston County, South Carolina","18,013","211,159",8.5
"Charlevoix County, Michigan",986,"12,615",7.8
"Charlotte County, Florida","4,084","67,994",6
"Charlotte County, Virginia",227,"4,689",4.8
"Charlottesville city, Virginia","1,837","23,975",7.7
"Charlton County, Georgia",305,"4,993",6.1
"Chase County, Kansas",59,"1,166",5.1
"Chase County, Nebraska",80,"1,729",4.6
"Chatham County, Georgia","9,872","142,627",6.9
"Chatham County, North Carolina","2,933","35,458",8.3
"Chattahoochee County, Georgia",91,"1,494",6.1
"Chattooga County, Georgia",551,"9,156",6
"Chautauqua County, Kansas",101,"1,325",7.6
"Chautauqua County, New York","3,299","55,176",6
"Chaves County, New Mexico","1,461","26,612",5.5
"Cheatham County, Tennessee",902,"20,813",4.3
"Cheboygan County, Michigan",589,"10,380",5.7
"Chelan County, Washington","2,536","37,236",6.8
"Chemung County, New York","2,661","36,664",7.3
"Chenango County, New York","1,382","21,234",6.5
"Cherokee County, Alabama","1,020","10,288",9.9
"Cherokee County, Georgia","6,239","141,191",4.4
"Cherokee County, Iowa",367,"5,954",6.2
"Cherokee County, Kansas",637,"8,711",7.3
"Cherokee County, North Carolina",736,"11,391",6.5
"Cherokee County, Oklahoma","1,734","20,388",8.5
"Cherokee County, South Carolina","1,089","24,212",4.5
"Cherokee County, Texas","1,321","20,080",6.6
"Cherry County, Nebraska",102,"2,925",3.5
"Chesapeake city, Virginia","7,882","117,682",6.7
"Cheshire County, New Hampshire","2,521","39,109",6.4
"Chester County, Pennsylvania","18,049","282,948",6.4
"Chester County, South Carolina",557,"13,708",4.1
"Chester County, Tennessee",449,"7,039",6.4
"Chesterfield County, South Carolina",729,"18,142",4
"Chesterfield County, Virginia","13,113","186,171",7
"Cheyenne County, Colorado",54,886,6.1
"Cheyenne County, Kansas",63,"1,284",4.9
"Cheyenne County, Nebraska",228,"4,626",4.9
"Chickasaw County, Iowa",377,"6,239",6
"Chickasaw County, Mississippi",334,"6,743",5
"Chicot County, Arkansas",146,"3,312",4.4
"Childress County, Texas",231,"2,853",8.1
"Chilton County, Alabama","1,011","18,865",5.4
"Chippewa County, Michigan",957,"15,711",6.1
"Chippewa County, Minnesota",230,"6,048",3.8
"Chippewa County, Wisconsin","1,825","33,052",5.5
"Chisago County, Minnesota","1,829","30,092",6.1
"Chittenden County, Vermont","7,280","95,273",7.6
"Choctaw County, Alabama",213,"4,532",4.7
"Choctaw County, Mississippi",189,"3,153",6
"Choctaw County, Oklahoma",315,"5,540",5.7
"Chouteau County, Montana",157,"2,486",6.3
"Chowan County, North Carolina",216,"5,922",3.6
"Christian County, Illinois","1,135","14,721",7.7
"Christian County, Kentucky","1,301","24,053",5.4
"Christian County, Missouri","3,846","43,789",8.8
"Chugach Census Area, Alaska",147,"3,438",4.3
"Churchill County, Nevada",813,"10,794",7.5
"Ciales Municipio, Puerto Rico",70,"4,156",1.7
"Cibola County, New Mexico",369,"8,912",4.1
"Cidra Municipio, Puerto Rico",885,"12,847",6.9
"Cimarron County, Oklahoma",16,"1,085",1.5
"Citrus County, Florida","4,013","49,315",8.1
"Clackamas County, Oregon","14,555","206,612",7
"Claiborne County, Mississippi",169,"2,578",6.6
"Claiborne County, Tennessee","1,024","12,931",7.9
"Claiborne Parish, Louisiana",333,"4,251",7.8
"Clallam County, Washington","2,074","30,216",6.9
"Clare County, Michigan",573,"11,041",5.2
"Clarendon County, South Carolina",553,"11,104",5
"Clarion County, Pennsylvania","1,252","17,376",7.2
"Clark County, Arkansas",200,"9,869",2
"Clark County, Idaho",1,404,0.2
"Clark County, Illinois",489,"7,194",6.8
"Clark County, Indiana","4,524","62,265",7.3
"Clark County, Kansas",64,946,6.8
"Clark County, Kentucky","1,312","16,821",7.8
"Clark County, Missouri",158,"2,874",5.5
"Clark County, Nevada","52,068","1,057,265",4.9
"Clark County, Ohio","4,268","60,332",7.1
"Clark County, South Dakota",48,"1,575",3
"Clark County, Washington","14,195","242,552",5.9
"Clark County, Wisconsin",667,"16,074",4.1
"Clarke County, Alabama",580,"7,841",7.4
"Clarke County, Georgia","3,162","63,458",5
"Clarke County, Iowa",167,"4,561",3.7
"Clarke County, Mississippi",643,"6,258",10.3
"Clarke County, Virginia",488,"7,396",6.6
"Clatsop County, Oregon",814,"18,558",4.4
"Clay County, Alabama",497,"5,165",9.6
"Clay County, Arkansas",601,"6,367",9.4
"Clay County, Florida","7,466","103,623",7.2
"Clay County, Georgia",45,"1,132",4
"Clay County, Illinois",358,"5,789",6.2
"Clay County, Indiana",819,"11,741",7
"Clay County, Iowa",567,"8,420",6.7
"Clay County, Kansas",306,"3,794",8.1
"Clay County, Kentucky",274,"6,202",4.4
"Clay County, Minnesota","2,626","34,404",7.6
"Clay County, Mississippi",373,"7,086",5.3
"Clay County, Missouri","9,006","133,662",6.7
"Clay County, Nebraska",210,"3,115",6.7
"Clay County, North Carolina",540,"4,386",12.3
"Clay County, South Dakota",332,"7,809",4.3
"Clay County, Tennessee",232,"2,638",8.8
"Clay County, Texas",324,"4,791",6.8
"Clay County, West Virginia",198,"2,572",7.7
"Clayton County, Georgia","6,306","138,006",4.6
"Clayton County, Iowa",284,"8,611",3.3
"Clear Creek County, Colorado",518,"5,590",9.3
"Clearfield County, Pennsylvania","3,058","34,861",8.8
"Clearwater County, Idaho",297,"3,332",8.9
