Geographic Area,Percent—Total population—AGE—Under 5 years—Estimate,Under 5 yrs
"Appling County, Georgia",6.20%,6.2
"Appomattox County, Virginia",6.20%,6.2
"Aransas County, Texas",4.40%,4.4
"Arapahoe County, Colorado",5.80%,5.8
"Archer County, Texas",5.10%,5.1
"Archuleta County, Colorado",4.20%,4.2
"Arecibo Municipio, Puerto Rico",3.50%,3.5
"Arenac County, Michigan",4.50%,4.5
"Arkansas County, Arkansas",6.20%,6.2
"Arlington County, Virginia",5.40%,5.4
"Armstrong County, Pennsylvania",4.60%,4.6
"Armstrong County, Texas",6.10%,6.1
"Aroostook County, Maine",4.80%,4.8
"Arroyo Municipio, Puerto Rico",3.80%,3.8
"Arthur County, Nebraska",6.60%,6.6
"Ascension Parish, Louisiana",6.80%,6.8
"Ashe County, North Carolina",3.90%,3.9
"Ashland County, Ohio",5.40%,5.4
"Ashland County, Wisconsin",5.40%,5.4
"Ashley County, Arkansas",6%,6
"Ashtabula County, Ohio",5.60%,5.6
"Asotin County, Washington",5.50%,5.5
"Assumption Parish, Louisiana",5.30%,5.3
"Atascosa County, Texas",6.90%,6.9
"Atchison County, Kansas",5.20%,5.2
"Atchison County, Missouri",4.80%,4.8
"Athens County, Ohio",3.90%,3.9
"Atkinson County, Georgia",6.20%,6.2
"Atlantic County, New Jersey",5.30%,5.3
"Atoka County, Oklahoma",5%,5
"Attala County, Mississippi",6.10%,6.1
"Audrain County, Missouri",6.20%,6.2
"Audubon County, Iowa",6.60%,6.6
"Auglaize County, Ohio",6.10%,6.1
"Augusta County, Virginia",4.50%,4.5
"Aurora County, South Dakota",6.80%,6.8
"Austin County, Texas",5.40%,5.4
"Autauga County, Alabama",5.70%,5.7
"Avery County, North Carolina",3.60%,3.6
"Avoyelles Parish, Louisiana",6.50%,6.5
"Baca County, Colorado",4.80%,4.8
"Bacon County, Georgia",7%,7
"Bailey County, Texas",8.10%,8.1
"Baker County, Florida",6%,6
"Baker County, Georgia",2.90%,2.9
"Baker County, Oregon",4.80%,4.8
"Baldwin County, Alabama",5.20%,5.2
"Baldwin County, Georgia",4.70%,4.7
"Ballard County, Kentucky",4.40%,4.4
"Baltimore city, Maryland",6.10%,6.1
"Baltimore County, Maryland",5.70%,5.7
"Bamberg County, South Carolina",4.60%,4.6
"Bandera County, Texas",3.50%,3.5
"Banks County, Georgia",5%,5
"Banner County, Nebraska",9.10%,9.1
"Bannock County, Idaho",6.40%,6.4
"Baraga County, Michigan",4.20%,4.2
"Barber County, Kansas",5.90%,5.9
"Barbour County, Alabama",5.20%,5.2
"Barbour County, West Virginia",4.80%,4.8
"Barceloneta Municipio, Puerto Rico",3.60%,3.6
"Barnes County, North Dakota",4.50%,4.5
"Barnstable County, Massachusetts",3.50%,3.5
"Barnwell County, South Carolina",6.70%,6.7
"Barranquitas Municipio, Puerto Rico",4.20%,4.2
"Barren County, Kentucky",6%,6
"Barron County, Wisconsin",5.20%,5.2
"Barrow County, Georgia",6.40%,6.4
"Barry County, Michigan",5.30%,5.3
"Barry County, Missouri",5.70%,5.7
"Bartholomew County, Indiana",6.30%,6.3
"Barton County, Kansas",6.30%,6.3
"Barton County, Missouri",5.90%,5.9
"Bartow County, Georgia",6.20%,6.2
"Bastrop County, Texas",6.50%,6.5
"Bates County, Missouri",6.30%,6.3
"Bath County, Kentucky",6.60%,6.6
"Bath County, Virginia",5%,5
"Baxter County, Arkansas",4.20%,4.2
"Bay County, Florida",5.60%,5.6
"Bay County, Michigan",4.80%,4.8
"Bayamón Municipio, Puerto Rico",3.50%,3.5
"Bayfield County, Wisconsin",4.20%,4.2
"Baylor County, Texas",4.70%,4.7
"Beadle County, South Dakota",8.10%,8.1
"Bear Lake County, Idaho",6.20%,6.2
"Beaufort County, North Carolina",4.70%,4.7
"Beaufort County, South Carolina",4.80%,4.8
"Beauregard Parish, Louisiana",6.70%,6.7
"Beaver County, Oklahoma",5.80%,5.8
"Beaver County, Pennsylvania",4.90%,4.9
"Beaver County, Utah",8%,8
"Beaverhead County, Montana",4.40%,4.4
"Becker County, Minnesota",6%,6
"Beckham County, Oklahoma",6.40%,6.4
"Bedford County, Pennsylvania",5%,5
"Bedford County, Tennessee",6.50%,6.5
"Bedford County, Virginia",4.40%,4.4
"Bee County, Texas",5.10%,5.1
"Belknap County, New Hampshire",4.10%,4.1
"Bell County, Kentucky",6%,6
"Bell County, Texas",7.90%,7.9
"Belmont County, Ohio",4.60%,4.6
"Beltrami County, Minnesota",6.60%,6.6
"Ben Hill County, Georgia",6%,6
"Benewah County, Idaho",5.40%,5.4
"Bennett County, South Dakota",7.60%,7.6
"Bennington County, Vermont",4.40%,4.4
"Benson County, North Dakota",10.30%,10.3
"Bent County, Colorado",4.10%,4.1
"Benton County, Arkansas",6.70%,6.7
"Benton County, Indiana",6.30%,6.3
"Benton County, Iowa",5.90%,5.9
"Benton County, Minnesota",6.30%,6.3
"Benton County, Mississippi",4.30%,4.3
"Benton County, Missouri",4.20%,4.2
"Benton County, Oregon",3.70%,3.7
"Benton County, Tennessee",4.60%,4.6
"Benton County, Washington",6.60%,6.6
"Benzie County, Michigan",4.30%,4.3
"Bergen County, New Jersey",5.10%,5.1
"Berkeley County, South Carolina",6.20%,6.2
"Berkeley County, West Virginia",6.10%,6.1
"Berks County, Pennsylvania",5.50%,5.5
"Berkshire County, Massachusetts",4%,4
"Bernalillo County, New Mexico",5.20%,5.2
"Berrien County, Georgia",6.30%,6.3
"Berrien County, Michigan",5.40%,5.4
"Bertie County, North Carolina",4.20%,4.2
"Bethel Census Area, Alaska",10.60%,10.6
"Bexar County, Texas",6.60%,6.6
"Bibb County, Alabama",5.20%,5.2
"Bibb County, Georgia",6.50%,6.5
"Bienville Parish, Louisiana",5.90%,5.9
"Big Horn County, Montana",7.90%,7.9
"Big Horn County, Wyoming",5.60%,5.6
"Big Stone County, Minnesota",5.80%,5.8
"Billings County, North Dakota",6.90%,6.9
"Bingham County, Idaho",7.10%,7.1
"Black Hawk County, Iowa",6.10%,6.1
"Blackford County, Indiana",5.20%,5.2
"Bladen County, North Carolina",4.60%,4.6
"Blaine County, Idaho",3.20%,3.2
"Blaine County, Montana",7.70%,7.7
"Blaine County, Nebraska",4.40%,4.4
"Blaine County, Oklahoma",4.90%,4.9
"Blair County, Pennsylvania",5%,5
"Blanco County, Texas",3.70%,3.7
"Bland County, Virginia",4.20%,4.2
"Bleckley County, Georgia",5%,5
"Bledsoe County, Tennessee",4.30%,4.3
"Blount County, Alabama",5.80%,5.8
"Blount County, Tennessee",4.80%,4.8
"Blue Earth County, Minnesota",5.20%,5.2
"Boise County, Idaho",3.60%,3.6
"Bolivar County, Mississippi",6.40%,6.4
"Bollinger County, Missouri",5.30%,5.3
"Bon Homme County, South Dakota",4.70%,4.7
"Bond County, Illinois",3.80%,3.8
"Bonner County, Idaho",4.60%,4.6
"Bonneville County, Idaho",7.70%,7.7
"Boone County, Arkansas",5.60%,5.6
"Boone County, Illinois",5.20%,5.2
"Boone County, Indiana",6.20%,6.2
"Boone County, Iowa",5.10%,5.1
"Boone County, Kentucky",6.40%,6.4
"Boone County, Missouri",5.50%,5.5
"Boone County, Nebraska",5.90%,5.9
"Boone County, West Virginia",4.90%,4.9
"Borden County, Texas",8.70%,8.7
"Bosque County, Texas",5.10%,5.1
"Bossier Parish, Louisiana",6.50%,6.5
"Botetourt County, Virginia",4.10%,4.1
"Bottineau County, North Dakota",5.30%,5.3
"Boulder County, Colorado",4.10%,4.1
"Boundary County, Idaho",6.60%,6.6
"Bourbon County, Kansas",6.30%,6.3
"Bourbon County, Kentucky",5.80%,5.8
"Bowie County, Texas",6.10%,6.1
"Bowman County, North Dakota",6.10%,6.1
"Box Butte County, Nebraska",5.70%,5.7
"Box Elder County, Utah",7.50%,7.5
"Boyd County, Kentucky",5.60%,5.6
"Boyd County, Nebraska",3.90%,3.9
"Boyle County, Kentucky",4.80%,4.8
"Bracken County, Kentucky",5.90%,5.9
"Bradford County, Florida",5%,5
"Bradford County, Pennsylvania",5.70%,5.7
"Bradley County, Arkansas",6.20%,6.2
"Bradley County, Tennessee",5.60%,5.6
"Branch County, Michigan",6.10%,6.1
"Brantley County, Georgia",5.90%,5.9
"Braxton County, West Virginia",4.30%,4.3
"Brazoria County, Texas",6.50%,6.5
"Brazos County, Texas",5.60%,5.6
"Breathitt County, Kentucky",5.70%,5.7
"Breckinridge County, Kentucky",5.60%,5.6
"Bremer County, Iowa",5.60%,5.6
"Brevard County, Florida",4.40%,4.4
"Brewster County, Texas",4.70%,4.7
"Briscoe County, Texas",4.30%,4.3
"Bristol Bay Borough, Alaska",7.70%,7.7
"Bristol city, Virginia",5.10%,5.1
"Bristol County, Massachusetts",5.10%,5.1
"Bristol County, Rhode Island",3.90%,3.9
"Broadwater County, Montana",4.50%,4.5
"Bronx County, New York",6.90%,6.9
"Brooke County, West Virginia",4.30%,4.3
"Brookings County, South Dakota",5.70%,5.7
"Brooks County, Georgia",5.50%,5.5
"Brooks County, Texas",2.80%,2.8
"Broome County, New York",4.90%,4.9
"Broomfield County, Colorado",4.70%,4.7
"Broward County, Florida",5.50%,5.5
"Brown County, Illinois",4.70%,4.7
"Brown County, Indiana",4.10%,4.1
"Brown County, Kansas",6.10%,6.1
"Brown County, Minnesota",5.30%,5.3
"Brown County, Nebraska",7.70%,7.7
"Brown County, Ohio",5.70%,5.7
"Brown County, South Dakota",6%,6
"Brown County, Texas",5.10%,5.1
"Brown County, Wisconsin",5.90%,5.9
"Brule County, South Dakota",5.70%,5.7
"Brunswick County, North Carolina",3.70%,3.7
"Brunswick County, Virginia",4.10%,4.1
"Bryan County, Georgia",7.20%,7.2
"Bryan County, Oklahoma",6.40%,6.4
"Buchanan County, Iowa",6.40%,6.4
"Buchanan County, Missouri",6.10%,6.1
"Buchanan County, Virginia",4.10%,4.1
"Buckingham County, Virginia",4.70%,4.7
"Bucks County, Pennsylvania",4.70%,4.7
"Buena Vista city, Virginia",4.90%,4.9
"Buena Vista County, Iowa",7%,7
"Buffalo County, Nebraska",6.10%,6.1
"Buffalo County, South Dakota",12.60%,12.6
"Buffalo County, Wisconsin",4.90%,4.9
"Bullitt County, Kentucky",5%,5
"Bulloch County, Georgia",5.70%,5.7
"Bullock County, Alabama",5.40%,5.4
"Buncombe County, North Carolina",4.60%,4.6
"Bureau County, Illinois",5%,5
"Burke County, Georgia",6.10%,6.1
"Burke County, North Carolina",4.70%,4.7
"Burke County, North Dakota",5.60%,5.6
"Burleigh County, North Dakota",6.30%,6.3
"Burleson County, Texas",5.60%,5.6
"Burlington County, New Jersey",5%,5
"Burnet County, Texas",4.90%,4.9
"Burnett County, Wisconsin",3.70%,3.7
"Burt County, Nebraska",5.20%,5.2
"Butler County, Alabama",5.60%,5.6
"Butler County, Iowa",5.20%,5.2
"Butler County, Kansas",5.70%,5.7
"Butler County, Kentucky",5.80%,5.8
"Butler County, Missouri",6.40%,6.4
"Butler County, Nebraska",5.60%,5.6
"Butler County, Ohio",5.80%,5.8
"Butler County, Pennsylvania",4.90%,4.9
"Butte County, California",5.30%,5.3
"Butte County, Idaho",4.30%,4.3
"Butte County, South Dakota",6%,6
"Butts County, Georgia",4.30%,4.3
"Cabarrus County, North Carolina",6.10%,6.1
"Cabell County, West Virginia",5.30%,5.3
"Cabo Rojo Municipio, Puerto Rico",2.80%,2.8
"Cache County, Utah",7.80%,7.8
"Caddo County, Oklahoma",6%,6
"Caddo Parish, Louisiana",6.30%,6.3
"Caguas Municipio, Puerto Rico",3.30%,3.3
"Calaveras County, California",4.10%,4.1
"Calcasieu Parish, Louisiana",6.90%,6.9
"Caldwell County, Kentucky",5.60%,5.6
"Caldwell County, Missouri",5.60%,5.6
"Caldwell County, North Carolina",4.90%,4.9
"Caldwell County, Texas",6.20%,6.2
"Caldwell Parish, Louisiana",5.70%,5.7
"Caledonia County, Vermont",4.40%,4.4
"Calhoun County, Alabama",5.60%,5.6
"Calhoun County, Arkansas",3.90%,3.9
"Calhoun County, Florida",4.20%,4.2
"Calhoun County, Georgia",3.80%,3.8
"Calhoun County, Illinois",4.60%,4.6
"Calhoun County, Iowa",5.60%,5.6
"Calhoun County, Michigan",5.80%,5.8
"Calhoun County, Mississippi",5%,5
"Calhoun County, South Carolina",4.50%,4.5
"Calhoun County, Texas",6.20%,6.2
"Calhoun County, West Virginia",4.20%,4.2
"Callahan County, Texas",5.20%,5.2
"Callaway County, Missouri",5.40%,5.4
"Calloway County, Kentucky",4.50%,4.5
"Calumet County, Wisconsin",5%,5
"Calvert County, Maryland",5.10%,5.1
"Camas County, Idaho",6.60%,6.6
"Cambria County, Pennsylvania",4.70%,4.7
"Camden County, Georgia",6.70%,6.7
"Camden County, Missouri",4.30%,4.3
"Camden County, New Jersey",5.90%,5.9
"Camden County, North Carolina",5.50%,5.5
"Cameron County, Pennsylvania",4.40%,4.4
"Cameron County, Texas",7.40%,7.4
"Cameron Parish, Louisiana",6.10%,6.1
"Camp County, Texas",6.50%,6.5
"Campbell County, Kentucky",5.60%,5.6
"Campbell County, South Dakota",5.60%,5.6
"Campbell County, Tennessee",5.60%,5.6
"Campbell County, Virginia",5.10%,5.1
"Campbell County, Wyoming",6.90%,6.9
"Camuy Municipio, Puerto Rico",3.40%,3.4
"Canadian County, Oklahoma",6.50%,6.5
"Candler County, Georgia",6.60%,6.6
"Cannon County, Tennessee",5.60%,5.6
"Canóvanas Municipio, Puerto Rico",3.60%,3.6
"Canyon County, Idaho",6.90%,6.9
"Cape Girardeau County, Missouri",5.70%,5.7
"Cape May County, New Jersey",4.30%,4.3
"Capitol Planning Region, Connecticut",5.20%,5.2
"Carbon County, Montana",3.50%,3.5
"Carbon County, Pennsylvania",4.60%,4.6
"Carbon County, Utah",6.20%,6.2
"Carbon County, Wyoming",5.30%,5.3
"Caribou County, Idaho",6.20%,6.2
"Carlisle County, Kentucky",6.10%,6.1
"Carlton County, Minnesota",5.10%,5.1
"Carolina Municipio, Puerto Rico",3.40%,3.4
"Caroline County, Maryland",6.10%,6.1
"Caroline County, Virginia",5.90%,5.9
"Carroll County, Arkansas",5.20%,5.2
"Carroll County, Georgia",6.20%,6.2
"Carroll County, Illinois",4.60%,4.6
"Carroll County, Indiana",5.40%,5.4
"Carroll County, Iowa",5.80%,5.8
"Carroll County, Kentucky",6.70%,6.7
"Carroll County, Maryland",5.40%,5.4
"Carroll County, Mississippi",4.10%,4.1
"Carroll County, Missouri",5.10%,5.1
"Carroll County, New Hampshire",3.40%,3.4
"Carroll County, Ohio",5%,5
"Carroll County, Tennessee",5.20%,5.2
"Carroll County, Virginia",4.20%,4.2
"Carson City, Nevada",5.20%,5.2
"Carson County, Texas",6.50%,6.5
"Carter County, Kentucky",5.80%,5.8
"Carter County, Missouri",6.10%,6.1
"Carter County, Montana",4.70%,4.7
"Carter County, Oklahoma",6.70%,6.7
"Carter County, Tennessee",4.30%,4.3
"Carteret County, North Carolina",3.80%,3.8
"Carver County, Minnesota",6.10%,6.1
"Cascade County, Montana",6.10%,6.1
"Casey County, Kentucky",6.50%,6.5
"Cass County, Illinois",5.20%,5.2
"Cass County, Indiana",5.70%,5.7
"Cass County, Iowa",5%,5
"Cass County, Michigan",4.70%,4.7
"Cass County, Minnesota",4.90%,4.9
"Cass County, Missouri",5.80%,5.8
"Cass County, Nebraska",5.60%,5.6
"Cass County, North Dakota",6.50%,6.5
"Cass County, Texas",5.60%,5.6
"Cassia County, Idaho",7.80%,7.8
"Castro County, Texas",7.80%,7.8
"Caswell County, North Carolina",4.30%,4.3
"Catahoula Parish, Louisiana",5.60%,5.6
"Cataño Municipio, Puerto Rico",3.60%,3.6
"Catawba County, North Carolina",5.40%,5.4
"Catoosa County, Georgia",5.20%,5.2
"Catron County, New Mexico",0.20%,0.2
"Cattaraugus County, New York",5.50%,5.5
"Cavalier County, North Dakota",7.20%,7.2
"Cayey Municipio, Puerto Rico",3.40%,3.4
"Cayuga County, New York",4.90%,4.9
"Cecil County, Maryland",5.60%,5.6
"Cedar County, Iowa",4.90%,4.9
"Cedar County, Missouri",6.40%,6.4
"Cedar County, Nebraska",6.50%,6.5
"Ceiba Municipio, Puerto Rico",2.80%,2.8
"Centre County, Pennsylvania",3.60%,3.6
"Cerro Gordo County, Iowa",5.10%,5.1
"Chaffee County, Colorado",3.90%,3.9
"Chambers County, Alabama",6%,6
"Chambers County, Texas",6.60%,6.6
"Champaign County, Illinois",5.20%,5.2
"Champaign County, Ohio",5.30%,5.3
"Chariton County, Missouri",5.80%,5.8
"Charles City County, Virginia",3.90%,3.9
"Charles County, Maryland",5.80%,5.8
"Charles Mix County, South Dakota",8.60%,8.6
"Charleston County, South Carolina",5.60%,5.6
"Charlevoix County, Michigan",4.10%,4.1
"Charlotte County, Florida",2.80%,2.8
"Charlotte County, Virginia",5.30%,5.3
"Charlottesville city, Virginia",5.20%,5.2
"Charlton County, Georgia",4.60%,4.6
"Chase County, Kansas",4.70%,4.7
"Chase County, Nebraska",6%,6
"Chatham County, Georgia",5.90%,5.9
"Chatham County, North Carolina",4.50%,4.5
"Chattahoochee County, Georgia",8.30%,8.3
"Chattooga County, Georgia",6.10%,6.1
"Chautauqua County, Kansas",6.10%,6.1
"Chautauqua County, New York",5.20%,5.2
"Chaves County, New Mexico",6.20%,6.2
"Cheatham County, Tennessee",5.50%,5.5
"Cheboygan County, Michigan",3.90%,3.9
"Chelan County, Washington",5.70%,5.7
"Chemung County, New York",5.20%,5.2
"Chenango County, New York",5.10%,5.1
"Cherokee County, Alabama",4.60%,4.6
"Cherokee County, Georgia",5.50%,5.5
"Cherokee County, Iowa",5.20%,5.2
"Cherokee County, Kansas",6.40%,6.4
"Cherokee County, North Carolina",3.70%,3.7
"Cherokee County, Oklahoma",5.60%,5.6
"Cherokee County, South Carolina",6%,6
"Cherokee County, Texas",6.90%,6.9
"Cherry County, Nebraska",6.90%,6.9
"Chesapeake city, Virginia",6.10%,6.1
"Cheshire County, New Hampshire",4.50%,4.5
"Chester County, Pennsylvania",5.30%,5.3
"Chester County, South Carolina",5.50%,5.5
"Chester County, Tennessee",5.30%,5.3
"Chesterfield County, South Carolina",5.50%,5.5
"Chesterfield County, Virginia",5.80%,5.8
"Cheyenne County, Colorado",6.80%,6.8
"Cheyenne County, Kansas",5.80%,5.8
"Cheyenne County, Nebraska",6.10%,6.1
"Chickasaw County, Iowa",6.50%,6.5
"Chickasaw County, Mississippi",7.50%,7.5
"Chicot County, Arkansas",5.60%,5.6
"Childress County, Texas",5.50%,5.5
"Chilton County, Alabama",6%,6
"Chippewa County, Michigan",4.60%,4.6
"Chippewa County, Minnesota",6.40%,6.4
"Chippewa County, Wisconsin",5.30%,5.3
"Chisago County, Minnesota",5.60%,5.6
"Chittenden County, Vermont",4.30%,4.3
"Choctaw County, Alabama",5.40%,5.4
"Choctaw County, Mississippi",4.40%,4.4
"Choctaw County, Oklahoma",6.80%,6.8
"Chouteau County, Montana",6.20%,6.2
"Chowan County, North Carolina",4.40%,4.4
"Christian County, Illinois",5.70%,5.7
"Christian County, Kentucky",9.50%,9.5
"Christian County, Missouri",6.10%,6.1
"Chugach Census Area, Alaska",5.90%,5.9
"Churchill County, Nevada",6.30%,6.3
"Ciales Municipio, Puerto Rico",3.70%,3.7
"Cibola County, New Mexico",6.30%,6.3
"Cidra Municipio, Puerto Rico",3.60%,3.6
"Cimarron County, Oklahoma",5.90%,5.9
"Citrus County, Florida",3.40%,3.4
"Clackamas County, Oregon",5%,5
"Claiborne County, Mississippi",6.10%,6.1
"Claiborne County, Tennessee",5.40%,5.4
"Claiborne Parish, Louisiana",4.70%,4.7
"Clallam County, Washington",4.10%,4.1
"Clare County, Michigan",4.80%,4.8
"Clarendon County, South Carolina",4.40%,4.4
"Clarion County, Pennsylvania",5%,5
"Clark County, Arkansas",5%,5
"Clark County, Idaho",6.60%,6.6
"Clark County, Illinois",5.80%,5.8
"Clark County, Indiana",5.90%,5.9
"Clark County, Kansas",7.60%,7.6
"Clark County, Kentucky",5.70%,5.7
"Clark County, Missouri",6.20%,6.2
"Clark County, Nevada",5.90%,5.9
"Clark County, Ohio",5.80%,5.8
"Clark County, South Dakota",8.90%,8.9
"Clark County, Washington",5.70%,5.7
"Clark County, Wisconsin",8%,8
"Clarke County, Alabama",6.20%,6.2
"Clarke County, Georgia",4.90%,4.9
"Clarke County, Iowa",7.60%,7.6
"Clarke County, Mississippi",5.90%,5.9
"Clarke County, Virginia",3.60%,3.6
"Clatsop County, Oregon",4.80%,4.8
"Clay County, Alabama",5.20%,5.2
"Clay County, Arkansas",5.20%,5.2
"Clay County, Florida",5.30%,5.3
"Clay County, Georgia",6.20%,6.2
"Clay County, Illinois",5.50%,5.5
"Clay County, Indiana",6.10%,6.1
"Clay County, Iowa",6%,6
"Clay County, Kansas",6%,6
"Clay County, Kentucky",6.10%,6.1
"Clay County, Minnesota",6.70%,6.7
"Clay County, Mississippi",5.80%,5.8
"Clay County, Missouri",6.10%,6.1
"Clay County, Nebraska",6.50%,6.5
"Clay County, North Carolina",4.20%,4.2
"Clay County, South Dakota",4.60%,4.6
"Clay County, Tennessee",4.10%,4.1
"Clay County, Texas",4.50%,4.5
"Clay County, West Virginia",5%,5
"Clayton County, Georgia",7.20%,7.2
"Clayton County, Iowa",5.70%,5.7
"Clear Creek County, Colorado",2.90%,2.9
"Clearfield County, Pennsylvania",4.60%,4.6
"Clearwater County, Idaho",3.60%,3.6
"Clearwater County, Minnesota",6.10%,6.1
"Cleburne County, Alabama",5.90%,5.9
"Cleburne County, Arkansas",4.30%,4.3
"Clermont County, Ohio",5.60%,5.6
"Cleveland County, Arkansas",4%,4
"Cleveland County, North Carolina",5.70%,5.7
"Cleveland County, Oklahoma",5%,5
"Clinch County, Georgia",6.40%,6.4
"Clinton County, Illinois",5.60%,5.6
"Clinton County, Indiana",7.10%,7.1
"Clinton County, Iowa",5.70%,5.7
"Clinton County, Kentucky",5.60%,5.6
"Clinton County, Michigan",5.30%,5.3
"Clinton County, Missouri",5.30%,5.3
"Clinton County, New York",4.50%,4.5
"Clinton County, Ohio",5.80%,5.8
"Clinton County, Pennsylvania",5.40%,5.4
"Cloud County, Kansas",6.70%,6.7
"Coahoma County, Mississippi",7.40%,7.4
"Coal County, Oklahoma",7.10%,7.1
"Coamo Municipio, Puerto Rico",3.50%,3.5
"Cobb County, Georgia",5.80%,5.8
"Cochise County, Arizona",5.40%,5.4
"Cochran County, Texas",7.70%,7.7
"Cocke County, Tennessee",5.40%,5.4
"Coconino County, Arizona",4.90%,4.9
"Codington County, South Dakota",5.40%,5.4
"Coffee County, Alabama",5.90%,5.9
"Coffee County, Georgia",6.70%,6.7
"Coffee County, Tennessee",6.30%,6.3
"Coffey County, Kansas",4.80%,4.8
"Coke County, Texas",4%,4
"Colbert County, Alabama",5.50%,5.5
"Cole County, Missouri",5.70%,5.7
"Coleman County, Texas",4.50%,4.5
"Coles County, Illinois",4.80%,4.8
"Colfax County, Nebraska",8.10%,8.1
"Colfax County, New Mexico",4.10%,4.1
"Colleton County, South Carolina",5.50%,5.5
"Collier County, Florida",4.20%,4.2
"Collin County, Texas",5.80%,5.8
"Collingsworth County, Texas",6.20%,6.2
"Colonial Heights city, Virginia",6.40%,6.4
"Colorado County, Texas",6.10%,6.1
"Colquitt County, Georgia",6.50%,6.5
"Columbia County, Arkansas",6.10%,6.1
"Columbia County, Florida",5.70%,5.7
"Columbia County, Georgia",6.10%,6.1
"Columbia County, New York",3.80%,3.8
"Columbia County, Oregon",5.10%,5.1
"Columbia County, Pennsylvania",4.30%,4.3
"Columbia County, Washington",4.30%,4.3
"Columbia County, Wisconsin",5.10%,5.1
"Columbiana County, Ohio",4.90%,4.9
"Columbus County, North Carolina",5.10%,5.1
"Colusa County, California",6.80%,6.8
"Comal County, Texas",5.40%,5.4
"Comanche County, Kansas",3.40%,3.4
"Comanche County, Oklahoma",6.70%,6.7
"Comanche County, Texas",5.40%,5.4
"Comerío Municipio, Puerto Rico",3.40%,3.4
"Concho County, Texas",4%,4
"Concordia Parish, Louisiana",6.20%,6.2
"Conecuh County, Alabama",4%,4
"Conejos County, Colorado",6.20%,6.2
"Contra Costa County, California",5.40%,5.4
"Converse County, Wyoming",6.60%,6.6
