Program,Year,Period,Week Ending,Geo Level,State,State ANSIS,Ag District,Ag District Code,County,County ANSIS,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Sheep Value,CV (%)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,41,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,26,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,19,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,41,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,33,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,26,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,28,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,55,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,17,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,12,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,31,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,45,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,28,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,45,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,31,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,57,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,11,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,19,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,6,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,8,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,6,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,11,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,16,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,6,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,7,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,16,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,8,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,KENAI PENINSULA,30,KENAI PENINSULA,,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,MATANUSKA-SUSITNA-ANCHORAGE,20,ANCHORAGE,,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,28,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,SOUTHEAST,40,JUNEAU,,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,SOUTHWEST & WEST,50,ALEUTIAN ISLANDS,,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,3,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,TANANA VALLEY,10,FAIRBANKS NORTH STAR,,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,16,(L)
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,APACHE,1,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,"3,579",23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,COCONINO,5,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,"1,184",23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,GILA,7,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,6,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,"2,082",23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,36,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,28,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,GRAHAM,9,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,GREENLEE,11,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,6,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,LAPAZ,12,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,3,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,44,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,PIMA,19,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,22,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,43,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,SANTA CRUZ,23,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,YUMA,27,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,23.1
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,CONWAY,29,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,12,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,FAULKNER,45,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,59,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,GARLAND,51,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,GRANT,53,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,9,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,HOT SPRING,59,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,17,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,PERRY,105,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,13,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,PULASKI,119,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,24,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,SALINE,125,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,3,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,19,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,13,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,BAXTER,5,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,9,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,CLEBURNE,23,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,11,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,FULTON,49,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,45,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,IZARD,65,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,MARION,89,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,24,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,SEARCY,129,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,26,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,SHARP,135,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,27,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,STONE,137,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,11,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,VAN BUREN,141,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,7,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTHEAST,30,CLAY,21,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,17,34.4
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,18,34.4
