Program,Year,Period,Week Ending,Geo Level,State,State ANSIP,Ag District,Ag District Code,County,County ANSIP,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Poultry Value,CV (%)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,29,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,13,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,150,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,92,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,19,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,51,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,34,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,43,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,118,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,26,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,65,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,22,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,223,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,123,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,127,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,65,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,343,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,392,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,160,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,172,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,237,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,151,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,60,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,139,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,160,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,197,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,138,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,141,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,119,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,205,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,56,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,43,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,68,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,97,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,108,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,16,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,30,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,88,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,31,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,78,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,86,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,151,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,80,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,83,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,55,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,86,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,128,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,89,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,116,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,125,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,80,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,103,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,105,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,46,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,75,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,94,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,46,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,KENAI PENINSULA,30,KENAI PENINSULA,,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,103,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,MATANUSKA-SUSITNA-ANCHORAGE,20,ANCHORAGE,,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,100,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,SOUTHEAST,40,JUNEAU,,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,18,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,SOUTHWEST & WEST,50,ALEUTIAN ISLANDS,,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,12,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALASKA,2,TANANA VALLEY,10,FAIRBANKS NORTH STAR,,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,56,(L)
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,APACHE,1,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,841,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,COCONINO,5,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,353,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,GILA,7,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,38,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,49,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,512,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,139,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,195,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,GRAHAM,9,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,34,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,GREENLEE,11,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,18,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,LAPAZ,12,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,3,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,290,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,PIMA,19,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,110,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,119,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,SANTA CRUZ,23,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,26,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARIZONA,4,SOUTHERN,80,YUMA,27,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,38,15.5
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,CONWAY,29,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,135,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,FAULKNER,45,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,177,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,GARLAND,51,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,70,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,GRANT,53,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,67,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,HOT SPRING,59,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,97,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,PERRY,105,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,57,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,PULASKI,119,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,99,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,CENTRAL,50,SALINE,125,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,61,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,10,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,24,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,17,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,89,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,4,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,17,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,4,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,3,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,BAXTER,5,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,67,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,CLEBURNE,23,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,110,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,FULTON,49,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,124,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,IZARD,65,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,83,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,MARION,89,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,60,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,SEARCY,129,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,81,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,SHARP,135,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,123,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,STONE,137,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,71,15.2
CENSUS,2022,END OF DEC,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,VAN BUREN,141,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,90,15.2
